상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:50,  국제시장(디지털),  6,000원","11:20,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:50,  국제시장(디지털),  10,000원","21:20,  국제시장(디지털),  10,000원","23:50,  국제시장(디지털),  10,000원",,,,233
2015-01-01,02관,"10:05,  국제시장(디지털),  6,000원","12:35,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:35,  국제시장(디지털),  10,000원","20:05,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  10,000원",,,,229
2015-01-01,03관,"08:20,  테이큰 3(디지털),  6,000원","10:35,  테이큰 3(디지털),  10,000원","12:50,  테이큰 3(디지털),  10,000원","15:05,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:35,  테이큰 3(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:05,  테이큰 3(디지털),  10,000원",,,148
2015-01-01,04관,"10:20,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:05,  마다가스카의 펭귄(디지털더빙),  10,000원","16:05,  마다가스카의 펭귄(디지털더빙),  10,000원","18:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:55,  기술자들(디지털),  10,000원","22:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:10,  기술자들(디지털),  10,000원",,,123
2015-01-02,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  10,000원",,,,233
2015-01-02,02관,"10:10,  마다가스카의 펭귄(디지털더빙),  6,000원","12:05,  마다가스카의 펭귄(디지털더빙),  10,000원","14:00,  마다가스카의 펭귄(디지털더빙),  10,000원","15:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:55,  국제시장(디지털),  10,000원","20:25,  국제시장(디지털),  10,000원","22:55,  국제시장(디지털),  10,000원","25:20,  국제시장(디지털)",,,229
2015-01-02,03관,"08:40,  테이큰 3(디지털),  6,000원","10:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:50,  테이큰 3(디지털),  10,000원","15:05,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:35,  테이큰 3(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:05,  테이큰 3(디지털),  10,000원",,,148
2015-01-02,04관,"10:25,  국제시장(디지털),  6,000원","12:55,  국제시장(디지털),  10,000원","15:25,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","17:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:55,  기술자들(디지털),  10,000원","21:15,  기술자들(디지털),  10,000원","23:35,  기술자들(디지털),  10,000원",,,,123
2015-01-03,01관,"08:50,  국제시장(디지털),  6,000원","11:20,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:50,  국제시장(디지털),  10,000원","21:20,  국제시장(디지털),  10,000원","23:50,  국제시장(디지털),  10,000원",,,,233
2015-01-03,02관,"10:05,  국제시장(디지털),  6,000원","12:35,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:35,  국제시장(디지털),  10,000원","20:05,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  10,000원",,,,229
2015-01-03,03관,"10:20,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  10,000원","14:20,  마다가스카의 펭귄(디지털더빙),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:35,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:05,  테이큰 3(디지털),  10,000원","25:15,  테이큰 3(디지털),  10,000원",,,148
2015-01-03,04관,"09:15,  마다가스카의 펭귄(디지털더빙),  6,000원","11:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:55,  테이큰 3(디지털),  10,000원","17:10,  기술자들(디지털),  10,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:20,  기술자들(디지털),  10,000원",,,123
2015-01-04,01관,"08:50,  국제시장(디지털),  6,000원","11:20,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:50,  국제시장(디지털),  10,000원","21:20,  국제시장(디지털),  10,000원","23:50,  국제시장(디지털),  10,000원",,,,233
2015-01-04,02관,"10:05,  국제시장(디지털),  6,000원","12:35,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:35,  국제시장(디지털),  10,000원","20:05,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  10,000원",,,,229
2015-01-04,03관,"10:20,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  10,000원","14:20,  마다가스카의 펭귄(디지털더빙),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:35,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:05,  테이큰 3(디지털),  10,000원","25:15,  테이큰 3(디지털),  10,000원",,,148
2015-01-04,04관,"09:00,  테이큰 3(디지털),  6,000원","11:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:10,  테이큰 3(디지털),  10,000원","17:25,  기술자들(디지털),  10,000원","19:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:30,  기술자들(디지털),  10,000원",,,123
2015-01-05,01관,"10:30,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  8,000원","18:00,  국제시장(디지털),  9,000원","20:30,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원","25:25,  국제시장(디지털)",,,,233
2015-01-05,02관,"09:15,  국제시장(디지털),  6,000원","11:45,  국제시장(디지털),  8,000원","14:15,  국제시장(디지털),  8,000원","16:45,  국제시장(디지털),  9,000원","19:15,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:15,  국제시장(디지털),  8,000원",,,,229
2015-01-05,03관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  마다가스카의 펭귄(디지털더빙),  8,000원","14:30,  마다가스카의 펭귄(디지털더빙),  8,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원","23:15,  테이큰 3(디지털),  8,000원","25:25,  테이큰 3(디지털),  8,000원",,,148
2015-01-05,04관,"09:25,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  테이큰 3(디지털),  8,000원","13:35,  마다가스카의 펭귄(디지털더빙),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:30,  기술자들(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:05,  기술자들(디지털),  9,000원","24:25,  기술자들(디지털),  8,000원",,,123
2015-01-06,01관,"10:30,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  8,000원","18:00,  국제시장(디지털),  9,000원","20:30,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원","25:25,  국제시장(디지털),  8,000원",,,,233
2015-01-06,02관,"09:15,  국제시장(디지털),  6,000원","11:45,  국제시장(디지털),  8,000원","14:15,  국제시장(디지털),  8,000원","16:45,  국제시장(디지털),  9,000원","19:15,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:15,  국제시장(디지털),  7,000원",,,,229
2015-01-06,03관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  마다가스카의 펭귄(디지털더빙),  8,000원","14:30,  마다가스카의 펭귄(디지털더빙),  8,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원","23:15,  테이큰 3(디지털),  8,000원","25:25,  테이큰 3(디지털),  8,000원",,,148
2015-01-06,04관,"09:25,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  테이큰 3(디지털),  8,000원","13:35,  마다가스카의 펭귄(디지털더빙),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:30,  기술자들(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:05,  기술자들(디지털),  9,000원","24:25,  기술자들(디지털),  8,000원",,,123
2015-01-07,01관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  8,000원","13:40,  패딩턴(디지털더빙),  8,000원","15:40,  마다가스카의 펭귄(디지털더빙),  8,000원","17:40,  테이큰 3(디지털),  9,000원","19:55,  테이큰 3(디지털),  9,000원","22:10,  테이큰 3(디지털),  9,000원","24:25,  테이큰 3(디지털),  8,000원",,,233
2015-01-07,02관,"10:30,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  8,000원","18:00,  국제시장(디지털),  9,000원","20:30,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원","25:25,  국제시장(디지털)",,,,229
2015-01-07,03관,"08:40,  언브로큰(디지털),  6,000원","11:25,  언브로큰(디지털),  8,000원","14:10,  언브로큰(디지털),  8,000원","16:55,  국제시장(디지털),  9,000원","19:40,  언브로큰(디지털),  9,000원","22:25,  언브로큰(디지털),  9,000원","25:10,  언브로큰(디지털)",,,,148
2015-01-07,04관,"10:30,  테이큰 3(디지털),  6,000원","12:45,  타임 패러독스(디지털),  8,000원","14:45,  마다가스카의 펭귄(디지털더빙),  8,000원","17:05,  타임 패러독스(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:35,  타임 패러독스(디지털),  8,000원","25:15,  워킹걸(디지털)",,,123
2015-01-08,01관,"09:00,  테이큰 3(디지털),  6,000원","11:15,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:10,  테이큰 3(디지털),  8,000원","15:25,  테이큰 3(디지털),  8,000원","17:40,  테이큰 3(디지털),  9,000원","19:55,  테이큰 3(디지털),  9,000원","22:10,  테이큰 3(디지털),  9,000원","24:20,  테이큰 3(디지털),  8,000원",,,233
2015-01-08,02관,"09:30,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  8,000원","14:30,  국제시장(디지털),  8,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털),  8,000원",,,,229
2015-01-08,03관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  패딩턴(디지털더빙),  8,000원","14:30,  마다가스카의 펭귄(디지털더빙),  8,000원","16:30,  패딩턴(디지털),  9,000원","18:30,  타임 패러독스(디지털),  9,000원","20:35,  국제시장(디지털),  8,000원","23:05,  님아, 그 강을 건너지 마오(디지털),  8,000원","25:00,  타임 패러독스(디지털),  8,000원",,,148
2015-01-08,04관,"09:20,  언브로큰(디지털),  6,000원","12:05,  언브로큰(디지털),  8,000원","14:50,  언브로큰(디지털),  8,000원","17:35,  언브로큰(디지털),  9,000원","20:20,  언브로큰(디지털),  9,000원","23:05,  언브로큰(디지털),  8,000원",,,,,123
2015-01-09,01관,"09:00,  테이큰 3(디지털),  6,000원","11:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:10,  테이큰 3(디지털),  10,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:35,  테이큰 3(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:05,  테이큰 3(디지털),  10,000원",,,233
2015-01-09,02관,"09:10,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  10,000원",,,,229
2015-01-09,03관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  패딩턴(디지털더빙),  10,000원","14:30,  마다가스카의 펭귄(디지털더빙),  10,000원","16:25,  패딩턴(디지털),  10,000원","18:25,  타임 패러독스(디지털),  10,000원","20:30,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:25,  국제시장(디지털),  10,000원",,,148
2015-01-09,04관,"09:20,  언브로큰(디지털),  6,000원","12:05,  언브로큰(디지털),  10,000원","14:50,  언브로큰(디지털),  10,000원","17:55,  국제시장(디지털),  10,000원","20:20,  언브로큰(디지털),  10,000원","23:05,  타임 패러독스(디지털),  10,000원","25:05,  언브로큰(디지털),  10,000원",,,,123
