상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-09-26,01관,"16:00,  바다 탐험대 옥토넛 시즌4: 늪지탐험선K(디지털더빙),  0원","18:00,  덕혜옹주(디지털),  0원","21:00,  국가대표 2(디지털),  0원",,,,,,,,138
2016-09-26,02관,"14:00,  국가대표 2(디지털),  0원","17:00,  서울역(디지털),  0원","19:30,  부산행(디지털),  0원",,,,,,,,138
2016-09-26,03관,"16:30,  뉴 스텝업: 어반댄스(디지털),  0원","19:00,  봉이 김선달(디지털),  0원",,,,,,,,,128
2016-09-26,04관,"18:30,  나우 유 씨 미 2(디지털),  0원","21:20,  나우 유 씨 미 2(디지털),  0원",,,,,,,,,138
2016-09-26,05관,"17:30,  굿바이 싱글(디지털),  0원","20:00,  덕혜옹주(디지털),  0원",,,,,,,,,138
2016-09-27,01관,"18:00,  매그니피센트 7(디지털),  7,000원","21:00,  매그니피센트 7(디지털),  7,000원",,,,,,,,,138
2016-09-27,02관,"16:30,  밀정(디지털),  7,000원","19:30,  밀정(디지털),  8,000원",,,,,,,,,138
2016-09-27,03관,"16:00,  밀정(디지털),  9,000원","19:05,  벤허(디지털),  7,000원",,,,,,,,,128
2016-09-27,04관,"17:00,  밀정(디지털),  7,000원","20:25,  밀정(디지털),  7,000원",,,,,,,,,138
2016-09-27,05관,"17:30,  벤허(디지털),  7,000원","20:00,  매그니피센트 7(디지털),  7,000원",,,,,,,,,138
2016-09-28,01관,"18:00,  설리: 허드슨강의 기적(디지털),  5,000원","21:00,  브리짓 존스의 베이비(디지털),  5,000원",,,,,,,,,138
2016-09-28,02관,"16:30,  바다 탐험대 옥토넛 시즌4: 늪지탐험선K(디지털더빙),  6,000원","19:30,  밀정(디지털),  5,000원",,,,,,,,,138
2016-09-28,03관,"16:00,  피터와 드래곤(디지털더빙),  7,000원","19:00,  밀정(디지털),  5,000원",,,,,,,,,128
2016-09-28,04관,"17:00,  피터와 드래곤(디지털더빙),  5,000원","20:00,  아수라(디지털),  5,000원",,,,,,,,,138
2016-09-28,05관,"17:30,  미스 페레그린과 이상한 아이들의 집(디지털),  5,000원","20:30,  벤허(디지털),  5,000원",,,,,,,,,138
2016-09-29,01관,"18:00,  설리: 허드슨강의 기적(디지털),  7,000원","21:00,  브리짓 존스의 베이비(디지털),  9,000원",,,,,,,,,138
2016-09-29,02관,"16:30,  바다 탐험대 옥토넛 시즌4: 늪지탐험선K(디지털더빙),  6,000원","19:30,  밀정(디지털),  7,000원",,,,,,,,,138
2016-09-29,03관,"16:00,  피터와 드래곤(디지털더빙),  9,000원","19:00,  밀정(디지털),  7,000원",,,,,,,,,128
2016-09-29,04관,"17:00,  피터와 드래곤(디지털더빙),  9,000원","20:00,  아수라(디지털),  7,000원",,,,,,,,,138
2016-09-29,05관,"17:30,  미스 페레그린과 이상한 아이들의 집(디지털),  7,000원","20:30,  벤허(디지털),  8,000원",,,,,,,,,138
2016-09-30,01관,"15:00,  설리: 허드슨강의 기적(디지털),  7,000원","18:00,  브리짓 존스의 베이비(디지털),  7,000원","20:30,  아수라(디지털),  7,000원",,,,,,,,138
2016-09-30,02관,"15:30,  피터와 드래곤(디지털더빙),  7,000원","18:30,  벤허(디지털),  11,000원","21:00,  밀정(디지털),  11,000원",,,,,,,,138
2016-09-30,03관,"17:00,  피터와 드래곤(디지털더빙),  8,000원","20:00,  벤허(디지털),  7,000원",,,,,,,,,128
2016-09-30,04관,"16:30,  바다 탐험대 옥토넛 시즌4: 늪지탐험선K(디지털더빙),  6,000원","19:30,  아수라(디지털),  7,000원",,,,,,,,,138
2016-09-30,05관,"16:00,  미스 페레그린과 이상한 아이들의 집(디지털),  7,000원","19:00,  밀정(디지털),  7,000원",,,,,,,,,138
