상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:45,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  국제시장(디지털),  10,000원","21:15,  테이큰 3(디지털),  10,000원","23:35,  기술자들(디지털),  8,000원",,62
2015-01-01,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  10,000원","13:30,  국제시장(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  8,000원",,,56
2015-01-02,01관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:45,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  국제시장(디지털),  10,000원","21:15,  테이큰 3(디지털),  10,000원","23:35,  기술자들(디지털),  8,000원",,62
2015-01-02,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  10,000원","13:30,  국제시장(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  8,000원",,,56
2015-01-03,01관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:45,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  국제시장(디지털),  10,000원","21:15,  테이큰 3(디지털),  10,000원","23:35,  기술자들(디지털),  8,000원",,62
2015-01-03,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  10,000원","13:30,  국제시장(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  8,000원",,,56
2015-01-04,01관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:45,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  국제시장(디지털),  10,000원","21:15,  테이큰 3(디지털),  10,000원","23:35,  기술자들(디지털),  8,000원",,62
2015-01-04,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  10,000원","13:30,  국제시장(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  8,000원",,,56
2015-01-05,01관,"09:20,  테이큰 3(디지털)","11:40,  국제시장(디지털),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:10,  국제시장(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원","23:25,  테이큰 3(디지털),  7,000원",,,62
2015-01-05,02관,"08:50,  국제시장(디지털),  6,000원","11:20,  마다가스카의 펭귄(디지털더빙),  7,000원","13:20,  국제시장(디지털),  9,000원","15:45,  마다가스카의 펭귄(디지털더빙),  9,000원","17:45,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","22:45,  국제시장(디지털),  9,000원",,,56
2015-01-06,01관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:10,  국제시장(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원","23:25,  테이큰 3(디지털),  7,000원",,,62
2015-01-06,02관,"08:50,  국제시장(디지털),  6,000원","11:20,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  국제시장(디지털),  9,000원","15:45,  마다가스카의 펭귄(디지털더빙),  9,000원","17:45,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","22:45,  국제시장(디지털),  9,000원",,,56
2015-01-07,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  9,000원","13:35,  마다가스카의 펭귄(디지털더빙),  7,000원","15:35,  마다가스카의 펭귄(디지털더빙),  9,000원","17:35,  테이큰 3(디지털),  9,000원","19:55,  언브로큰(디지털),  9,000원","22:40,  언브로큰(디지털),  9,000원",,,62
2015-01-07,02관,"08:50,  언브로큰(디지털),  6,000원","11:40,  패딩턴(디지털더빙),  9,000원","13:40,  국제시장(디지털),  9,000원","16:10,  패딩턴(디지털더빙),  9,000원","18:10,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  7,000원",,,56
2015-01-08,01관,"08:50,  언브로큰(디지털)","11:35,  마다가스카의 펭귄(디지털더빙),  9,000원","13:35,  마다가스카의 펭귄(디지털더빙),  9,000원","15:35,  마다가스카의 펭귄(디지털더빙),  9,000원","17:35,  테이큰 3(디지털),  9,000원","19:55,  언브로큰(디지털),  9,000원","22:40,  언브로큰(디지털),  9,000원",,,62
2015-01-08,02관,"09:10,  국제시장(디지털),  6,000원","11:40,  패딩턴(디지털더빙),  9,000원","13:40,  국제시장(디지털),  9,000원","16:10,  패딩턴(디지털더빙),  9,000원","18:10,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  7,000원",,,56
2015-01-09,01관,"08:50,  언브로큰(디지털)","11:35,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털더빙),  10,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  테이큰 3(디지털),  10,000원","19:55,  언브로큰(디지털),  10,000원","22:40,  언브로큰(디지털),  10,000원",,,62
2015-01-09,02관,"09:10,  국제시장(디지털),  6,000원","11:40,  패딩턴(디지털더빙),  10,000원","13:40,  국제시장(디지털),  10,000원","16:10,  패딩턴(디지털더빙),  10,000원","18:10,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  8,000원",,,56
2015-01-10,01관,"08:50,  언브로큰(디지털),  6,000원","11:35,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털더빙),  10,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:55,  언브로큰(디지털),  10,000원","22:40,  언브로큰(디지털),  10,000원",,,62
2015-01-10,02관,"09:10,  국제시장(디지털),  6,000원","11:40,  패딩턴(디지털더빙),  10,000원","13:40,  국제시장(디지털),  10,000원","16:10,  패딩턴(디지털더빙),  10,000원","18:10,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  8,000원",,,56
