상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-07-16,01관,"19:30,  진범(디지털)",,,,,,,,,184
2019-07-16,02관,"16:30,  어글리 돌(디지털더빙)",,,,,,,,,135
2019-07-16,03관,"14:00,  내안의 그놈(디지털)","19:30,  진범(디지털)",,,,,,,,135
2019-07-16,04관,"14:30,  롱 리브 더 킹: 목포 영웅(디지털)",,,,,,,,,142
2019-07-16,05관,"19:00,  말모이(디지털)",,,,,,,,,126
2019-07-16,06관,"17:30,  스윙키즈(디지털)",,,,,,,,,69
2019-07-17,01관,"08:40,  라이온 킹(디지털더빙),  7,000원","11:05,  라이온 킹(디지털),  8,000원","13:30,  라이온 킹(디지털),  10,000원","15:55,  라이온 킹(디지털),  10,000원","18:25,  라이온 킹(디지털),  10,000원","20:50,  라이온 킹(디지털),  10,000원","23:15,  라이온 킹(디지털),  10,000원",,,184
2019-07-17,02관,"09:10,  라이온 킹(디지털),  7,000원","11:35,  라이온 킹(디지털),  8,000원","14:00,  라이온 킹(디지털),  10,000원",,"19:00,  라이온 킹(디지털),  10,000원","21:25,  라이온 킹(디지털),  10,000원","24:00,  라이온 킹(디지털),  8,000원","16:30,  라이온 킹(디지털더빙),  10,000원",,135
2019-07-17,03관,"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  8,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:55,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,135
2019-07-17,04관,"08:30,  사일런스(디지털),  7,000원","10:25,  라이온 킹(디지털)","12:50,  라이온 킹(디지털),  8,000원","15:15,  라이온 킹(디지털),  10,000원","17:40,  라이온 킹(디지털),  10,000원","20:15,  라이온 킹(디지털),  10,000원","22:40,  사일런스(디지털),  10,000원",,,142
2019-07-17,05관,"09:50,  라이온 킹(디지털),  7,000원","12:15,  라이온 킹(디지털더빙),  8,000원","14:40,  라이온 킹(디지털),  10,000원","17:05,  알라딘(디지털더빙),  10,000원","19:40,  라이온 킹(디지털),  10,000원","22:05,  라이온 킹(디지털),  10,000원","24:30,  라이온 킹(디지털),  8,000원",,,126
2019-07-17,06관,"09:20,  알라딘(디지털),  7,000원","11:55,  진범(디지털),  8,000원","14:00,  알라딘(디지털),  10,000원","16:35,  사일런스(디지털),  10,000원","18:30,  진범(디지털),  10,000원","20:35,  알라딘(디지털),  10,000원","23:10,  알라딘(디지털),  10,000원",,,69
2019-07-18,01관,"10:00,  라이온 킹(디지털),  7,000원","12:25,  라이온 킹(디지털),  8,000원","14:50,  알라딘(디지털),  10,000원","17:25,  라이온 킹(디지털),  10,000원","19:50,  라이온 킹(디지털),  10,000원","22:15,  라이온 킹(디지털),  10,000원",,,,184
2019-07-18,02관,"08:50,  라이온 킹(디지털더빙),  7,000원","11:15,  라이온 킹(디지털),  8,000원","13:40,  라이온 킹(디지털더빙),  10,000원","16:05,  라이온 킹(디지털),  10,000원","18:30,  라이온 킹(디지털),  10,000원","20:55,  라이온 킹(디지털),  10,000원","23:20,  라이온 킹(디지털),  10,000원",,,135
2019-07-18,03관,"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  8,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,135
2019-07-18,04관,"09:20,  라이온 킹(디지털),  7,000원","11:45,  라이온 킹(디지털),  8,000원","14:10,  라이온 킹(디지털),  10,000원","16:50,  라이온 킹(디지털더빙),  10,000원","19:15,  라이온 킹(디지털),  10,000원","21:40,  라이온 킹(디지털),  10,000원","24:05,  사일런스(디지털),  8,000원",,,142
