상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,01관,"10:00,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","12:50,  마다가스카의 펭귄(디지털더빙),  5,000원","15:00,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(디지털더빙),  5,000원","19:00,  국제시장(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,54
2015-01-01,02관,"10:30,  상의원(디지털),  5,000원","13:00,  테이큰 3(디지털),  5,000원","15:30,  기술자들(디지털),  5,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:20,  테이큰 3(디지털),  5,000원",,,45
2015-01-02,01관,"10:00,  호빗: 다섯 군대 전투(3D 디지털)","12:50,  마다가스카의 펭귄(디지털더빙),  5,000원","15:00,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(디지털더빙),  5,000원","19:00,  국제시장(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,54
2015-01-02,02관,"10:30,  상의원(디지털),  5,000원","13:00,  테이큰 3(디지털),  5,000원","15:30,  기술자들(디지털),  5,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:20,  테이큰 3(디지털),  5,000원",,,45
2015-01-03,01관,"10:00,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","12:50,  마다가스카의 펭귄(디지털더빙),  5,000원","15:00,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(디지털더빙),  5,000원","19:00,  국제시장(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,54
2015-01-03,02관,"10:30,  상의원(디지털),  5,000원","13:00,  테이큰 3(디지털),  5,000원","15:30,  기술자들(디지털),  5,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:20,  테이큰 3(디지털),  5,000원",,,45
2015-01-04,01관,"10:00,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","12:50,  마다가스카의 펭귄(디지털더빙),  5,000원","15:00,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(디지털더빙),  5,000원","19:00,  국제시장(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,54
2015-01-04,02관,"10:30,  상의원(디지털),  5,000원","13:00,  테이큰 3(디지털),  5,000원","15:30,  기술자들(디지털),  5,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:20,  테이큰 3(디지털),  5,000원",,,45
2015-01-05,02관,"10:00,  상의원(디지털),  5,000원","12:30,  마다가스카의 펭귄(디지털더빙),  5,000원","14:30,  기술자들(디지털),  5,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","19:00,  테이큰 3(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,45
2015-01-06,02관,"10:00,  상의원(디지털),  5,000원","12:30,  마다가스카의 펭귄(디지털더빙),  5,000원","14:30,  기술자들(디지털),  5,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","19:00,  테이큰 3(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,45
