상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-07-22,01관,"18:00,  킹콩(필름)","20:15,  킹콩(필름)",,,,,,,,,,55
2015-07-22,02관,"18:00,  킹콩(필름)","20:15,  킹콩(필름)",,,,,,,,,,43
2015-07-27,01관,"15:00,  암살(디지털),  5,000원","18:30,  암살(디지털)",,,,,,,,,,55
2015-07-27,02관,"15:00,  연평해전(디지털),  5,000원","18:50,  연평해전(디지털)",,,,,,,,,,43
2015-07-28,01관,"10:00,  암살(디지털),  5,000원","12:50,  암살(디지털),  5,000원","15:40,  암살(디지털),  5,000원","18:40,  암살(디지털),  5,000원","21:10,  암살(디지털),  5,000원","23:50,  암살(디지털),  5,000원",,,,,,55
2015-07-28,02관,"10:00,  연평해전(디지털),  5,000원","13:50,  연평해전(디지털),  5,000원","16:20,  연평해전(디지털),  5,000원","18:50,  연평해전(디지털),  5,000원","20:50,  연평해전(디지털),  5,000원","23:50,  연평해전(디지털),  5,000원",,,,,,43
2015-07-29,01관,"10:00,  암살(디지털),  5,000원","12:40,  암살(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:00,  암살(디지털),  5,000원","20:40,  암살(디지털),  5,000원",,,,,,,55
2015-07-29,02관,"10:00,  연평해전(디지털)","12:50,  연평해전(디지털),  5,000원","15:20,  연평해전(디지털),  5,000원","17:50,  연평해전(디지털),  5,000원","20:20,  연평해전(디지털),  5,000원",,,,,,,43
2015-07-30,01관,"10:30,  암살(디지털),  5,000원","13:20,  암살(디지털),  5,000원","16:10,  미니언즈(3D 더빙),  8,000원","18:10,  암살(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,55
2015-07-30,02관,"10:50,  미니언즈(디지털더빙),  5,000원","12:50,  연평해전(디지털),  5,000원","15:30,  고녀석 맛나겠다2 : 함께라서 행복해(디지털더빙),  5,000원","17:25,  미션 임파서블: 로그네이션(디지털),  5,000원","20:10,  미션 임파서블: 로그네이션(디지털),  5,000원",,,,,,,43
2015-07-31,01관,"10:30,  암살(디지털),  5,000원","13:20,  암살(디지털),  5,000원","16:10,  미니언즈(3D 더빙),  8,000원","18:10,  암살(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,55
2015-07-31,02관,"10:50,  미니언즈(디지털더빙),  4,000원","12:50,  고녀석 맛나겠다2 : 함께라서 행복해(디지털),  5,000원","14:40,  연평해전(디지털),  5,000원","17:25,  미션 임파서블: 로그네이션(디지털),  5,000원","20:10,  미션 임파서블: 로그네이션(디지털),  5,000원","09:00,  미니언즈(디지털더빙),  5,000원",,,,,,43
