상영일자,상영관,1회,2회,3회,좌석수
2015-01-01,01관,"19:30,  기술자들(디지털),  24,000원","21:40,  기술자들(디지털),  24,000원","23:40,  호빗: 다섯 군대 전투(디지털),  24,000원",180
2015-01-02,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  호빗: 다섯 군대 전투(디지털),  20,000원",180
2015-01-03,01관,"19:30,  기술자들(디지털),  24,000원","21:40,  기술자들(디지털),  24,000원","23:40,  호빗: 다섯 군대 전투(디지털),  24,000원",180
2015-01-04,01관,"19:30,  기술자들(디지털),  24,000원","21:40,  기술자들(디지털),  24,000원","23:40,  호빗: 다섯 군대 전투(디지털),  24,000원",180
2015-01-05,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  호빗: 다섯 군대 전투(디지털),  20,000원",180
2015-01-06,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  호빗: 다섯 군대 전투(디지털),  20,000원",180
2015-01-07,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  호빗: 다섯 군대 전투(디지털),  20,000원",180
2015-01-08,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  기술자들(디지털),  20,000원",180
2015-01-09,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  기술자들(디지털),  20,000원",180
2015-01-10,01관,"19:30,  기술자들(디지털),  24,000원","21:40,  기술자들(디지털),  24,000원","23:40,  기술자들(디지털),  24,000원",180
2015-01-11,01관,"19:30,  기술자들(디지털),  24,000원","21:40,  기술자들(디지털),  24,000원","23:40,  기술자들(디지털),  24,000원",180
2015-01-12,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  기술자들(디지털),  20,000원",180
2015-01-13,01관,"19:30,  기술자들(디지털),  20,000원","21:40,  기술자들(디지털),  20,000원","23:40,  기술자들(디지털),  20,000원",180
2015-01-14,01관,"19:30,  허삼관(디지털),  20,000원","21:40,  허삼관(디지털),  20,000원","23:50,  허삼관(디지털),  20,000원",180
2015-01-15,01관,"19:30,  허삼관(디지털),  20,000원","21:40,  허삼관(디지털),  20,000원","23:50,  허삼관(디지털),  20,000원",180
2015-01-16,01관,"19:30,  허삼관(디지털),  20,000원","21:40,  허삼관(디지털),  20,000원","23:50,  허삼관(디지털),  20,000원",180
2015-01-17,01관,"19:30,  허삼관(디지털),  24,000원","21:40,  허삼관(디지털),  24,000원","23:50,  허삼관(디지털),  24,000원",180
2015-01-18,01관,"19:30,  허삼관(디지털),  24,000원","21:40,  허삼관(디지털),  24,000원","23:50,  허삼관(디지털),  24,000원",180
2015-01-19,01관,"19:30,  허삼관(디지털),  20,000원","21:40,  허삼관(디지털),  20,000원","23:50,  허삼관(디지털),  20,000원",180
2015-01-20,01관,"19:30,  허삼관(디지털),  20,000원","21:40,  허삼관(디지털),  20,000원","23:50,  허삼관(디지털),  20,000원",180
2015-01-21,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-22,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-23,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-24,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-01-25,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-01-26,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-27,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-28,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털)",180
2015-01-29,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-30,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-01-31,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-02-01,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-02-02,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-03,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-04,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-05,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-06,01관,"19:30,  강남 1970(디지털),  18,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-07,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-02-08,01관,"19:30,  강남 1970(디지털),  24,000원","21:50,  강남 1970(디지털),  24,000원","24:10,  강남 1970(디지털),  24,000원",180
2015-02-09,01관,"19:30,  강남 1970(디지털)","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털)",180
2015-02-10,01관,"19:30,  강남 1970(디지털),  20,000원","21:50,  강남 1970(디지털),  20,000원","24:10,  강남 1970(디지털),  20,000원",180
2015-02-11,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
2015-02-12,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  18,000원",180
2015-02-13,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
2015-02-14,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-15,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-16,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
2015-02-17,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
2015-02-18,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-19,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-20,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-21,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-22,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  24,000원",180
2015-02-23,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
2015-02-24,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털)",180
2015-02-25,01관,"19:30,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","21:40,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원","23:50,  조선명탐정 : 사라진 놉의 딸(디지털),  20,000원",180
