상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-08-22,01관,"15:00,  롱 리브 더 킹: 목포 영웅(디지털),  0원",,,,,,,75
2019-08-22,02관,"19:00,  나랏말싸미(디지털)",,,,,,,88
2019-08-22,03관,"21:00,  뺑반(디지털)",,,,,,,101
2019-08-22,04관,"17:00,  기묘한 가족(디지털)",,,,,,,69
2019-08-22,06관,"13:00,  기방도령(디지털)",,,,,,,69
2019-08-23,01관,"10:00,  봉오동 전투(디지털),  8,000원","12:40,  봉오동 전투(디지털),  11,000원",,"18:15,  봉오동 전투(디지털),  11,000원","21:10,  봉오동 전투(디지털),  11,000원",,,75
2019-08-23,02관,"09:30,  엑시트(디지털),  8,000원","11:35,  엑시트(디지털),  9,000원","13:40,  엑시트(디지털),  11,000원","15:45,  엑시트(디지털),  11,000원","17:50,  엑시트(디지털),  11,000원","19:55,  엑시트(디지털),  11,000원","22:00,  엑시트(디지털),  11,000원",88
2019-08-23,03관,"09:30,  분노의 질주: 홉스&쇼(디지털),  8,000원","12:10,  분노의 질주: 홉스&쇼(디지털),  11,000원","14:50,  분노의 질주: 홉스&쇼(디지털),  11,000원","17:30,  분노의 질주: 홉스&쇼(디지털),  11,000원","20:30,  분노의 질주: 홉스&쇼(디지털),  11,000원",,,101
2019-08-23,04관,"10:00,  광대들: 풍문조작단(디지털),  8,000원","12:20,  광대들: 풍문조작단(디지털),  11,000원","14:30,  광대들: 풍문조작단(디지털),  11,000원","16:40,  광대들: 풍문조작단(디지털),  11,000원","18:50,  광대들: 풍문조작단(디지털),  11,000원","21:00,  광대들: 풍문조작단(디지털),  11,000원",,69
2019-08-23,05관,"10:20,  라라와 움직이는 비밀의 숲(디지털더빙)","12:00,  안녕, 티라노: 영원히, 함께(디지털더빙)","14:00,  마이펫의 이중생활 2(디지털더빙)","16:00,  안녕, 티라노: 영원히, 함께(디지털더빙)","18:30,  분노의 질주: 홉스&쇼(디지털),  11,000원","21:30,  분노의 질주: 홉스&쇼(디지털),  11,000원",,69
2019-08-23,06관,"10:40,  변신(디지털),  8,000원","12:55,  변신(디지털),  9,000원","15:10,  변신(디지털),  11,000원","17:25,  변신(디지털),  11,000원","19:40,  변신(디지털),  11,000원","22:00,  변신(디지털),  11,000원",,69
2019-08-24,01관,"10:00,  봉오동 전투(디지털),  8,000원","12:40,  봉오동 전투(디지털),  11,000원","15:20,  봉오동 전투(디지털),  11,000원","18:15,  봉오동 전투(디지털),  11,000원","21:10,  봉오동 전투(디지털),  11,000원",,,75
2019-08-24,02관,"09:30,  엑시트(디지털),  8,000원","11:35,  엑시트(디지털),  11,000원","13:40,  엑시트(디지털),  11,000원","15:45,  엑시트(디지털),  11,000원","17:50,  엑시트(디지털),  11,000원","19:55,  엑시트(디지털),  11,000원","22:00,  엑시트(디지털),  11,000원",88
