상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:00,  국제시장(디지털),  6,000원","11:25,  국제시장(디지털),  9,000원","13:45,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:05,  국제시장(디지털),  9,000원",,,,184
2015-01-01,02관,"08:50,  기술자들(디지털),  6,000원","11:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:40,  기술자들(디지털),  9,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:30,  마다가스카의 펭귄(디지털더빙),  9,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  기술자들(디지털),  9,000원",,96
2015-01-01,03관,"09:10,  테이큰 3(디지털),  6,000원","11:15,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:10,  마다가스카의 펭귄(디지털더빙),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:05,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  9,000원",,,126
2015-01-02,01관,"09:00,  국제시장(디지털),  6,000원","11:25,  국제시장(디지털),  9,000원","13:45,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:05,  국제시장(디지털),  9,000원",,,,184
2015-01-02,02관,"08:50,  기술자들(디지털),  6,000원","11:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:40,  기술자들(디지털),  9,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:30,  마다가스카의 펭귄(디지털더빙),  9,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  기술자들(디지털),  9,000원",,96
2015-01-02,03관,"09:10,  테이큰 3(디지털),  6,000원","11:15,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:05,  마다가스카의 펭귄(디지털더빙),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:05,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  9,000원",,,126
2015-01-03,01관,"09:00,  국제시장(디지털),  6,000원","11:25,  국제시장(디지털),  9,000원","13:45,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:05,  국제시장(디지털),  9,000원",,,,184
2015-01-03,02관,"08:50,  기술자들(디지털),  6,000원","11:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:40,  기술자들(디지털),  9,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:30,  마다가스카의 펭귄(디지털더빙),  9,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  기술자들(디지털),  9,000원",,96
2015-01-03,03관,"09:10,  테이큰 3(디지털),  6,000원","11:15,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:05,  마다가스카의 펭귄(디지털더빙),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:05,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  9,000원",,,126
2015-01-04,01관,"09:00,  국제시장(디지털),  6,000원","11:25,  국제시장(디지털),  9,000원","13:45,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:05,  국제시장(디지털),  9,000원",,,,184
