상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2017-08-17,02관,,,"11:40,  혹성탈출: 종의 전쟁(디지털),  10,000원","14:30,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,118
2017-08-17,04관,,,,,"16:25,  애나벨 : 인형의 주인(디지털),  10,000원",,,,,,,190
2017-08-17,05관,,,"11:30,  하이큐!! 승자와 패자(디지털더빙),  6,000원","13:30,  청년경찰(디지털),  10,000원","15:50,  청년경찰(디지털),  10,000원",,,,,,,168
2017-08-17,6관(MX관),,,"12:30,  혹성탈출: 종의 전쟁(디지털),  11,000원","15:30,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,218
2017-08-17,07관,,,"12:00,  공범자들(디지털),  10,000원","14:20,  장산범(디지털),  10,000원","16:30,  장산범(디지털),  10,000원",,,,,,,152
2017-08-17,08관,,,"11:30,  빅풋 주니어(디지털더빙),  7,000원","13:35,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  0원","15:50,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  10,000원",,,,,,,25
2017-08-17,09관,,,"12:00,  슈퍼배드 3(디지털더빙),  10,000원",,,,,,,,,29
2017-08-18,01관,,"12:30,  택시운전사(디지털),  11,000원","15:20,  택시운전사(디지털),  11,000원",,,,,,,,,178
2017-08-18,02관,,"11:30,  하이큐!! 승자와 패자(디지털더빙),  9,000원","13:25,  혹성탈출: 종의 전쟁(디지털),  11,000원","16:15,  택시운전사(디지털),  11,000원",,,,,,,,118
2017-08-18,03관,,"12:40,  혹성탈출: 종의 전쟁(디지털),  11,000원","15:40,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,,136
2017-08-18,04관,,"11:40,  애나벨 : 인형의 주인(디지털),  11,000원",,"16:25,  애나벨 : 인형의 주인(디지털),  11,000원",,,,,,,,190
2017-08-18,05관,,"12:10,  청년경찰(디지털),  11,000원","14:30,  청년경찰(디지털),  11,000원","16:50,  청년경찰(디지털),  11,000원",,,,,,,,168
2017-08-18,6관(MX관),,"11:40,  혹성탈출: 종의 전쟁(디지털),  12,000원",,,,,,,,,,218
2017-08-18,07관,,"11:50,  공범자들(디지털),  11,000원","14:10,  택시운전사(디지털),  11,000원","17:00,  장산범(디지털),  11,000원",,,,,,,,152
2017-08-18,08관,,"11:30,  빅풋 주니어(디지털더빙),  7,000원","13:35,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  11,000원","15:50,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  11,000원",,,,,,,,25
2017-08-18,09관,,"12:00,  슈퍼배드 3(디지털더빙),  9,000원","14:00,  슈퍼배드 3(디지털더빙),  11,000원",,,,,,,,,29
2017-08-19,01관,,"11:30,  택시운전사(디지털),  11,000원","14:20,  택시운전사(디지털),  11,000원",,,,,,,,,178
2017-08-19,02관,,"12:00,  혹성탈출: 종의 전쟁(디지털),  11,000원","14:50,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,,118
2017-08-19,03관,,"12:00,  하이큐!! 승자와 패자(디지털더빙),  9,000원",,"16:10,  택시운전사(디지털),  11,000원",,,,,,,,136
2017-08-19,04관,,,,"15:10,  택시운전사(디지털),  11,000원",,,,,,,,190
2017-08-19,05관,,"11:30,  청년경찰(디지털),  11,000원","14:00,  청년경찰(디지털),  11,000원","16:20,  청년경찰(디지털),  11,000원",,,,,,,,168
2017-08-19,6관(MX관),,"13:00,  혹성탈출: 종의 전쟁(디지털),  12,000원",,,,,,,,,,218
2017-08-19,07관,,"12:00,  공범자들(디지털),  11,000원","14:25,  장산범(디지털),  11,000원","16:40,  애나벨 : 인형의 주인(디지털),  11,000원",,,,,,,,152
2017-08-19,08관,,"12:30,  빅풋 주니어(디지털더빙),  11,000원",,,,,,,,,,25
2017-08-19,09관,,"11:40,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  11,000원","13:55,  슈퍼배드 3(디지털더빙),  11,000원","16:00,  슈퍼배드 3(디지털더빙),  11,000원",,,,,,,,29
2017-08-20,01관,,"12:00,  택시운전사(디지털),  11,000원","14:50,  택시운전사(디지털),  11,000원",,,,,,,,,178
2017-08-20,02관,,"12:00,  애나벨 : 인형의 주인(디지털),  11,000원","14:20,  하이큐!! 승자와 패자(디지털더빙),  11,000원","16:20,  택시운전사(디지털),  11,000원",,,,,,,,118
2017-08-20,03관,,"13:00,  너의 이름은.(디지털)","15:20,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,,136
2017-08-20,04관,,"13:00,  택시운전사(디지털),  11,000원","16:00,  박열(디지털)",,,,,,,,,190
2017-08-20,05관,,"11:30,  청년경찰(디지털),  11,000원","13:50,  청년경찰(디지털),  11,000원","16:10,  청년경찰(디지털),  11,000원",,,,,,,,168
2017-08-20,6관(MX관),,"11:40,  혹성탈출: 종의 전쟁(디지털),  12,000원","14:30,  혹성탈출: 종의 전쟁(디지털),  12,000원",,,,,,,,,218
2017-08-20,07관,,"11:50,  공범자들(디지털),  11,000원","14:20,  장산범(디지털),  11,000원","16:30,  장산범(디지털),  11,000원",,,,,,,,152
2017-08-20,08관,,"12:50,  빅풋 주니어(디지털더빙),  11,000원","15:00,  나부코(디지털)",,,,,,,,,25
2017-08-20,09관,,"11:50,  슈퍼배드 3(디지털더빙),  11,000원","14:00,  오두막(디지털)","16:50,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  11,000원",,,,,,,,29
2017-08-21,01관,,"11:50,  택시운전사(디지털),  10,000원","14:40,  택시운전사(디지털),  10,000원",,,,,,,,,178
2017-08-21,02관,,"11:30,  하이큐!! 승자와 패자(디지털더빙),  6,000원","13:30,  택시운전사(디지털),  10,000원","16:20,  애나벨 : 인형의 주인(디지털),  8,000원",,,,,,,,118
2017-08-21,03관,,"12:10,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,136
2017-08-21,04관,,,"15:45,  택시운전사(디지털),  10,000원",,,,,,,,,190
2017-08-21,05관,,"11:50,  청년경찰(디지털),  10,000원","14:10,  청년경찰(디지털),  10,000원","16:30,  청년경찰(디지털),  10,000원",,,,,,,,168
2017-08-21,6관(MX관),,"11:30,  혹성탈출: 종의 전쟁(디지털),  11,000원","14:20,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,,218
2017-08-21,07관,,"11:40,  장산범(디지털),  10,000원","13:50,  공범자들(디지털),  10,000원","16:10,  장산범(디지털),  10,000원",,,,,,,,152
2017-08-21,08관,,"11:30,  빅풋 주니어(디지털더빙),  10,000원","13:35,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  10,000원","15:50,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  10,000원",,,,,,,,25
2017-08-21,09관,,"12:00,  슈퍼배드 3(디지털더빙),  10,000원","14:00,  슈퍼배드 3(디지털더빙),  10,000원",,,,,,,,,29
2017-08-22,01관,,"11:30,  택시운전사(디지털),  10,000원","14:20,  택시운전사(디지털),  10,000원",,,,,,,,,178
2017-08-22,02관,,"11:30,  하이큐!! 승자와 패자(디지털더빙),  8,000원","13:30,  혹성탈출: 종의 전쟁(디지털),  8,000원","16:30,  애나벨 : 인형의 주인(디지털),  10,000원",,,,,,,,118
2017-08-22,03관,,,"15:40,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,136
2017-08-22,04관,,"12:30,  택시운전사(디지털),  10,000원","15:20,  택시운전사(디지털),  10,000원",,,,,,,,,190
2017-08-22,05관,,"11:40,  청년경찰(디지털),  10,000원","14:00,  청년경찰(디지털),  10,000원","16:20,  청년경찰(디지털),  10,000원",,,,,,,,168
2017-08-22,6관(MX관),,"11:50,  혹성탈출: 종의 전쟁(디지털),  11,000원","14:40,  혹성탈출: 종의 전쟁(디지털),  11,000원",,,,,,,,,218
2017-08-22,07관,,"12:10,  공범자들(디지털),  10,000원","14:30,  장산범(디지털),  10,000원","16:40,  장산범(디지털),  8,000원",,,,,,,,152
2017-08-22,08관,,"11:30,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  10,000원","13:45,  빅풋 주니어(디지털더빙),  6,000원","15:50,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  6,000원",,,,,,,,25
