상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,247
2015-01-01,02관,"10:00,  마다가스카의 펭귄(3D 더빙),  11,000원","11:50,  마다가스카의 펭귄(3D 더빙),  11,000원","13:40,  마다가스카의 펭귄(3D 더빙),  11,000원","15:30,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,176
2015-01-01,03관,"10:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:00,  기술자들(디지털),  9,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,246
2015-01-01,04관,"10:00,  테이큰 3(디지털),  9,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,182
2015-01-02,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,247
2015-01-02,02관,"10:00,  마다가스카의 펭귄(3D 더빙),  11,000원","11:50,  마다가스카의 펭귄(3D 더빙),  11,000원","13:40,  마다가스카의 펭귄(3D 더빙),  11,000원","15:30,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,176
2015-01-02,03관,"10:10,  님아, 그 강을 건너지 마오(디지털)","12:00,  기술자들(디지털)","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,246
2015-01-02,04관,"10:00,  테이큰 3(디지털),  9,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,182
2015-01-03,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:20,  국제시장(디지털),  9,000원",,,247
2015-01-03,02관,"10:00,  마다가스카의 펭귄(3D 더빙),  11,000원","11:50,  마다가스카의 펭귄(3D 더빙),  11,000원","13:40,  마다가스카의 펭귄(3D 더빙),  11,000원","15:30,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:10,  테이큰 3(디지털),  9,000원",,176
2015-01-03,03관,"10:10,  님아, 그 강을 건너지 마오(디지털)","12:00,  기술자들(디지털)","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,246
2015-01-03,04관,"10:00,  테이큰 3(디지털),  9,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,182
2015-01-04,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,247
2015-01-04,02관,"10:00,  마다가스카의 펭귄(3D 더빙),  11,000원","11:50,  마다가스카의 펭귄(3D 더빙),  11,000원","13:40,  마다가스카의 펭귄(3D 더빙),  11,000원","15:30,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,176
2015-01-04,03관,"10:10,  님아, 그 강을 건너지 마오(디지털)","12:00,  기술자들(디지털)","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,246
2015-01-04,04관,"10:00,  테이큰 3(디지털),  9,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,182
2015-01-05,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,247
2015-01-05,02관,"10:00,  마다가스카의 펭귄(3D 더빙),  11,000원","11:50,  마다가스카의 펭귄(3D 더빙),  11,000원","13:40,  마다가스카의 펭귄(3D 더빙),  11,000원","15:30,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  7,500원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,176
2015-01-05,03관,"10:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:30,  마다가스카의 펭귄(3D 더빙),  11,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,246
2015-01-05,04관,"10:00,  테이큰 3(디지털),  9,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,182
2015-01-06,01관,"09:50,  국제시장(디지털),  9,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,247
