상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-09-19,01관,,,,"16:50,  물괴(디지털),  7,000원","19:10,  명당(디지털),  6,000원","21:50,  명당(디지털),  8,000원",,,,,137
2018-09-19,02관,,,,"16:10,  협상(디지털),  10,000원","18:35,  협상(디지털),  10,000원","21:00,  협상(디지털),  10,000원",,,,,150
2018-09-19,03관,,,,"16:00,  안시성(디지털),  6,000원","18:50,  안시성(디지털),  6,000원","21:35,  안시성(디지털),  10,000원",,,,,138
2018-09-19,04관,,,,"15:30,  명당(디지털),  10,000원","18:05,  명당(디지털),  6,000원","20:40,  명당(디지털),  10,000원",,,,,150
2018-09-19,05관,,,,"15:40,  더 넌(디지털),  8,000원","17:45,  더 넌(디지털),  9,000원","19:50,  더 넌(디지털),  10,000원","22:00,  더 넌(디지털),  8,000원",,,,137
2018-09-20,01관,"09:10,  안시성(디지털),  6,000원","12:00,  루이스(디지털더빙),  6,000원","14:00,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털),  6,000원","15:45,  물괴(디지털),  6,000원","18:00,  명당(디지털),  10,000원","20:40,  명당(디지털),  6,000원","23:20,  명당(디지털),  6,000원",,,,137
2018-09-20,02관,"09:20,  명당(디지털),  7,000원","11:55,  명당(디지털),  8,000원","14:30,  명당(디지털),  6,000원","17:05,  명당(디지털),  6,000원","19:40,  명당(디지털),  9,000원","22:15,  명당(디지털),  6,000원","24:50,  명당(디지털),  6,000원",,,,150
2018-09-20,03관,,"10:55,  안시성(디지털),  8,000원","13:40,  안시성(디지털),  6,000원","16:25,  안시성(디지털),  10,000원","19:10,  안시성(디지털),  10,000원","21:55,  안시성(디지털),  10,000원","24:40,  안시성(디지털),  8,000원",,,,138
2018-09-20,04관,,"10:25,  협상(디지털),  8,000원","12:50,  협상(디지털),  6,000원","15:15,  협상(디지털),  6,000원","17:40,  협상(디지털),  6,000원","20:05,  협상(디지털),  6,000원","22:30,  협상(디지털),  6,000원","24:55,  협상(디지털),  6,000원",,,150
2018-09-20,05관,"09:40,  협상(디지털),  6,000원",,"12:25,  더 넌(디지털),  8,000원","14:45,  루이스(디지털더빙),  10,000원","16:40,  더 넌(디지털),  6,000원","18:45,  더 넌(디지털),  6,000원","20:50,  더 넌(디지털),  10,000원","22:55,  더 넌(디지털),  10,000원","25:00,  더 넌(디지털),  6,000원",,137
