상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-09-26,01관,"10:00,  살인자의 기억법(디지털)","12:20,  살인자의 기억법(디지털),  5,000원","14:40,  살인자의 기억법(디지털),  7,000원","17:00,  살인자의 기억법(디지털)","19:20,  살인자의 기억법(디지털),  9,000원","21:40,  살인자의 기억법(디지털),  7,000원","24:00,  살인자의 기억법(디지털),  7,000원",,,130
2017-09-26,02관,"10:20,  그것(디지털)","13:00,  택시운전사(디지털)","15:40,  그것(디지털)","18:20,  김광석(디지털),  9,000원","20:05,  택시운전사(디지털)","22:45,  김광석(디지털),  9,000원","24:30,  김광석(디지털),  7,000원",,,95
2017-09-26,03관,"10:10,  아메리칸 메이드(디지털)","12:30,  부니베어: 나무 도둑의 습격(디지털더빙)","13:55,  호비와 무지개 오아시스 대모험(디지털더빙)","15:20,  부니베어: 나무 도둑의 습격(디지털더빙)","16:40,  베이비 드라이버(디지털)","18:55,  아메리칸 메이드(디지털),  5,000원","21:15,  인비저블 게스트(디지털),  9,000원","23:25,  아메리칸 메이드(디지털),  7,000원",,95
2017-09-26,04관,"10:10,  베이비 드라이버(디지털)","12:25,  잃어버린 도시 Z(디지털)","15:10,  이웃집 스타(디지털)","17:10,  잃어버린 도시 Z(디지털),  0원","19:55,  이웃집 스타(디지털)","21:55,  베이비 드라이버(디지털),  9,000원","24:10,  베이비 드라이버(디지털),  7,000원",,,130
2017-09-26,05관,"08:50,  아이 캔 스피크(디지털)","11:15,  아이 캔 스피크(디지털),  6,000원","13:35,  아이 캔 스피크(디지털),  9,000원","15:55,  아이 캔 스피크(디지털),  7,000원","18:15,  아이 캔 스피크(디지털),  6,000원","20:35,  아이 캔 스피크(디지털),  9,000원","22:55,  아이 캔 스피크(디지털),  9,000원",,,130
2017-09-26,06관,"10:00,  아이 캔 스피크(디지털)","12:20,  아이 캔 스피크(디지털),  9,000원","14:40,  아이 캔 스피크(디지털),  9,000원","17:00,  인비저블 게스트(디지털)","19:10,  아이 캔 스피크(디지털),  9,000원","21:30,  아이 캔 스피크(디지털),  7,000원","23:50,  아이 캔 스피크(디지털)",,,83
2017-09-27,01관,"09:10,  킹스맨: 골든 서클(디지털),  6,000원","12:00,  킹스맨: 골든 서클(디지털),  9,000원","14:50,  킹스맨: 골든 서클(디지털),  9,000원","17:40,  킹스맨: 골든 서클(디지털),  7,000원","20:30,  킹스맨: 골든 서클(디지털),  9,000원","23:20,  킹스맨: 골든 서클(디지털),  7,000원",,,,130
2017-09-27,02관,"10:10,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  6,000원",,"14:10,  킹스맨: 골든 서클(디지털),  9,000원","17:00,  킹스맨: 골든 서클(디지털),  5,000원","19:50,  킹스맨: 골든 서클(디지털),  9,000원","22:40,  킹스맨: 골든 서클(디지털),  7,000원",,,,95
2017-09-27,03관,"09:40,  킹스맨: 골든 서클(디지털),  6,000원","12:30,  킹스맨: 골든 서클(디지털),  9,000원","15:20,  킹스맨: 골든 서클(디지털),  9,000원","18:10,  킹스맨: 골든 서클(디지털),  5,000원","21:00,  킹스맨: 골든 서클(디지털),  9,000원","23:50,  킹스맨: 골든 서클(디지털),  7,000원",,,,95
2017-09-27,04관,,"10:45,  잃어버린 도시 Z(디지털),  6,000원","13:30,  킹스맨: 골든 서클(디지털),  9,000원","16:20,  킹스맨: 골든 서클(디지털),  9,000원","19:10,  킹스맨: 골든 서클(디지털),  9,000원","22:00,  킹스맨: 골든 서클(디지털),  9,000원",,,,130
2017-09-27,05관,"10:00,  살인자의 기억법(디지털),  6,000원","12:30,  아이 캔 스피크(디지털),  7,000원","15:00,  아이 캔 스피크(디지털),  9,000원","17:30,  살인자의 기억법(디지털),  5,000원","20:00,  아이 캔 스피크(디지털),  6,000원","22:30,  살인자의 기억법(디지털),  9,000원",,,,130
2017-09-27,06관,"09:00,  아이 캔 스피크(디지털),  6,000원","11:30,  아이 캔 스피크(디지털),  9,000원","14:00,  아이 캔 스피크(디지털),  7,000원","16:30,  아이 캔 스피크(디지털),  9,000원","19:00,  아이 캔 스피크(디지털),  7,000원","21:30,  아이 캔 스피크(디지털),  9,000원",,,,83
2017-09-28,01관,"09:10,  킹스맨: 골든 서클(디지털),  6,000원","12:00,  킹스맨: 골든 서클(디지털),  9,000원","14:50,  킹스맨: 골든 서클(디지털),  9,000원","17:40,  킹스맨: 골든 서클(디지털),  9,000원","20:30,  킹스맨: 골든 서클(디지털),  9,000원","23:20,  킹스맨: 골든 서클(디지털)",,,,130
2017-09-28,02관,"10:00,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙)","12:00,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  9,000원","14:00,  레고 닌자고 무비(디지털더빙)","16:15,  킹스맨: 골든 서클(디지털),  9,000원","19:10,  킹스맨: 골든 서클(디지털),  9,000원","22:00,  킹스맨: 골든 서클(디지털),  9,000원",,,,95
2017-09-28,03관,"09:40,  킹스맨: 골든 서클(디지털),  6,000원","12:30,  킹스맨: 골든 서클(디지털)","15:20,  킹스맨: 골든 서클(디지털),  9,000원","18:10,  킹스맨: 골든 서클(디지털),  9,000원","21:00,  킹스맨: 골든 서클(디지털),  9,000원","23:50,  킹스맨: 골든 서클(디지털),  7,000원",,,,95
2017-09-28,04관,"08:40,  킹스맨: 골든 서클(디지털),  6,000원","11:35,  리틀 프린세스 소피아 : 신비한 섬(디지털더빙),  7,000원","13:10,  리틀 프린세스 소피아 : 신비한 섬(디지털더빙),  0원","14:45,  레고 닌자고 무비(디지털더빙)","17:00,  킹스맨: 골든 서클(디지털),  9,000원","19:55,  킹스맨: 골든 서클(디지털),  9,000원","22:50,  킹스맨: 골든 서클(디지털),  9,000원",,,130
2017-09-28,05관,"10:00,  살인자의 기억법(디지털),  6,000원","12:30,  아이 캔 스피크(디지털)","15:00,  아이 캔 스피크(디지털),  7,000원","17:30,  살인자의 기억법(디지털)","20:00,  아이 캔 스피크(디지털),  9,000원","22:30,  살인자의 기억법(디지털)",,,,130
2017-09-28,06관,"09:00,  아이 캔 스피크(디지털)","11:30,  아이 캔 스피크(디지털),  7,000원","14:00,  아이 캔 스피크(디지털),  9,000원","16:30,  아이 캔 스피크(디지털),  7,000원","19:00,  아이 캔 스피크(디지털),  9,000원","21:30,  아이 캔 스피크(디지털),  9,000원","24:00,  아이 캔 스피크(디지털)",,,83
2017-09-29,01관,"09:10,  킹스맨: 골든 서클(디지털),  6,000원","12:00,  킹스맨: 골든 서클(디지털),  10,000원","14:50,  킹스맨: 골든 서클(디지털),  10,000원","17:40,  킹스맨: 골든 서클(디지털),  10,000원","20:30,  킹스맨: 골든 서클(디지털),  10,000원","23:20,  킹스맨: 골든 서클(디지털),  9,000원",,,,130
2017-09-29,02관,,,"14:00,  레고 닌자고 무비(디지털더빙),  10,000원","16:15,  킹스맨: 골든 서클(디지털),  10,000원","19:10,  킹스맨: 골든 서클(디지털),  10,000원","22:00,  킹스맨: 골든 서클(디지털),  10,000원",,,,95
2017-09-29,03관,"09:40,  킹스맨: 골든 서클(디지털),  7,000원","12:30,  킹스맨: 골든 서클(디지털),  10,000원","15:20,  킹스맨: 골든 서클(디지털),  10,000원","18:10,  킹스맨: 골든 서클(디지털),  10,000원","21:00,  킹스맨: 골든 서클(디지털),  10,000원","23:50,  킹스맨: 골든 서클(디지털),  9,000원",,,,95
2017-09-29,04관,"08:40,  킹스맨: 골든 서클(디지털),  7,000원","11:35,  리틀 프린세스 소피아 : 신비한 섬(디지털더빙),  8,000원",,,"17:00,  킹스맨: 골든 서클(디지털),  10,000원","19:55,  킹스맨: 골든 서클(디지털),  10,000원","22:50,  킹스맨: 골든 서클(디지털),  10,000원",,,130
2017-09-29,05관,"10:00,  살인자의 기억법(디지털),  6,000원","12:30,  아이 캔 스피크(디지털),  8,000원","15:00,  아이 캔 스피크(디지털),  10,000원","17:30,  살인자의 기억법(디지털),  8,000원","20:00,  아이 캔 스피크(디지털),  10,000원","22:30,  살인자의 기억법(디지털),  10,000원",,,,130
2017-09-29,06관,"09:00,  아이 캔 스피크(디지털),  7,000원","11:30,  아이 캔 스피크(디지털),  8,000원","14:00,  아이 캔 스피크(디지털),  10,000원","16:30,  아이 캔 스피크(디지털),  8,000원","19:00,  아이 캔 스피크(디지털),  10,000원","21:30,  아이 캔 스피크(디지털),  10,000원","24:00,  아이 캔 스피크(디지털),  9,000원",,,83
2017-09-30,01관,"09:10,  킹스맨: 골든 서클(디지털),  7,000원","12:00,  킹스맨: 골든 서클(디지털),  10,000원","14:50,  킹스맨: 골든 서클(디지털),  10,000원","17:40,  킹스맨: 골든 서클(디지털),  10,000원","20:30,  킹스맨: 골든 서클(디지털),  10,000원","23:20,  킹스맨: 골든 서클(디지털),  9,000원",,,,130
2017-09-30,02관,"10:00,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  7,000원","12:00,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","14:00,  레고 닌자고 무비(디지털더빙),  10,000원","16:15,  킹스맨: 골든 서클(디지털),  10,000원","19:10,  킹스맨: 골든 서클(디지털),  10,000원","22:00,  킹스맨: 골든 서클(디지털),  10,000원",,,,95
2017-09-30,03관,"09:40,  킹스맨: 골든 서클(디지털),  7,000원","12:30,  킹스맨: 골든 서클(디지털),  10,000원","15:20,  킹스맨: 골든 서클(디지털),  10,000원","18:10,  킹스맨: 골든 서클(디지털),  10,000원","21:00,  킹스맨: 골든 서클(디지털),  10,000원","23:50,  킹스맨: 골든 서클(디지털),  9,000원",,,,95
2017-09-30,04관,"08:40,  킹스맨: 골든 서클(디지털),  7,000원","11:35,  리틀 프린세스 소피아 : 신비한 섬(디지털더빙),  10,000원","13:10,  리틀 프린세스 소피아 : 신비한 섬(디지털더빙),  10,000원","14:45,  레고 닌자고 무비(디지털더빙),  10,000원","17:00,  킹스맨: 골든 서클(디지털),  10,000원","19:55,  킹스맨: 골든 서클(디지털),  10,000원","22:50,  킹스맨: 골든 서클(디지털),  10,000원",,,130
2017-09-30,05관,"10:20,  살인자의 기억법(디지털),  7,000원","12:50,  그것(디지털),  10,000원","15:35,  살인자의 기억법(디지털),  10,000원","18:05,  아이 캔 스피크(디지털),  10,000원","20:35,  살인자의 기억법(디지털),  10,000원","23:05,  아이 캔 스피크(디지털),  9,000원",,,,130
