상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2016-12-15,MX관(Dolby ATMOS),"10:50,  판도라(디지털),  6,000원","13:40,  판도라(디지털),  9,000원","16:30,  판도라(디지털)","19:20,  판도라(디지털),  9,000원","22:15,  판도라(디지털),  9,000원",,,,,,,213
2016-12-15,02관,"09:40,  당신, 거기 있어줄래요(디지털),  6,000원","12:00,  당신, 거기 있어줄래요(디지털),  10,000원","14:20,  당신, 거기 있어줄래요(디지털),  10,000원","16:40,  당신, 거기 있어줄래요(디지털),  10,000원","19:10,  당신, 거기 있어줄래요(디지털),  10,000원","21:30,  당신, 거기 있어줄래요(디지털),  10,000원","23:50,  당신, 거기 있어줄래요(디지털),  8,000원",,,,,156
2016-12-15,03관,"09:35,  라라랜드(디지털),  8,000원","12:10,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털)","13:40,  라라랜드(디지털),  10,000원","16:15,  라라랜드(디지털),  10,000원","18:50,  라라랜드(디지털),  10,000원","21:25,  라라랜드(디지털),  10,000원","24:00,  라라랜드(디지털),  8,000원",,,,,118
2016-12-15,04관,"09:00,  형(디지털)","11:25,  형(디지털),  8,000원","13:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털)","15:15,  미씽: 사라진 여자(디지털),  10,000원","17:25,  미씽: 사라진 여자(디지털),  10,000원","19:35,  형(디지털),  10,000원","21:55,  형(디지털),  8,000원","24:15,  형(디지털)",,,,116
2016-12-15,05관,"09:45,  미씽: 사라진 여자(디지털),  6,000원","11:55,  미씽: 사라진 여자(디지털),  8,000원","14:00,  스노우타임(디지털더빙)","15:40,  목숨 건 연애(디지털),  5,000원","17:50,  목숨 건 연애(디지털),  8,000원","20:05,  당신, 거기 있어줄래요(디지털),  10,000원","22:25,  당신, 거기 있어줄래요(디지털),  10,000원","24:45,  목숨 건 연애(디지털)",,,,118
2016-12-15,06관,"09:50,  판도라(디지털),  6,000원","12:35,  판도라(디지털),  10,000원","15:20,  판도라(디지털),  10,000원","18:05,  판도라(디지털),  10,000원","20:50,  판도라(디지털),  10,000원","23:35,  판도라(디지털),  8,000원",,,,,,180
2016-12-16,MX관(Dolby ATMOS),"10:40,  판도라(디지털),  7,000원","13:30,  판도라(디지털),  10,000원","16:20,  판도라(디지털),  10,000원","19:10,  판도라(디지털),  9,000원","22:05,  판도라(디지털),  10,000원",,,,,,,213
2016-12-16,02관,"09:30,  당신, 거기 있어줄래요(디지털),  7,000원","11:50,  당신, 거기 있어줄래요(디지털),  11,000원","14:10,  당신, 거기 있어줄래요(디지털),  11,000원","16:30,  당신, 거기 있어줄래요(디지털),  11,000원","18:50,  당신, 거기 있어줄래요(디지털),  9,000원","21:20,  당신, 거기 있어줄래요(디지털),  11,000원","23:40,  당신, 거기 있어줄래요(디지털),  9,000원",,,,,156
2016-12-16,03관,"09:10,  라라랜드(디지털),  7,000원","11:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  0원","13:15,  라라랜드(디지털),  11,000원","15:50,  라라랜드(디지털),  11,000원","18:25,  라라랜드(디지털),  11,000원","21:00,  라라랜드(디지털),  11,000원","23:35,  라라랜드(디지털),  9,000원",,,,,118
2016-12-16,04관,"09:00,  미씽: 사라진 여자(디지털),  7,000원","11:10,  형(디지털),  11,000원","13:30,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털)","15:00,  미씽: 사라진 여자(디지털),  11,000원","17:10,  미씽: 사라진 여자(디지털),  11,000원","19:20,  형(디지털),  11,000원","21:40,  형(디지털),  11,000원","24:00,  형(디지털)",,,,116
2016-12-16,05관,"09:55,  형(디지털),  7,000원","12:15,  스노우타임(디지털더빙)","13:55,  스노우타임(디지털더빙)","15:35,  목숨 건 연애(디지털),  11,000원","17:45,  목숨 건 연애(디지털),  9,000원","20:00,  당신, 거기 있어줄래요(디지털),  11,000원","22:20,  당신, 거기 있어줄래요(디지털),  11,000원","24:40,  목숨 건 연애(디지털)",,,,118
2016-12-16,06관,"09:40,  판도라(디지털),  7,000원","12:25,  판도라(디지털),  11,000원","15:10,  판도라(디지털),  11,000원","17:55,  판도라(디지털),  11,000원","20:40,  판도라(디지털),  11,000원","23:25,  판도라(디지털),  9,000원",,,,,,180
2016-12-17,MX관(Dolby ATMOS),"09:10,  판도라(디지털),  7,000원","12:00,  판도라(디지털),  10,000원","14:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  10,000원","16:40,  판도라(디지털),  10,000원","19:50,  판도라(디지털),  10,000원","22:40,  판도라(디지털),  10,000원",,,,,,213
2016-12-17,02관,"09:20,  당신, 거기 있어줄래요(디지털),  7,000원","11:40,  당신, 거기 있어줄래요(디지털),  11,000원","14:00,  당신, 거기 있어줄래요(디지털),  11,000원","16:20,  당신, 거기 있어줄래요(디지털),  11,000원","19:00,  당신, 거기 있어줄래요(디지털),  11,000원","21:20,  당신, 거기 있어줄래요(디지털),  11,000원","23:40,  당신, 거기 있어줄래요(디지털),  9,000원",,,,,156
2016-12-17,03관,"09:35,  라라랜드(디지털),  7,000원","12:10,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  11,000원","13:40,  라라랜드(디지털),  11,000원","16:15,  라라랜드(디지털),  11,000원","18:50,  판도라(디지털),  11,000원","21:35,  판도라(디지털),  11,000원","24:20,  판도라(디지털),  9,000원",,,,,118
2016-12-17,04관,"09:00,  미씽: 사라진 여자(디지털),  7,000원","11:10,  형(디지털),  11,000원","13:30,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  11,000원","15:00,  미씽: 사라진 여자(디지털),  11,000원","17:10,  미씽: 사라진 여자(디지털),  11,000원","19:20,  형(디지털),  11,000원","21:45,  형(디지털),  11,000원","24:05,  형(디지털),  9,000원",,,,116
2016-12-17,05관,"09:55,  스노우타임(디지털더빙),  7,000원","11:40,  라라랜드(디지털),  11,000원","14:15,  스노우타임(디지털더빙),  11,000원","16:00,  목숨 건 연애(디지털),  11,000원","18:10,  목숨 건 연애(디지털),  9,000원","20:20,  라라랜드(디지털),  11,000원","22:55,  라라랜드(디지털),  11,000원",,,,,118
2016-12-17,06관,"09:40,  판도라(디지털),  8,000원","12:25,  스노우타임(디지털더빙),  7,000원","14:05,  판도라(디지털),  11,000원","17:20,  라라랜드(디지털),  11,000원","20:00,  당신, 거기 있어줄래요(디지털),  11,000원","22:20,  당신, 거기 있어줄래요(디지털),  11,000원","24:40,  당신, 거기 있어줄래요(디지털),  9,000원",,,,,180
2016-12-18,MX관(Dolby ATMOS),"09:15,  판도라(디지털),  7,000원","12:05,  판도라(디지털),  10,000원","14:55,  판도라(디지털),  10,000원","17:45,  판도라(디지털),  10,000원","20:35,  판도라(디지털),  10,000원","23:25,  판도라(디지털),  7,000원",,,,,,213
2016-12-18,02관,"09:30,  당신, 거기 있어줄래요(디지털),  7,000원","11:50,  당신, 거기 있어줄래요(디지털),  11,000원","14:10,  당신, 거기 있어줄래요(디지털),  11,000원","16:30,  당신, 거기 있어줄래요(디지털),  11,000원","18:50,  당신, 거기 있어줄래요(디지털),  11,000원","21:15,  당신, 거기 있어줄래요(디지털),  11,000원","23:35,  당신, 거기 있어줄래요(디지털),  9,000원",,,,,156
2016-12-18,03관,"09:10,  라라랜드(디지털),  7,000원","11:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  11,000원","13:15,  라라랜드(디지털),  11,000원","15:50,  라라랜드(디지털),  11,000원","18:25,  라라랜드(디지털),  11,000원","21:05,  라라랜드(디지털),  11,000원","23:45,  라라랜드(디지털),  9,000원",,,,,118
2016-12-18,04관,"09:00,  미씽: 사라진 여자(디지털),  7,000원","11:10,  형(디지털),  7,000원","13:30,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  11,000원","15:05,  미씽: 사라진 여자(디지털),  11,000원","17:20,  미씽: 사라진 여자(디지털),  11,000원","19:40,  형(디지털),  11,000원","22:00,  형(디지털),  11,000원","24:20,  형(디지털),  9,000원",,,,116
2016-12-18,05관,"09:55,  형(디지털),  7,000원","12:15,  스노우타임(디지털더빙),  11,000원","14:00,  스노우타임(디지털더빙),  11,000원","15:40,  목숨 건 연애(디지털),  11,000원","17:50,  목숨 건 연애(디지털),  11,000원","20:00,  당신, 거기 있어줄래요(디지털),  11,000원","22:20,  당신, 거기 있어줄래요(디지털),  11,000원","24:40,  목숨 건 연애(디지털)",,,,118
2016-12-18,06관,"09:20,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  7,000원","11:00,  판도라(디지털),  11,000원","13:50,  판도라(디지털),  11,000원","16:40,  판도라(디지털),  11,000원","19:25,  판도라(디지털),  11,000원","22:10,  판도라(디지털),  11,000원",,,,,,180
2016-12-19,MX관(Dolby ATMOS),"09:25,  라라랜드(디지털),  6,000원","12:00,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털)","13:30,  라라랜드(디지털),  9,000원","16:05,  라라랜드(디지털),  9,000원","18:40,  라라랜드(디지털),  9,000원","21:15,  라라랜드(디지털),  7,000원","23:50,  라라랜드(디지털),  7,000원",,,,,213
2016-12-19,02관,"09:35,  당신, 거기 있어줄래요(디지털),  6,000원","11:55,  당신, 거기 있어줄래요(디지털),  8,000원","14:20,  당신, 거기 있어줄래요(디지털),  10,000원","16:40,  당신, 거기 있어줄래요(디지털),  10,000원","19:05,  당신, 거기 있어줄래요(디지털),  10,000원","21:25,  당신, 거기 있어줄래요(디지털),  10,000원","23:45,  당신, 거기 있어줄래요(디지털)",,,,,156
2016-12-19,03관,"10:50,  판도라(디지털),  6,000원","13:40,  판도라(디지털),  10,000원","16:30,  판도라(디지털),  10,000원","19:15,  판도라(디지털),  10,000원","22:05,  판도라(디지털),  10,000원",,,,,,,118
2016-12-19,04관,"09:10,  미씽: 사라진 여자(디지털),  6,000원","11:25,  형(디지털),  8,000원","13:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  9,000원","15:15,  미씽: 사라진 여자(디지털),  10,000원","17:25,  미씽: 사라진 여자(디지털),  10,000원","19:35,  라라랜드(디지털),  10,000원","22:10,  형(디지털),  10,000원","24:30,  형(디지털)",,,,116
2016-12-19,05관,"09:25,  형(디지털),  6,000원","11:45,  미씽: 사라진 여자(디지털)","13:55,  스노우타임(디지털더빙),  10,000원","15:35,  목숨 건 연애(디지털),  10,000원","17:45,  목숨 건 연애(디지털),  10,000원","19:55,  당신, 거기 있어줄래요(디지털),  10,000원","22:15,  당신, 거기 있어줄래요(디지털),  10,000원","24:35,  목숨 건 연애(디지털)",,,,118
2016-12-19,06관,"09:50,  판도라(디지털),  6,000원","12:35,  판도라(디지털),  10,000원","15:20,  판도라(디지털),  10,000원","18:05,  판도라(디지털),  10,000원","20:50,  판도라(디지털),  10,000원","23:35,  판도라(디지털),  8,000원",,,,,,180
2016-12-20,MX관(Dolby ATMOS),"09:25,  라라랜드(디지털),  6,000원","12:00,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털)","13:30,  라라랜드(디지털),  9,000원","16:05,  라라랜드(디지털),  9,000원","18:40,  라라랜드(디지털),  9,000원","21:15,  라라랜드(디지털),  9,000원","23:50,  라라랜드(디지털),  9,000원",,,,,213
2016-12-20,02관,"09:35,  당신, 거기 있어줄래요(디지털),  6,000원",,"14:20,  당신, 거기 있어줄래요(디지털),  10,000원","16:40,  당신, 거기 있어줄래요(디지털),  10,000원","19:05,  당신, 거기 있어줄래요(디지털),  10,000원","21:25,  당신, 거기 있어줄래요(디지털),  10,000원","23:45,  당신, 거기 있어줄래요(디지털),  8,000원",,,,,156
2016-12-20,03관,"10:50,  판도라(디지털),  6,000원","13:40,  판도라(디지털),  10,000원","16:30,  판도라(디지털),  10,000원","19:15,  판도라(디지털),  10,000원","22:05,  판도라(디지털),  10,000원",,,,,,,118
2016-12-20,04관,"09:10,  미씽: 사라진 여자(디지털)","11:25,  형(디지털),  10,000원","13:45,  부릉! 부릉! 브루미즈: 스피더의 모험 일기(디지털),  10,000원","15:15,  미씽: 사라진 여자(디지털),  10,000원","17:25,  미씽: 사라진 여자(디지털),  10,000원","19:35,  형(디지털),  10,000원","21:55,  형(디지털),  8,000원","24:15,  형(디지털),  8,000원",,,,116
2016-12-20,05관,"09:25,  형(디지털),  6,000원","11:45,  미씽: 사라진 여자(디지털),  8,000원","13:50,  스노우타임(디지털더빙)","15:20,  목숨 건 연애(디지털),  10,000원","17:30,  목숨 건 연애(디지털),  10,000원","19:40,  라라랜드(디지털),  10,000원","22:15,  당신, 거기 있어줄래요(디지털),  8,000원","24:35,  목숨 건 연애(디지털),  8,000원",,,,118
2016-12-20,06관,"09:50,  판도라(디지털),  6,000원","12:35,  판도라(디지털),  10,000원","15:20,  판도라(디지털),  10,000원","18:05,  판도라(디지털),  10,000원","20:50,  판도라(디지털),  10,000원","23:35,  판도라(디지털),  8,000원",,,,,,180
2016-12-21,MX관(Dolby ATMOS),"09:50,  마스터(디지털),  6,000원","12:45,  마스터(디지털),  9,000원","15:40,  마스터(디지털),  9,000원","18:35,  마스터(디지털),  10,000원","21:30,  마스터(디지털),  10,000원","24:25,  마스터(디지털),  8,000원",,,,,,213
2016-12-21,02관,"09:00,  마스터(디지털),  6,000원","11:55,  마스터(디지털),  10,000원","14:50,  마스터(디지털),  10,000원","17:45,  마스터(디지털),  10,000원","20:40,  마스터(디지털),  10,000원","23:35,  마스터(디지털),  8,000원",,,,,,156
2016-12-21,03관,"08:55,  극장판 도라에몽: 신 진구의 버스 오브 재팬(디지털더빙)","11:10,  마스터(디지털),  10,000원","14:05,  마스터(디지털),  10,000원","17:00,  판도라(디지털),  10,000원","19:50,  마스터(디지털),  10,000원","22:45,  마스터(디지털),  10,000원",,,,,,118
2016-12-21,04관,"09:20,  씽(디지털더빙),  6,000원","11:35,  씽(디지털더빙),  8,000원","13:55,  씽(디지털),  10,000원","16:15,  씽(디지털),  10,000원","18:35,  판도라(디지털),  10,000원","21:25,  판도라(디지털),  10,000원","24:20,  판도라(디지털),  8,000원",,,,,116
2016-12-21,05관,"09:15,  판도라(디지털),  6,000원","12:00,  스노우타임(디지털더빙),  6,000원","13:40,  판도라(디지털),  10,000원","16:25,  라라랜드(디지털),  10,000원","19:00,  라라랜드(디지털),  10,000원","21:35,  라라랜드(디지털),  10,000원","24:10,  당신, 거기 있어줄래요(디지털),  8,000원",,,,,118
