상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-08-13,03관,"21:00,  독전: 익스텐디드 컷(디지털)",,,,,,,,79
2018-08-15,01관,"10:20,  신과함께-인과 연(디지털),  8,000원","13:00,  신과함께-인과 연(디지털),  11,000원","15:40,  신과함께-인과 연(디지털),  11,000원","18:20,  신과함께-인과 연(디지털),  11,000원","21:00,  신과함께-인과 연(디지털),  11,000원","23:40,  목격자(디지털),  10,000원",,,85
2018-08-15,02관,"09:50,  메가로돈(디지털),  8,000원","12:10,  맘마미아!2(디지털),  11,000원","14:30,  메가로돈(디지털),  11,000원","16:50,  맘마미아!2(디지털),  11,000원","19:10,  메가로돈(디지털),  11,000원","21:30,  맘마미아!2(디지털),  11,000원","23:50,  메가로돈(디지털),  10,000원",,39
2018-08-15,03관,"09:40,  몬스터 호텔 3(디지털더빙),  8,000원","11:45,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","14:00,  몬스터 호텔 3(디지털더빙),  11,000원","16:15,  목격자(디지털),  11,000원","18:30,  목격자(디지털),  11,000원","20:45,  목격자(디지털),  11,000원","23:20,  신과함께-인과 연(디지털),  10,000원",,79
2018-08-15,04관,"09:30,  공작(디지털),  8,000원","12:10,  공작(디지털),  11,000원","14:50,  공작(디지털),  11,000원","17:30,  공작(디지털),  11,000원","20:10,  공작(디지털),  11,000원","23:00,  공작(디지털),  10,000원",,,155
2018-08-15,05관,"09:00,  신과함께-인과 연(디지털),  8,000원","11:40,  신과함께-인과 연(디지털),  11,000원","14:20,  신과함께-인과 연(디지털),  11,000원","17:00,  신과함께-인과 연(디지털),  11,000원","19:40,  신과함께-인과 연(디지털),  11,000원","22:20,  신과함께-인과 연(디지털),  11,000원",,,102
2018-08-15,06관,"10:50,  공작(디지털),  8,000원","13:30,  공작(디지털),  11,000원","16:10,  공작(디지털),  11,000원","18:50,  공작(디지털),  11,000원","21:30,  공작(디지털),  11,000원",,,,92
2018-08-15,07관,"10:30,  목격자(디지털),  8,000원","12:45,  목격자(디지털),  11,000원","15:00,  목격자(디지털),  11,000원","17:15,  목격자(디지털),  11,000원","19:30,  목격자(디지털),  11,000원","21:45,  목격자(디지털),  11,000원",,,92
2018-08-16,01관,"10:20,  신과함께-인과 연(디지털),  7,000원","13:00,  신과함께-인과 연(디지털),  10,000원","15:40,  신과함께-인과 연(디지털),  10,000원","18:20,  신과함께-인과 연(디지털),  10,000원","21:00,  신과함께-인과 연(디지털),  10,000원","23:40,  목격자(디지털),  9,000원",,,85
2018-08-16,02관,"09:50,  메가로돈(디지털),  7,000원","12:10,  맘마미아!2(디지털),  10,000원","14:30,  메가로돈(디지털),  10,000원","16:50,  맘마미아!2(디지털),  10,000원","19:10,  메가로돈(디지털),  10,000원","21:30,  메가로돈(디지털),  10,000원","23:50,  메가로돈(디지털),  9,000원",,39
2018-08-16,03관,"09:40,  몬스터 호텔 3(디지털더빙),  7,000원","11:45,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  10,000원","14:00,  몬스터 호텔 3(디지털더빙),  10,000원","16:15,  목격자(디지털),  10,000원","18:30,  목격자(디지털),  10,000원","20:45,  목격자(디지털),  10,000원","23:20,  신과함께-인과 연(디지털),  9,000원",,79
2018-08-16,04관,"09:30,  공작(디지털),  7,000원","12:10,  공작(디지털),  10,000원","14:50,  공작(디지털),  10,000원","17:30,  공작(디지털),  10,000원","20:10,  공작(디지털),  10,000원","23:00,  공작(디지털),  9,000원",,,155
2018-08-16,05관,"10:50,  공작(디지털),  7,000원","13:30,  공작(디지털),  10,000원","16:10,  공작(디지털),  10,000원","18:50,  공작(디지털),  10,000원","21:30,  공작(디지털),  10,000원",,,,102
2018-08-16,06관,"09:00,  신과함께-인과 연(디지털),  0원","11:40,  신과함께-인과 연(디지털),  10,000원","14:20,  신과함께-인과 연(디지털),  10,000원","17:00,  신과함께-인과 연(디지털),  10,000원","19:40,  신과함께-인과 연(디지털),  10,000원","22:20,  신과함께-인과 연(디지털),  10,000원",,,92
2018-08-16,07관,"10:30,  목격자(디지털),  7,000원","12:45,  목격자(디지털),  10,000원","15:00,  목격자(디지털),  10,000원","17:15,  목격자(디지털),  10,000원","19:30,  목격자(디지털),  10,000원","21:45,  목격자(디지털),  10,000원",,,92
2018-08-17,01관,"10:20,  신과함께-인과 연(디지털),  8,000원","13:00,  신과함께-인과 연(디지털),  11,000원","15:40,  신과함께-인과 연(디지털),  11,000원","18:20,  신과함께-인과 연(디지털),  11,000원","21:00,  신과함께-인과 연(디지털),  11,000원","23:40,  목격자(디지털),  10,000원",,,85
2018-08-17,02관,"09:50,  메가로돈(디지털),  8,000원","12:10,  맘마미아!2(디지털),  9,000원","14:30,  메가로돈(디지털),  9,000원","16:50,  맘마미아!2(디지털),  11,000원","19:10,  메가로돈(디지털),  11,000원","21:30,  메가로돈(디지털),  11,000원","23:50,  메가로돈(디지털),  10,000원",,39
2018-08-17,03관,"09:40,  몬스터 호텔 3(디지털더빙),  8,000원","11:45,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","14:00,  몬스터 호텔 3(디지털더빙),  11,000원","16:15,  목격자(디지털),  11,000원","18:30,  목격자(디지털),  5,000원","20:45,  목격자(디지털),  11,000원","23:20,  신과함께-인과 연(디지털),  10,000원",,79
2018-08-17,04관,"09:30,  공작(디지털),  8,000원","12:10,  공작(디지털),  11,000원","14:50,  공작(디지털),  11,000원","17:30,  공작(디지털),  11,000원","20:10,  공작(디지털),  11,000원","23:00,  공작(디지털),  10,000원",,,155
2018-08-17,05관,"10:50,  공작(디지털),  8,000원","13:30,  공작(디지털),  11,000원","16:10,  공작(디지털),  11,000원","18:50,  공작(디지털),  11,000원","21:30,  공작(디지털),  11,000원",,,,102
2018-08-17,06관,"09:00,  신과함께-인과 연(디지털),  8,000원","11:40,  신과함께-인과 연(디지털),  11,000원","14:20,  신과함께-인과 연(디지털),  11,000원","17:00,  신과함께-인과 연(디지털),  0원","19:40,  신과함께-인과 연(디지털),  11,000원","22:20,  신과함께-인과 연(디지털),  11,000원",,,92
2018-08-17,07관,"10:30,  목격자(디지털),  8,000원","12:45,  목격자(디지털),  11,000원","15:00,  목격자(디지털),  11,000원","17:15,  목격자(디지털),  11,000원","19:30,  목격자(디지털),  11,000원","21:45,  목격자(디지털),  11,000원",,,92
2018-08-18,01관,"09:40,  신과함께-인과 연(디지털),  8,000원","12:25,  신과함께-인과 연(디지털),  11,000원","15:10,  신과함께-인과 연(디지털),  11,000원","18:00,  신과함께-인과 연(디지털),  11,000원","20:45,  신과함께-인과 연(디지털),  11,000원","23:30,  신과함께-인과 연(디지털),  10,000원",,,85
2018-08-18,02관,"10:00,  메가로돈(디지털),  8,000원","12:20,  맘마미아!2(디지털),  11,000원","14:40,  메가로돈(디지털),  11,000원","17:00,  맘마미아!2(디지털),  11,000원","19:20,  메가로돈(디지털),  11,000원","21:40,  메가로돈(디지털),  11,000원","24:00,  메가로돈(디지털),  10,000원",,39
2018-08-18,03관,"10:10,  몬스터 호텔 3(디지털더빙),  8,000원","12:10,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","14:25,  몬스터 호텔 3(디지털더빙),  11,000원","16:35,  신과함께-인과 연(디지털),  11,000원","19:20,  신과함께-인과 연(디지털),  11,000원","22:00,  신과함께-인과 연(디지털),  11,000원",,,79
2018-08-18,04관,"10:30,  목격자(디지털),  8,000원","12:50,  목격자(디지털),  11,000원","15:10,  목격자(디지털),  11,000원","17:30,  목격자(디지털),  11,000원","19:50,  목격자(디지털),  11,000원","22:10,  목격자(디지털),  11,000원",,,155
2018-08-18,05관,"10:20,  공작(디지털),  8,000원","13:00,  공작(디지털),  11,000원","15:40,  공작(디지털),  11,000원","18:20,  공작(디지털),  11,000원","21:00,  공작(디지털),  11,000원","23:40,  공작(디지털),  10,000원",,,102
2018-08-18,06관,"09:20,  목격자(디지털),  8,000원","11:40,  목격자(디지털),  11,000원","14:00,  목격자(디지털),  11,000원","16:20,  목격자(디지털),  11,000원","18:40,  목격자(디지털),  11,000원","21:00,  목격자(디지털),  11,000원","23:20,  목격자(디지털),  10,000원",,92
2018-08-18,07관,"09:00,  공작(디지털),  8,000원","11:40,  공작(디지털),  11,000원","14:20,  공작(디지털),  11,000원","17:00,  공작(디지털),  11,000원","19:40,  공작(디지털),  11,000원","22:20,  공작(디지털),  11,000원",,,92
2018-08-19,01관,"09:40,  신과함께-인과 연(디지털),  8,000원","12:25,  신과함께-인과 연(디지털),  11,000원","15:10,  신과함께-인과 연(디지털),  11,000원","18:00,  신과함께-인과 연(디지털),  11,000원","20:45,  신과함께-인과 연(디지털),  11,000원","23:30,  신과함께-인과 연(디지털),  10,000원",,,85
2018-08-19,02관,"10:00,  메가로돈(디지털),  8,000원","12:20,  맘마미아!2(디지털),  11,000원","14:40,  메가로돈(디지털),  11,000원","17:00,  맘마미아!2(디지털),  11,000원","19:20,  메가로돈(디지털),  11,000원","21:40,  메가로돈(디지털),  11,000원","24:00,  메가로돈(디지털),  10,000원",,39
2018-08-19,03관,"10:10,  몬스터 호텔 3(디지털더빙),  8,000원","12:10,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  11,000원","14:25,  몬스터 호텔 3(디지털더빙),  11,000원","16:35,  신과함께-인과 연(디지털),  11,000원","19:20,  신과함께-인과 연(디지털),  11,000원","22:00,  신과함께-인과 연(디지털),  11,000원",,,79
2018-08-19,04관,"10:30,  목격자(디지털),  9,000원","12:50,  목격자(디지털),  11,000원","15:10,  목격자(디지털),  11,000원","17:30,  목격자(디지털),  11,000원","19:50,  목격자(디지털),  11,000원","22:10,  목격자(디지털),  11,000원",,,155
2018-08-19,05관,"10:20,  공작(디지털),  8,000원","13:00,  공작(디지털),  11,000원","15:40,  공작(디지털),  11,000원","18:20,  공작(디지털),  11,000원","21:00,  공작(디지털),  11,000원","23:40,  공작(디지털),  10,000원",,,102
2018-08-19,06관,"09:20,  목격자(디지털),  8,000원","11:40,  목격자(디지털),  11,000원","14:00,  목격자(디지털),  11,000원","16:20,  목격자(디지털),  11,000원","18:40,  목격자(디지털),  11,000원","21:00,  목격자(디지털),  11,000원","23:20,  목격자(디지털),  10,000원",,92
2018-08-19,07관,"09:00,  공작(디지털),  8,000원","11:40,  공작(디지털),  11,000원","14:20,  공작(디지털),  11,000원","17:00,  공작(디지털),  11,000원","19:40,  공작(디지털),  11,000원","22:20,  공작(디지털),  11,000원",,,92
