상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2019-04-11,01관,,"21:00,  샤잠!(디지털)",,,,,,,,,,168
2019-04-16,01관,"09:30,  곤지암(디지털)",,"17:25,  안시성(디지털)",,,,,,,,,168
2019-04-16,02관,"10:00,  곤지암(디지털)",,,,,,,,,,,114
2019-04-16,03관,"10:30,  곤지암(디지털)",,,,,,,,,,,128
2019-04-16,04관,"11:00,  곤지암(디지털)",,,,,"19:30,  나의 특별한 형제(디지털),  7,000원",,,,,,152
2019-04-16,05관,"11:30,  곤지암(디지털)",,,,,,,,,,,168
2019-04-16,06관,"12:00,  곤지암(디지털)",,,,,,,,,,,114
2019-04-16,07관,"12:30,  곤지암(디지털)",,,,,,,,,,,128
2019-04-16,08관,"13:00,  곤지암(디지털)",,,,,,,,,,,152
2019-04-17,01관,,,,,"17:20,  요로나의 저주(디지털),  5,000원","19:25,  요로나의 저주(디지털),  10,000원",,,,,,168
2019-04-17,02관,,,,,"17:10,  기묘한 가족(디지털)","19:30,  명당(디지털)",,,,,,114
2019-04-17,03관,,,,,"17:25,  다시, 봄(디지털),  8,000원","19:40,  미성년(디지털),  7,000원",,,,,,128
2019-04-17,04관,,,,,"17:05,  샤잠!(디지털),  10,000원","19:50,  어스(디지털),  10,000원",,,,,,152
2019-04-17,05관,,,,,"17:00,  헬보이(디지털),  10,000원","19:30,  헬보이(디지털),  10,000원",,,,,,168
2019-04-17,06관,,,,,"17:30,  생일(디지털),  10,000원","20:00,  생일(디지털),  10,000원",,,,,,114
2019-04-17,07관,,,,,"17:10,  돈(디지털),  4,000원","19:35,  돈(디지털),  7,000원",,,,,,128
2019-04-17,08관,,,,,"17:50,  왓칭(디지털),  10,000원","20:00,  왓칭(디지털),  10,000원",,,,,,152
2019-04-18,01관,"08:30,  요로나의 저주(디지털)","10:30,  요로나의 저주(디지털)","12:30,  요로나의 저주(디지털),  10,000원","14:30,  요로나의 저주(디지털)","16:30,  요로나의 저주(디지털),  10,000원","18:30,  요로나의 저주(디지털),  5,000원","20:30,  요로나의 저주(디지털),  10,000원","22:30,  요로나의 저주(디지털),  10,000원","24:30,  요로나의 저주(디지털)",,,168
2019-04-18,02관,"08:30,  노무현과 바보들(디지털),  7,000원","10:30,  유랑지구(디지털),  7,000원","13:05,  크게 될 놈(디지털)","15:25,  크게 될 놈(디지털),  7,000원","17:45,  내안의 그놈(디지털)","20:15,  곤지암(디지털)","22:20,  유랑지구(디지털)",,,,,114
2019-04-18,03관,"09:10,  어스(디지털)","11:35,  샤잠!(디지털)","14:15,  어스(디지털),  10,000원","16:40,  샤잠!(디지털)","19:20,  어스(디지털),  10,000원","21:45,  샤잠!(디지털)","24:25,  어스(디지털),  6,000원",,,,,128
