상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-01-30,01관 컴포트,"10:00,  킹 오브 프리즘(디지털더빙)","11:20,  킹 오브 프리즘(디지털더빙)","12:40,  킹 오브 프리즘(디지털더빙)","14:00,  킹 오브 프리즘(디지털더빙)","15:20,  킹 오브 프리즘(디지털더빙)","16:40,  킹 오브 프리즘(디지털더빙)","18:00,  킹 오브 프리즘(디지털더빙)","19:20,  킹 오브 프리즘(디지털더빙)","20:40,  킹 오브 프리즘(디지털더빙)","22:00,  킹 오브 프리즘(디지털더빙)",134
2018-01-30,02관,"10:10,  킹 오브 프리즘(디지털더빙)","11:30,  킹 오브 프리즘(디지털더빙)","12:50,  킹 오브 프리즘(디지털더빙)","14:10,  킹 오브 프리즘(디지털더빙)","15:30,  킹 오브 프리즘(디지털더빙)","16:50,  킹 오브 프리즘(디지털더빙)","18:10,  킹 오브 프리즘(디지털더빙)","19:30,  킹 오브 프리즘(디지털더빙)","20:50,  킹 오브 프리즘(디지털더빙)","22:10,  킹 오브 프리즘(디지털더빙)",128
2018-01-30,03관,"10:20,  킹 오브 프리즘(디지털더빙)","11:40,  킹 오브 프리즘(디지털더빙)","13:00,  킹 오브 프리즘(디지털더빙)","14:20,  킹 오브 프리즘(디지털더빙)","15:40,  킹 오브 프리즘(디지털더빙)","17:00,  킹 오브 프리즘(디지털더빙)","18:20,  킹 오브 프리즘(디지털더빙)","19:40,  킹 오브 프리즘(디지털더빙)","21:00,  킹 오브 프리즘(디지털더빙)","22:20,  킹 오브 프리즘(디지털더빙)",252
2018-01-30,04관,"10:30,  킹 오브 프리즘(디지털더빙)","11:50,  킹 오브 프리즘(디지털더빙)","13:10,  킹 오브 프리즘(디지털더빙)","14:30,  킹 오브 프리즘(디지털더빙)","15:50,  킹 오브 프리즘(디지털더빙)","17:10,  킹 오브 프리즘(디지털더빙)","18:30,  킹 오브 프리즘(디지털더빙)","19:50,  킹 오브 프리즘(디지털더빙)","21:10,  킹 오브 프리즘(디지털더빙)","22:30,  킹 오브 프리즘(디지털더빙)",252
2018-01-30,05관,"10:40,  킹 오브 프리즘(디지털더빙)","12:00,  킹 오브 프리즘(디지털더빙)","13:20,  킹 오브 프리즘(디지털더빙)","14:40,  킹 오브 프리즘(디지털더빙)","16:00,  킹 오브 프리즘(디지털더빙)","17:20,  킹 오브 프리즘(디지털더빙)","18:40,  킹 오브 프리즘(디지털더빙)","20:00,  킹 오브 프리즘(디지털더빙)","21:20,  킹 오브 프리즘(디지털더빙)","22:40,  킹 오브 프리즘(디지털더빙)",161
2018-01-30,06관(키즈관),"10:50,  킹 오브 프리즘(디지털더빙)","12:10,  킹 오브 프리즘(디지털더빙)","13:30,  킹 오브 프리즘(디지털더빙)","14:50,  킹 오브 프리즘(디지털더빙)","16:10,  킹 오브 프리즘(디지털더빙)","17:30,  킹 오브 프리즘(디지털더빙)","18:50,  킹 오브 프리즘(디지털더빙)","20:10,  킹 오브 프리즘(디지털더빙)","21:30,  킹 오브 프리즘(디지털더빙)","22:50,  킹 오브 프리즘(디지털더빙)",116
2018-02-01,01관 컴포트,"08:50,  인시디어스4: 라스트 키(디지털)","11:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","12:35,  인시디어스4: 라스트 키(디지털),  6,000원","14:45,  신과함께-죄와 벌(디지털),  7,000원","17:30,  인시디어스4: 라스트 키(디지털),  6,000원","19:55,  신과함께-죄와 벌(디지털),  6,000원","22:40,  인시디어스4: 라스트 키(디지털)",,,,134
2018-02-01,02관,"09:10,  그것만이 내 세상(디지털)","11:35,  그것만이 내 세상(디지털),  5,000원","14:00,  그것만이 내 세상(디지털),  6,000원","16:25,  그것만이 내 세상(디지털),  6,000원","18:55,  그것만이 내 세상(디지털),  9,000원","21:20,  그것만이 내 세상(디지털),  6,000원","23:45,  그것만이 내 세상(디지털)",,,,128
2018-02-01,03관,"08:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","10:25,  염력(디지털),  6,000원","12:35,  염력(디지털),  6,000원","14:45,  염력(디지털),  9,000원","16:55,  염력(디지털),  6,000원","19:05,  염력(디지털),  6,000원","21:15,  염력(디지털),  9,000원","23:25,  염력(디지털)",,,252
2018-02-01,04관,"09:20,  염력(디지털)","11:30,  염력(디지털),  6,000원","13:40,  염력(디지털),  6,000원","15:50,  염력(디지털),  6,000원","18:00,  염력(디지털),  6,000원","20:10,  염력(디지털),  6,000원","22:20,  염력(디지털)",,,,252
2018-02-01,05관,"08:55,  코코(디지털더빙)","11:30,  코코(디지털더빙),  6,000원","14:05,  코코(디지털더빙),  6,000원","16:40,  코코(디지털),  6,000원","19:15,  인시디어스4: 라스트 키(디지털)","21:25,  인시디어스4: 라스트 키(디지털),  6,000원","23:35,  1987(디지털),  6,000원",,,,161
2018-02-01,06관(키즈관),"10:10,  1987(디지털),  6,000원","12:45,  1급기밀(디지털)","14:55,  1987(디지털),  6,000원","17:30,  1급기밀(디지털),  6,000원","19:35,  염력(디지털),  6,000원","21:45,  염력(디지털),  5,000원","23:55,  1급기밀(디지털),  6,000원",,,,116
2018-02-02,01관 컴포트,"08:50,  인시디어스4: 라스트 키(디지털)","11:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","12:35,  인시디어스4: 라스트 키(디지털),  6,000원","14:45,  신과함께-죄와 벌(디지털),  6,000원","17:30,  인시디어스4: 라스트 키(디지털),  6,000원","19:55,  신과함께-죄와 벌(디지털),  8,000원","22:40,  인시디어스4: 라스트 키(디지털),  6,000원",,,,134
2018-02-02,02관,"09:10,  그것만이 내 세상(디지털),  6,000원","11:35,  그것만이 내 세상(디지털),  6,000원","14:00,  그것만이 내 세상(디지털),  10,000원","16:25,  그것만이 내 세상(디지털),  6,000원","18:55,  그것만이 내 세상(디지털),  10,000원","21:20,  그것만이 내 세상(디지털),  8,000원","23:45,  그것만이 내 세상(디지털),  6,000원",,,,128
2018-02-02,03관,"08:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","10:25,  염력(디지털),  6,000원","12:30,  염력(디지털)","14:35,  염력(디지털),  10,000원","16:40,  염력(디지털)","18:45,  염력(디지털),  6,000원","20:50,  염력(디지털),  8,000원","22:55,  염력(디지털),  6,000원",,,252
2018-02-02,04관,"09:20,  염력(디지털),  6,000원","11:25,  염력(디지털),  5,000원","13:30,  염력(디지털),  6,000원","15:35,  염력(디지털),  10,000원","17:40,  염력(디지털)","19:45,  염력(디지털),  6,000원","21:50,  염력(디지털),  6,000원","23:55,  염력(디지털)",,,252
2018-02-02,05관,"08:55,  코코(디지털더빙)","11:30,  코코(디지털더빙),  6,000원","14:10,  코코(디지털더빙),  6,000원","16:50,  코코(디지털)","19:20,  인시디어스4: 라스트 키(디지털),  10,000원","21:30,  인시디어스4: 라스트 키(디지털),  7,000원","23:40,  1987(디지털),  6,000원",,,,161
2018-02-02,06관(키즈관),"08:50,  신과함께-죄와 벌(디지털)","11:40,  1급기밀(디지털),  6,000원","14:00,  염력(디지털),  5,000원","16:30,  1급기밀(디지털),  6,000원","19:15,  염력(디지털),  10,000원","21:25,  염력(디지털),  6,000원","23:35,  1급기밀(디지털)",,,,116
2018-02-03,01관 컴포트,"08:50,  인시디어스4: 라스트 키(디지털),  6,000원","11:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","12:40,  인시디어스4: 라스트 키(디지털),  10,000원","14:50,  신과함께-죄와 벌(디지털),  10,000원","17:40,  인시디어스4: 라스트 키(디지털),  6,000원","20:05,  신과함께-죄와 벌(디지털),  10,000원","23:00,  인시디어스4: 라스트 키(디지털)",,,,134
2018-02-03,02관,"09:10,  그것만이 내 세상(디지털),  6,000원","11:35,  그것만이 내 세상(디지털),  6,000원","14:00,  그것만이 내 세상(디지털),  10,000원","16:25,  그것만이 내 세상(디지털),  10,000원","18:55,  그것만이 내 세상(디지털),  10,000원","21:20,  그것만이 내 세상(디지털),  10,000원","23:45,  그것만이 내 세상(디지털),  8,000원",,,,128
2018-02-03,03관,"08:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","10:30,  염력(디지털),  6,000원","12:35,  염력(디지털),  10,000원","14:40,  염력(디지털),  6,000원","16:45,  염력(디지털),  10,000원","18:50,  염력(디지털),  10,000원","20:55,  염력(디지털),  6,000원","23:00,  염력(디지털),  6,000원",,,252
