상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-01,01관,"09:00,  국제시장(디지털),  5,000원","11:20,  마다가스카의 펭귄(디지털더빙),  8,000원","13:05,  마다가스카의 펭귄(디지털더빙),  8,000원","14:50,  국제시장(디지털),  8,000원","17:10,  국제시장(디지털),  8,000원","19:30,  국제시장(디지털),  8,000원","21:50,  국제시장(디지털),  8,000원","24:10,  국제시장(디지털),  5,000원",,,,,,211
2015-01-01,02관,"08:40,  기술자들(디지털),  5,000원","10:50,  테이큰 3(디지털),  5,000원","12:55,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:35,  테이큰 3(디지털),  8,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원","20:25,  님아, 그 강을 건너지 마오(디지털),  8,000원","22:05,  테이큰 3(디지털),  8,000원","24:10,  기술자들(디지털)",,,,,117
2015-01-02,01관,"09:10,  국제시장(디지털),  5,000원","11:30,  마다가스카의 펭귄(디지털더빙),  8,000원","13:15,  마다가스카의 펭귄(디지털더빙),  8,000원","15:00,  국제시장(디지털),  8,000원","17:20,  기술자들(디지털),  8,000원","19:30,  국제시장(디지털),  8,000원","21:50,  국제시장(디지털),  8,000원","24:10,  국제시장(디지털),  6,000원",,,,,,211
2015-01-02,02관,"08:30,  기술자들(디지털)","10:40,  테이큰 3(디지털),  5,000원","12:45,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:25,  테이큰 3(디지털),  8,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:10,  테이큰 3(디지털),  8,000원","20:15,  테이큰 3(디지털),  8,000원","22:20,  테이큰 3(디지털),  8,000원","24:25,  기술자들(디지털),  6,000원",,,,,117
2015-01-03,01관,"08:30,  국제시장(디지털),  5,000원","10:50,  마다가스카의 펭귄(디지털더빙),  5,000원","12:35,  국제시장(디지털),  8,000원","14:55,  국제시장(디지털),  8,000원","17:15,  국제시장(디지털),  8,000원","19:35,  국제시장(디지털),  8,000원","21:55,  국제시장(디지털),  8,000원","24:15,  국제시장(디지털),  6,000원",,,,,,211
2015-01-03,02관,"08:30,  기술자들(디지털),  5,000원","10:40,  테이큰 3(디지털),  5,000원","12:45,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:25,  테이큰 3(디지털),  8,000원","16:30,  기술자들(디지털),  8,000원","18:40,  테이큰 3(디지털),  6,000원","20:45,  테이큰 3(디지털),  8,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","24:25,  테이큰 3(디지털),  6,000원",,,,,117
2015-01-04,01관,"08:30,  국제시장(디지털),  5,000원","10:50,  마다가스카의 펭귄(디지털더빙),  5,000원","12:35,  국제시장(디지털),  8,000원","14:55,  국제시장(디지털),  8,000원","17:15,  국제시장(디지털),  8,000원","19:35,  국제시장(디지털),  8,000원","21:55,  국제시장(디지털),  8,000원",,,,,,,211
2015-01-04,02관,"08:30,  기술자들(디지털),  5,000원","10:40,  테이큰 3(디지털),  5,000원","12:45,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:25,  테이큰 3(디지털),  8,000원","16:30,  기술자들(디지털),  8,000원","18:40,  테이큰 3(디지털),  8,000원","20:45,  테이큰 3(디지털),  8,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,117
2015-01-05,01관,"09:40,  국제시장(디지털),  5,000원","12:00,  마다가스카의 펭귄(디지털더빙),  8,000원","13:45,  국제시장(디지털),  8,000원","16:05,  국제시장(디지털)","18:25,  국제시장(디지털),  8,000원","20:45,  국제시장(디지털),  8,000원","23:05,  국제시장(디지털),  6,000원",,,,,,,211
2015-01-05,02관,"09:20,  기술자들(디지털)","11:30,  테이큰 3(디지털),  8,000원","13:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:15,  테이큰 3(디지털),  8,000원","17:20,  기술자들(디지털),  7,000원","19:30,  테이큰 3(디지털),  8,000원","21:35,  테이큰 3(디지털),  8,000원","23:40,  테이큰 3(디지털),  6,000원",,,,,,117
