상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"10:00,  국제시장(디지털),  6,000원","12:30,  국제시장(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,,211
2015-01-01,02관,"10:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:50,  상의원(디지털),  9,000원","14:20,  호빗: 다섯 군대 전투(디지털),  9,000원","17:10,  상의원(디지털),  9,000원","19:40,  호빗: 다섯 군대 전투(디지털),  9,000원","22:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,138
2015-01-01,03관,"10:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  9,000원",,175
2015-01-01,04관,"09:50,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:10,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:30,  테이큰 3(디지털),  9,000원","20:40,  테이큰 3(디지털),  9,000원","22:50,  테이큰 3(디지털),  9,000원",,,162
2015-01-01,05관,"09:50,  기술자들(디지털),  6,000원","12:00,  기술자들(디지털),  9,000원","14:10,  기술자들(디지털),  9,000원","16:20,  기술자들(디지털),  9,000원","18:30,  기술자들(디지털),  9,000원","20:40,  기술자들(디지털),  9,000원","22:50,  기술자들(디지털),  9,000원",,,151
2015-01-01,06관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:30,  마다가스카의 펭귄(디지털더빙),  9,000원","14:30,  마다가스카의 펭귄(디지털더빙),  9,000원","16:30,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:30,  국제시장(디지털),  9,000원",,,,95
2015-01-01,07관,"09:50,  개를 훔치는 완벽한 방법(디지털),  6,000원","12:00,  더 테너 리리코 스핀토(디지털)","14:10,  개를 훔치는 완벽한 방법(디지털),  9,000원","16:20,  더 테너 리리코 스핀토(디지털),  9,000원","18:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","20:40,  더 테너 리리코 스핀토(디지털),  9,000원","22:50,  개를 훔치는 완벽한 방법(디지털),  9,000원",,,66
2015-01-02,01관,"10:00,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:40,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원",,,,211
2015-01-02,02관,"11:00,  상의원(디지털),  6,000원","13:20,  호빗: 다섯 군대 전투(디지털),  9,000원","16:10,  상의원(디지털),  9,000원","18:30,  호빗: 다섯 군대 전투(디지털),  9,000원","21:20,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,138
2015-01-02,03관,"10:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",,175
2015-01-02,04관,"10:10,  테이큰 3(디지털),  6,000원","12:30,  테이큰 3(디지털),  9,000원","14:50,  테이큰 3(디지털),  9,000원","17:10,  테이큰 3(디지털),  9,000원","19:30,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원",,,,162
2015-01-02,05관,"10:10,  기술자들(디지털),  6,000원","12:30,  기술자들(디지털),  9,000원","14:50,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:30,  기술자들(디지털),  9,000원","21:50,  기술자들(디지털),  9,000원",,,,151
2015-01-02,06관,"10:30,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:00,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원",,,,95
2015-01-02,07관,"10:30,  개를 훔치는 완벽한 방법(디지털),  6,000원","12:40,  더 테너 리리코 스핀토(디지털),  9,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  9,000원","17:10,  더 테너 리리코 스핀토(디지털),  9,000원","19:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","21:40,  더 테너 리리코 스핀토(디지털),  9,000원",,,,66
