상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-09-25,01관,,"19:30,  앤트맨(디지털),  7,000원",,,,,,,105
2015-09-25,02관,,"18:30,  미니언즈(디지털),  7,000원",,,,,,,93
2015-09-26,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-09-26,02관,"10:40,  탐정 : 더 비기닝(디지털),  6,000원","13:10,  탐정 : 더 비기닝(디지털),  9,000원","15:40,  탐정 : 더 비기닝(디지털),  9,000원","18:10,  탐정 : 더 비기닝(디지털),  9,000원","20:40,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-09-26,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  서부전선(디지털),  9,000원","18:50,  사도(디지털),  9,000원","21:25,  사도(디지털),  9,000원",,,61
2015-09-27,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-09-27,02관,"10:40,  탐정 : 더 비기닝(디지털),  6,000원","13:10,  탐정 : 더 비기닝(디지털),  9,000원","15:40,  탐정 : 더 비기닝(디지털),  9,000원","18:10,  탐정 : 더 비기닝(디지털),  9,000원","20:40,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-09-27,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  서부전선(디지털),  9,000원","18:50,  사도(디지털),  9,000원",,,,61
2015-09-28,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-09-28,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  탐정 : 더 비기닝(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-09-28,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  서부전선(디지털),  9,000원","18:50,  사도(디지털),  9,000원",,,,61
2015-09-29,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-09-29,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  탐정 : 더 비기닝(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-09-29,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  서부전선(디지털),  9,000원","18:50,  사도(디지털),  9,000원",,,,61
2015-10-01,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  7,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-01,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  8,000원","18:00,  탐정 : 더 비기닝(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-01,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  7,000원","14:05,  서부전선(디지털),  9,000원","16:25,  사도(디지털),  9,000원","19:00,  사도(디지털),  9,000원",,,,61
2015-10-02,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-02,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  앤트맨(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-02,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  베테랑(디지털),  9,000원","16:35,  사도(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-03,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-03,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:05,  앤트맨(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-03,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  베테랑(디지털),  9,000원","16:35,  사도(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-04,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-04,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  앤트맨(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-04,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  베테랑(디지털),  9,000원","16:35,  베테랑(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-05,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-05,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  베테랑(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-05,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙)","11:45,  서부전선(디지털),  7,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  사도(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-06,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-06,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  베테랑(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-06,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙)","11:45,  서부전선(디지털)","14:05,  앤트맨(디지털),  9,000원","16:30,  사도(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-07,01관,"09:40,  사도(디지털),  6,000원","12:15,  사도(디지털),  9,000원","14:50,  사도(디지털),  9,000원","17:25,  사도(디지털),  9,000원","20:00,  사도(디지털),  9,000원",,,,105
2015-10-07,02관,"10:30,  탐정 : 더 비기닝(디지털),  6,000원","13:00,  탐정 : 더 비기닝(디지털),  9,000원","15:30,  탐정 : 더 비기닝(디지털),  9,000원","18:00,  베테랑(디지털),  9,000원","20:30,  탐정 : 더 비기닝(디지털),  9,000원",,,,93
2015-10-07,03관,"10:00,  더 매직: 리틀톰과 도둑공주(디지털더빙),  6,000원","11:45,  서부전선(디지털),  9,000원","14:05,  앤트맨(디지털),  9,000원","16:30,  사도(디지털),  9,000원","19:10,  베테랑(디지털),  9,000원",,,,61
2015-10-08,01관,"10:10,  마션(디지털),  6,000원","13:20,  마션(디지털),  9,000원","16:10,  마션(디지털),  9,000원","19:00,  마션(디지털),  9,000원",,,,,105
2015-10-08,02관,"09:40,  성난 변호사(디지털),  6,000원","12:05,  탐정 : 더 비기닝(디지털),  9,000원","14:35,  성난 변호사(디지털),  9,000원","17:00,  성난 변호사(디지털),  9,000원","19:45,  성난 변호사(디지털),  9,000원",,,,93
2015-10-08,03관,"10:30,  팬(디지털),  6,000원","12:50,  팬(디지털),  9,000원","15:10,  사도(디지털),  9,000원","17:45,  베테랑(디지털),  9,000원","20:15,  마션(디지털),  9,000원",,,,61
2015-10-09,01관,"10:10,  마션(디지털),  6,000원","13:20,  마션(디지털),  9,000원","16:10,  마션(디지털),  9,000원","19:00,  마션(디지털),  9,000원",,,,,105
2015-10-09,02관,"09:40,  성난 변호사(디지털),  6,000원","12:05,  탐정 : 더 비기닝(디지털),  9,000원","14:35,  성난 변호사(디지털),  9,000원","17:00,  성난 변호사(디지털),  9,000원","19:45,  성난 변호사(디지털),  9,000원",,,,93
2015-10-09,03관,"10:30,  팬(디지털),  6,000원","12:50,  팬(디지털),  9,000원","15:10,  사도(디지털),  9,000원","17:45,  베테랑(디지털),  9,000원","20:15,  마션(디지털),  9,000원",,,,61
2015-10-10,01관,"10:10,  마션(디지털),  6,000원","13:20,  마션(디지털),  9,000원","16:10,  마션(디지털),  9,000원","19:00,  마션(디지털),  9,000원",,,,,105
2015-10-10,02관,"09:40,  성난 변호사(디지털),  6,000원","12:05,  탐정 : 더 비기닝(디지털),  9,000원","14:35,  성난 변호사(디지털),  9,000원","17:00,  성난 변호사(디지털),  9,000원","19:45,  성난 변호사(디지털),  9,000원",,,,93
2015-10-10,03관,"10:30,  팬(디지털),  6,000원","12:50,  팬(디지털),  9,000원","15:10,  사도(디지털),  9,000원","17:45,  베테랑(디지털),  9,000원","20:15,  마션(디지털),  9,000원",,,,61
2015-10-11,01관,"10:10,  마션(디지털),  6,000원","13:20,  마션(디지털),  9,000원","16:10,  마션(디지털),  9,000원","19:00,  마션(디지털),  9,000원",,,,,105
2015-10-11,02관,"09:40,  성난 변호사(디지털),  6,000원","12:05,  탐정 : 더 비기닝(디지털),  9,000원","14:35,  성난 변호사(디지털),  9,000원","17:00,  성난 변호사(디지털),  9,000원","19:45,  성난 변호사(디지털),  9,000원",,,,93
2015-10-11,03관,"10:30,  팬(디지털),  6,000원","12:50,  팬(디지털),  9,000원","15:10,  사도(디지털),  9,000원","17:45,  베테랑(디지털),  9,000원","20:15,  마션(디지털),  9,000원",,,,61
