상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-05-25,01관,,,,"19:00,  독전(디지털),  12,000원","21:30,  독전(디지털),  12,000원",,,,110
2018-05-25,02관,,,,"18:15,  데드풀 2(디지털),  12,000원","20:45,  데드풀 2(디지털),  12,000원",,,,108
2018-05-25,03관,,,,"20:00,  독전(디지털),  12,000원","22:30,  독전(디지털),  10,000원",,,,175
2018-05-25,04관,,,,"19:30,  데드풀 2(디지털),  10,000원","22:00,  데드풀 2(디지털),  10,000원",,,,112
2018-05-25,05관,,,,"18:30,  한 솔로: 스타워즈 스토리(디지털),  12,000원","21:15,  트루스 오어 데어(디지털),  10,000원",,,,100
2018-05-26,01관,"09:45,  위 베어 베어스: 베이비 베어스(디지털더빙),  7,000원","11:30,  독전(디지털),  11,000원","14:00,  독전(디지털),  12,000원","16:30,  독전(디지털),  12,000원","19:00,  독전(디지털),  12,000원","21:30,  독전(디지털),  12,000원",,,110
2018-05-26,02관,"10:45,  데드풀 2(디지털),  7,000원","13:15,  데드풀 2(디지털),  10,000원","15:45,  데드풀 2(디지털),  10,000원","18:15,  데드풀 2(디지털),  12,000원","20:45,  데드풀 2(디지털),  12,000원",,,,108
2018-05-26,03관,"10:00,  독전(디지털),  7,000원","12:30,  독전(디지털),  11,000원","15:00,  독전(디지털),  12,000원","17:30,  독전(디지털),  12,000원","20:00,  독전(디지털),  12,000원","22:30,  독전(디지털),  10,000원",,,175
2018-05-26,04관,"09:30,  데드풀 2(디지털),  7,000원","12:00,  데드풀 2(디지털),  11,000원","14:30,  데드풀 2(디지털),  12,000원","17:00,  데드풀 2(디지털),  12,000원","19:30,  데드풀 2(디지털),  12,000원","22:00,  데드풀 2(디지털),  10,000원",,,112
2018-05-26,05관,"10:15,  한 솔로: 스타워즈 스토리(디지털),  9,000원","13:00,  트루스 오어 데어(디지털),  11,000원","15:15,  한 솔로: 스타워즈 스토리(디지털),  12,000원","18:00,  트루스 오어 데어(디지털),  12,000원","20:15,  트루스 오어 데어(디지털),  12,000원","22:30,  트루스 오어 데어(디지털),  10,000원",,,100
2018-05-27,01관,"09:45,  위 베어 베어스: 베이비 베어스(디지털더빙),  7,000원","11:30,  독전(디지털),  6,000원","14:00,  독전(디지털),  12,000원","16:30,  독전(디지털),  12,000원","19:00,  독전(디지털),  12,000원","21:30,  독전(디지털),  12,000원",,,110
2018-05-27,02관,"10:45,  데드풀 2(디지털),  7,000원","13:15,  데드풀 2(디지털),  10,000원","15:45,  데드풀 2(디지털),  12,000원","18:15,  데드풀 2(디지털),  12,000원","20:45,  데드풀 2(디지털),  12,000원",,,,108
2018-05-27,03관,"10:00,  독전(디지털),  7,000원","12:30,  독전(디지털),  11,000원","15:00,  독전(디지털),  12,000원","17:30,  독전(디지털),  12,000원","20:00,  독전(디지털),  12,000원","22:30,  독전(디지털),  10,000원",,,175
2018-05-27,04관,"09:30,  데드풀 2(디지털),  7,000원","12:00,  데드풀 2(디지털),  11,000원","14:30,  데드풀 2(디지털),  9,500원","17:00,  데드풀 2(디지털),  12,000원","19:30,  데드풀 2(디지털),  12,000원","22:00,  데드풀 2(디지털),  10,000원",,,112
2018-05-27,05관,"10:15,  한 솔로: 스타워즈 스토리(디지털),  9,000원",,"15:15,  한 솔로: 스타워즈 스토리(디지털),  12,000원","18:00,  트루스 오어 데어(디지털),  10,000원","20:15,  트루스 오어 데어(디지털),  10,000원","22:30,  트루스 오어 데어(디지털),  10,000원",,,100
2018-05-28,01관,"09:45,  위 베어 베어스: 베이비 베어스(디지털더빙)","11:30,  독전(디지털),  8,000원","14:00,  독전(디지털),  11,000원","16:30,  독전(디지털),  11,000원","19:00,  독전(디지털),  11,000원","21:30,  독전(디지털),  11,000원",,,110
2018-05-28,02관,"10:45,  데드풀 2(디지털),  7,000원","13:15,  데드풀 2(디지털),  9,000원","15:45,  데드풀 2(디지털),  11,000원","18:15,  데드풀 2(디지털),  11,000원","20:45,  데드풀 2(디지털),  9,000원",,,,108
