상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:50,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  마다가스카의 펭귄(디지털더빙),  10,000원","15:05,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  마다가스카의 펭귄(디지털더빙),  10,000원","19:35,  국제시장(디지털),  10,000원","22:15,  국제시장(디지털),  10,000원",,177
2015-01-01,02관,"08:30,  국제시장(디지털),  6,000원","11:20,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:15,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,129
2015-01-01,03관,"09:30,  테이큰 3(디지털),  6,000원","11:55,  테이큰 3(디지털),  10,000원","14:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:55,  테이큰 3(디지털),  10,000원","18:20,  기술자들(디지털),  10,000원","20:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:20,  님아, 그 강을 건너지 마오(디지털),  10,000원",43
2015-01-02,01관,"08:50,  국제시장(디지털),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털더빙),  10,000원","15:30,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:30,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  10,000원",177
2015-01-02,02관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:35,  국제시장(디지털),  10,000원","13:10,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:30,  국제시장(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,129
2015-01-02,03관,"09:30,  테이큰 3(디지털),  6,000원","12:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:25,  테이큰 3(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:50,  기술자들(디지털),  10,000원",,43
2015-01-03,01관,"08:50,  국제시장(디지털),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털더빙),  10,000원","15:30,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","19:30,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  10,000원",177
2015-01-03,02관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:35,  국제시장(디지털),  10,000원","13:10,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:30,  국제시장(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,129
2015-01-03,03관,"09:30,  테이큰 3(디지털),  6,000원","12:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","14:00,  테이큰 3(디지털),  10,000원","16:25,  테이큰 3(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:50,  기술자들(디지털),  10,000원",,43
2015-01-04,01관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:35,  마다가스카의 펭귄(디지털더빙),  10,000원","12:40,  마다가스카의 펭귄(디지털더빙),  10,000원","14:45,  마다가스카의 펭귄(디지털더빙),  10,000원","16:40,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  테이큰 3(디지털),  10,000원","21:05,  테이큰 3(디지털),  10,000원","23:25,  테이큰 3(디지털),  10,000원",177
2015-01-04,02관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:20,  국제시장(디지털),  10,000원","17:00,  국제시장(디지털),  10,000원","19:30,  국제시장(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원",,,129
2015-01-04,03관,"09:30,  테이큰 3(디지털),  6,000원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:45,  테이큰 3(디지털),  10,000원","16:05,  테이큰 3(디지털),  10,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:40,  기술자들(디지털),  10,000원",,43
2015-01-05,01관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:35,  마다가스카의 펭귄(디지털더빙),  9,000원","12:40,  마다가스카의 펭귄(디지털더빙),  9,000원","14:45,  마다가스카의 펭귄(디지털더빙),  9,000원","16:40,  마다가스카의 펭귄(디지털더빙),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:05,  테이큰 3(디지털),  9,000원","23:25,  테이큰 3(디지털),  9,000원",177
2015-01-05,02관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,129
2015-01-05,03관,"09:30,  테이큰 3(디지털),  6,000원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","13:45,  테이큰 3(디지털),  9,000원","16:05,  테이큰 3(디지털),  9,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:40,  기술자들(디지털),  9,000원",,43
2015-01-06,01관,"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:35,  마다가스카의 펭귄(디지털더빙),  9,000원","12:40,  마다가스카의 펭귄(디지털더빙),  9,000원","14:45,  마다가스카의 펭귄(디지털더빙),  9,000원","16:40,  마다가스카의 펭귄(디지털더빙),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:05,  테이큰 3(디지털),  9,000원","23:25,  테이큰 3(디지털),  9,000원",177
2015-01-06,02관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,129
2015-01-06,03관,"09:30,  테이큰 3(디지털),  6,000원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:45,  테이큰 3(디지털),  9,000원","16:05,  테이큰 3(디지털),  9,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:40,  기술자들(디지털),  9,000원",,43
2015-01-07,01관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:25,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원",,,177
2015-01-07,02관,"08:45,  패딩턴(디지털더빙),  6,000원","10:50,  워킹걸(디지털),  7,000원","13:20,  워킹걸(디지털),  7,000원","16:00,  테이큰 3(디지털),  9,000원","18:30,  워킹걸(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원","23:15,  워킹걸(디지털),  9,000원",,129
2015-01-07,03관,"09:20,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  패딩턴(디지털더빙),  9,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:30,  마다가스카의 펭귄(디지털더빙),  9,000원","17:40,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  9,000원",,43
2015-01-08,01관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:10,  국제시장(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:25,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원",,,177
2015-01-08,02관,"08:45,  패딩턴(디지털더빙),  6,000원","10:50,  워킹걸(디지털),  9,000원","13:20,  워킹걸(디지털),  7,000원","16:00,  테이큰 3(디지털),  9,000원","18:30,  워킹걸(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원",,,129
2015-01-08,03관,"09:20,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  패딩턴(디지털더빙),  9,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:30,  마다가스카의 펭귄(디지털더빙),  9,000원","17:40,  국제시장(디지털),  9,000원","20:15,  국제시장(디지털),  9,000원","22:50,  님아, 그 강을 건너지 마오(디지털),  9,000원",,43
2015-01-09,01관,"09:20,  국제시장(디지털),  6,000원","11:55,  국제시장(디지털),  10,000원","14:35,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:55,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원",,,177
2015-01-09,02관,"08:30,  워킹걸(디지털),  6,000원","10:50,  패딩턴(디지털더빙),  10,000원","13:20,  패딩턴(디지털더빙),  10,000원","15:45,  국제시장(디지털),  10,000원","18:20,  워킹걸(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  10,000원",,129
2015-01-09,03관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:55,  패딩턴(디지털더빙),  10,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:50,  워킹걸(디지털),  10,000원",43
2015-01-10,01관,"09:20,  국제시장(디지털),  6,000원","11:55,  국제시장(디지털),  10,000원","14:35,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:55,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원",,,177
2015-01-10,02관,"08:30,  워킹걸(디지털),  6,000원","10:50,  패딩턴(디지털더빙),  10,000원","13:20,  패딩턴(디지털더빙),  10,000원","15:45,  국제시장(디지털),  10,000원","18:20,  워킹걸(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  10,000원",,129
2015-01-10,03관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:55,  패딩턴(디지털더빙),  10,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:50,  워킹걸(디지털),  10,000원",43
2015-01-11,01관,"09:00,  국제시장(디지털),  6,000원","11:35,  국제시장(디지털),  10,000원","14:15,  국제시장(디지털),  10,000원","16:55,  국제시장(디지털),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원",,,177
2015-01-11,02관,"08:30,  워킹걸(디지털),  6,000원","10:55,  패딩턴(디지털더빙),  10,000원","13:10,  패딩턴(디지털더빙),  10,000원","15:20,  패딩턴(디지털더빙),  10,000원","17:50,  국제시장(디지털),  10,000원","20:30,  워킹걸(디지털),  10,000원","23:05,  국제시장(디지털),  10,000원",,129
2015-01-11,03관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:50,  마다가스카의 펭귄(디지털더빙),  10,000원","13:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:25,  워킹걸(디지털)",,43
2015-01-12,01관,"09:00,  국제시장(디지털),  6,000원","11:35,  국제시장(디지털),  9,000원","14:15,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,177
2015-01-12,02관,"08:30,  워킹걸(디지털),  6,000원","10:55,  패딩턴(디지털더빙),  9,000원","13:10,  패딩턴(디지털더빙),  7,000원","15:20,  패딩턴(디지털더빙),  9,000원","17:50,  국제시장(디지털),  9,000원","20:30,  워킹걸(디지털),  9,000원","23:05,  국제시장(디지털)",,129
2015-01-12,03관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:50,  마다가스카의 펭귄(디지털더빙),  9,000원","13:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:25,  워킹걸(디지털),  7,000원",,43
2015-01-13,01관,"09:00,  국제시장(디지털),  6,000원","11:35,  국제시장(디지털),  9,000원","14:15,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,177
