상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:20,  국제시장(디지털),  5,000원","11:50,  국제시장(디지털),  8,000원","14:10,  국제시장(디지털),  8,000원","16:40,  국제시장(디지털),  8,000원","19:10,  국제시장(디지털),  8,000원",,,,,206
2015-01-01,02관,"09:50,  국제시장(디지털),  5,000원","12:20,  국제시장(디지털),  8,000원","14:40,  국제시장(디지털),  8,000원","17:10,  국제시장(디지털),  8,000원","19:40,  국제시장(디지털),  8,000원",,,,,164
2015-01-01,03관,"09:20,  테이큰 3(디지털),  5,000원","11:30,  테이큰 3(디지털),  8,000원","13:40,  테이큰 3(디지털),  8,000원","15:50,  테이큰 3(디지털),  8,000원","18:00,  테이큰 3(디지털),  8,000원","20:10,  테이큰 3(디지털),  8,000원",,,,130
2015-01-01,04관,"10:00,  테이큰 3(디지털),  6,000원","12:20,  개를 훔치는 완벽한 방법(디지털),  8,000원","14:30,  호빗: 다섯 군대 전투(디지털),  8,000원","17:10,  테이큰 3(디지털),  8,000원","19:30,  테이큰 3(디지털),  8,000원",,,,,151
2015-01-01,05관,"10:20,  국제시장(디지털),  5,000원","12:50,  국제시장(디지털),  8,000원","15:20,  국제시장(디지털),  8,000원","17:50,  국제시장(디지털),  8,000원","20:20,  국제시장(디지털),  8,000원",,,,,147
2015-01-01,06관,"09:20,  기술자들(디지털),  5,000원","11:40,  기술자들(디지털),  8,000원","13:50,  기술자들(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:40,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,154
2015-01-01,07관,"09:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,153
2015-01-01,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  5,000원","11:20,  마다가스카의 펭귄(디지털더빙),  8,000원","13:20,  더 테너 리리코 스핀토(디지털),  8,000원","15:40,  국제시장(디지털),  8,000원","18:10,  국제시장(디지털),  8,000원","20:40,  국제시장(디지털),  8,000원",,,,134
2015-01-02,01관,"09:20,  국제시장(디지털),  5,000원","11:50,  국제시장(디지털),  8,000원","14:10,  국제시장(디지털),  8,000원","16:40,  국제시장(디지털),  8,000원","19:10,  국제시장(디지털),  8,000원",,,,,206
2015-01-02,02관,"09:50,  국제시장(디지털),  5,000원","12:20,  국제시장(디지털),  8,000원","14:40,  국제시장(디지털),  8,000원","17:10,  국제시장(디지털),  8,000원","19:40,  국제시장(디지털),  8,000원",,,,,164
2015-01-02,03관,"09:20,  테이큰 3(디지털),  5,000원","11:30,  테이큰 3(디지털),  8,000원","13:40,  테이큰 3(디지털),  8,000원","15:50,  테이큰 3(디지털),  8,000원","18:00,  테이큰 3(디지털),  8,000원","20:20,  테이큰 3(디지털),  8,000원",,,,130
2015-01-02,04관,"10:20,  테이큰 3(디지털),  5,000원","12:40,  개를 훔치는 완벽한 방법(디지털),  8,000원","14:50,  호빗: 다섯 군대 전투(디지털),  8,000원","17:20,  테이큰 3(디지털),  8,000원","19:30,  테이큰 3(디지털),  8,000원",,,,,151
