상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-05-02,01관,,"12:40,  주토피아(디지털더빙)","15:10,  주토피아(디지털더빙)","17:30,  주토피아(디지털더빙),  6,000원","19:50,  시간이탈자(디지털),  7,000원","22:10,  시간이탈자(디지털),  5,000원","24:25,  시간이탈자(디지털)",,,,167
2016-05-02,02관,,"12:05,  시간이탈자(디지털)","14:20,  캡틴 아메리카: 시빌 워(디지털),  9,000원","17:15,  캡틴 아메리카: 시빌 워(디지털),  9,000원","20:10,  캡틴 아메리카: 시빌 워(디지털),  9,000원","23:05,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,105
2016-05-02,COMFORT 3관,,,"13:50,  캡틴 아메리카: 시빌 워(디지털),  7,000원","16:45,  캡틴 아메리카: 시빌 워(디지털),  7,000원","19:40,  캡틴 아메리카: 시빌 워(디지털),  9,000원","22:35,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,99
2016-05-02,04관,,"12:30,  날, 보러와요(디지털),  7,000원","14:30,  날, 보러와요(디지털)","16:30,  위대한 소원(디지털),  9,000원","18:30,  해어화(디지털),  7,000원","21:00,  위대한 소원(디지털)","23:00,  해어화(디지털)",,,,99
2016-05-02,05관,,"13:10,  캡틴 아메리카: 시빌 워(디지털),  7,000원","16:05,  캡틴 아메리카: 시빌 워(디지털),  9,000원","19:00,  캡틴 아메리카: 시빌 워(디지털),  9,000원","21:55,  캡틴 아메리카: 시빌 워(디지털),  9,000원",,,,,,167
2016-05-02,06관,,"12:35,  캡틴 아메리카: 시빌 워(디지털),  7,000원","15:30,  캡틴 아메리카: 시빌 워(디지털),  9,000원","18:25,  캡틴 아메리카: 시빌 워(디지털),  9,000원","21:20,  캡틴 아메리카: 시빌 워(디지털),  9,000원","24:15,  날, 보러와요(디지털)",,,,,155
2016-05-02,07관,,"12:00,  캡틴 아메리카: 시빌 워(디지털),  5,000원","15:00,  캡틴 아메리카: 시빌 워(디지털),  9,000원","17:55,  캡틴 아메리카: 시빌 워(디지털),  9,000원","20:50,  캡틴 아메리카: 시빌 워(디지털),  6,000원","23:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,,273
2016-05-03,01관,"09:40,  시간이탈자(디지털)","11:55,  시간이탈자(디지털)","14:10,  시간이탈자(디지털)","16:25,  시간이탈자(디지털),  9,000원","18:40,  시간이탈자(디지털)","20:55,  시간이탈자(디지털),  9,000원","23:10,  시간이탈자(디지털)",,,,167
2016-05-03,02관,"09:25,  주토피아(디지털더빙),  6,000원","11:40,  캡틴 아메리카: 시빌 워(디지털),  7,000원","14:35,  캡틴 아메리카: 시빌 워(디지털),  9,000원","17:30,  캡틴 아메리카: 시빌 워(디지털),  9,000원","20:25,  캡틴 아메리카: 시빌 워(디지털),  9,000원","23:20,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,105
2016-05-03,COMFORT 3관,"09:00,  날, 보러와요(디지털)","11:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","14:00,  캡틴 아메리카: 시빌 워(디지털)","16:55,  캡틴 아메리카: 시빌 워(디지털),  9,000원","19:50,  캡틴 아메리카: 시빌 워(디지털),  9,000원","22:45,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,99
2016-05-03,04관,"09:50,  위대한 소원(디지털),  6,000원","11:50,  해어화(디지털)","14:20,  위대한 소원(디지털)","16:30,  해어화(디지털)","19:00,  해어화(디지털),  9,000원","21:30,  해어화(디지털)","24:00,  날, 보러와요(디지털),  6,000원",,,,99
2016-05-03,05관,"10:30,  캡틴 아메리카: 시빌 워(디지털)","13:25,  캡틴 아메리카: 시빌 워(디지털)","16:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","19:15,  캡틴 아메리카: 시빌 워(디지털),  9,000원","22:10,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,,167
2016-05-03,06관,"10:00,  캡틴 아메리카: 시빌 워(디지털)","12:55,  캡틴 아메리카: 시빌 워(디지털),  7,000원","15:50,  캡틴 아메리카: 시빌 워(디지털),  9,000원","18:45,  캡틴 아메리카: 시빌 워(디지털),  9,000원","21:40,  캡틴 아메리카: 시빌 워(디지털),  9,000원",,,,,,155
2016-05-03,07관,"09:20,  캡틴 아메리카: 시빌 워(디지털)","12:15,  캡틴 아메리카: 시빌 워(디지털)","15:10,  캡틴 아메리카: 시빌 워(디지털),  9,000원","18:05,  캡틴 아메리카: 시빌 워(디지털),  9,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  9,000원","23:55,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,273
2016-05-04,01관,"10:00,  탐정 홍길동: 사라진 마을(디지털),  6,000원","12:35,  탐정 홍길동: 사라진 마을(디지털),  7,000원","15:10,  탐정 홍길동: 사라진 마을(디지털),  9,000원","17:45,  탐정 홍길동: 사라진 마을(디지털),  9,000원","20:30,  탐정 홍길동: 사라진 마을(디지털),  9,000원","23:10,  탐정 홍길동: 사라진 마을(디지털),  6,000원",,,,,167
2016-05-04,02관,"09:45,  주토피아(디지털더빙),  6,000원","12:00,  캡틴 아메리카: 시빌 워(디지털)","14:55,  캡틴 아메리카: 시빌 워(디지털),  9,000원","17:50,  캡틴 아메리카: 시빌 워(디지털),  7,000원","20:50,  캡틴 아메리카: 시빌 워(디지털),  9,000원","23:50,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,105
2016-05-04,COMFORT 3관,"09:50,  시간이탈자(디지털),  6,000원","12:05,  다이노X 탐험대(디지털)","13:40,  캡틴 아메리카: 시빌 워(디지털),  9,000원","16:35,  캡틴 아메리카: 시빌 워(디지털),  9,000원","19:35,  캡틴 아메리카: 시빌 워(디지털),  9,000원","22:30,  캡틴 아메리카: 시빌 워(디지털),  6,000원",,,,,99
