상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-09-03,01관,"13:00,  공작(디지털),  5,000원","15:30,  극한직업(디지털),  5,000원",,,,,,,,157
2019-09-03,02관,"14:00,  암수살인(디지털)","16:30,  롱 샷(디지털)",,,,,,,,174
2019-09-03,03관,"13:30,  라라랜드(디지털)","16:00,  라이온 킹(디지털)",,,,,,,,214
2019-09-03,04관,"14:30,  나의 특별한 형제(디지털)","17:00,  뺑반(디지털)",,,,,,,,148
2019-09-03,05관,"12:30,  리틀 포레스트(디지털)","15:00,  박열(디지털)",,,,,,,,136
2019-09-04,01관,"13:00,  극한직업(디지털),  5,000원","15:30,  공작(디지털),  5,000원",,,,,,,,157
2019-09-04,02관,"14:30,  비긴 어게인(디지털)","17:00,  그린 북(디지털)",,,,,,,,174
2019-09-04,03관,"13:30,  라이온 킹(디지털)","16:00,  라라랜드(디지털)",,,,,,,,214
2019-09-04,04관,"14:00,  롱 샷(디지털)","16:30,  안시성(디지털)",,,,,,,,148
2019-09-04,05관,"12:30,  박열(디지털)","15:00,  리틀 포레스트(디지털)",,,,,,,,136
2019-09-05,01관,,"11:50,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","13:30,  그것: 두 번째 이야기(디지털),  11,000원","16:50,  그것: 두 번째 이야기(디지털),  11,000원","20:10,  그것: 두 번째 이야기(디지털),  11,000원","23:30,  그것: 두 번째 이야기(디지털),  9,000원",,,,157
2019-09-05,02관,,,"14:30,  변신(디지털),  11,000원","16:50,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","18:35,  변신(디지털),  11,000원","20:55,  변신(디지털),  11,000원","23:15,  분노의 질주: 홉스&쇼(디지털),  9,000원",,,174
2019-09-05,03관,,"12:30,  유열의 음악앨범(디지털),  11,000원","15:00,  유열의 음악앨범(디지털),  11,000원","17:30,  변신(디지털),  1,000원","19:50,  유열의 음악앨범(디지털),  11,000원","22:20,  유열의 음악앨범(디지털),  9,000원",,,,214
2019-09-05,04관,,"12:00,  47미터 2(디지털),  11,000원","14:00,  롱 리브 더 킹: 목포 영웅(디지털),  1,000원","16:30,  유열의 음악앨범(디지털),  11,000원","19:00,  엑시트(디지털),  0원","21:10,  47미터 2(디지털),  9,000원","23:10,  엑시트(디지털),  9,000원",,,148
2019-09-05,05관,,"10:55,  엑시트(디지털),  7,000원","14:00,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","16:00,  기생충(디지털),  5,000원","18:40,  유열의 음악앨범(디지털),  9,000원","21:10,  유열의 음악앨범(디지털),  11,000원",,"26:00,  엑시트(디지털),  5,000원",,136
2019-09-06,01관,"08:30,  그것: 두 번째 이야기(디지털),  8,000원","11:50,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","13:30,  그것: 두 번째 이야기(디지털),  12,000원","16:50,  그것: 두 번째 이야기(디지털),  12,000원","20:10,  그것: 두 번째 이야기(디지털),  12,000원","23:30,  그것: 두 번째 이야기(디지털),  10,000원",,,,157
2019-09-06,02관,,,"14:30,  변신(디지털),  12,000원","16:50,  변신(디지털),  12,000원","19:10,  47미터 2(디지털),  1,000원","21:30,  변신(디지털),  12,000원","23:50,  분노의 질주: 홉스&쇼(디지털),  10,000원",,,174
2019-09-06,03관,"09:30,  유열의 음악앨범(디지털),  8,000원","12:05,  유열의 음악앨범(디지털),  12,000원","14:40,  유열의 음악앨범(디지털),  12,000원","17:15,  유열의 음악앨범(디지털),  12,000원","19:50,  유열의 음악앨범(디지털),  12,000원","22:25,  유열의 음악앨범(디지털),  12,000원",,,,214
2019-09-06,04관,"09:40,  엑시트(디지털),  8,000원","12:00,  47미터 2(디지털),  12,000원","14:00,  안나(디지털),  1,000원","16:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","19:00,  기생충(디지털),  5,000원","21:40,  47미터 2(디지털),  12,000원","23:40,  엑시트(디지털),  10,000원",,,148
2019-09-06,05관,"08:50,  틴 스피릿(디지털),  8,000원","10:55,  엑시트(디지털),  8,000원","14:00,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","16:00,  엑시트(디지털),  0원",,"20:40,  유열의 음악앨범(디지털),  12,000원","23:20,  유열의 음악앨범(디지털),  10,000원","25:40,  엑시트(디지털),  5,000원",,136
2019-09-07,01관,"09:00,  그것: 두 번째 이야기(디지털),  9,000원","12:20,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","14:05,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","15:50,  그것: 두 번째 이야기(디지털),  12,000원","19:10,  그것: 두 번째 이야기(디지털),  12,000원","22:30,  그것: 두 번째 이야기(디지털),  10,000원",,,,157
2019-09-07,02관,"08:50,  변신(디지털),  8,000원","11:10,  47미터 2(디지털),  12,000원","13:10,  변신(디지털),  10,000원","15:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","17:15,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  10,000원","19:00,  변신(디지털),  12,000원","21:20,  변신(디지털),  12,000원","23:40,  엑시트(디지털),  10,000원",,174
2019-09-07,03관,"09:30,  유열의 음악앨범(디지털),  8,000원","12:00,  유열의 음악앨범(디지털),  12,000원","14:30,  유열의 음악앨범(디지털),  12,000원","17:00,  유열의 음악앨범(디지털),  12,000원","19:30,  유열의 음악앨범(디지털),  12,000원","22:00,  유열의 음악앨범(디지털),  10,000원","24:30,  틴 스피릿(디지털)",,,214
2019-09-07,04관,"09:10,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  8,000원","10:55,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  8,000원","12:40,  그것: 두 번째 이야기(디지털),  12,000원","16:00,  기생충(디지털),  5,000원","18:40,  유열의 음악앨범(디지털),  12,000원","21:10,  유열의 음악앨범(디지털),  12,000원","23:40,  유열의 음악앨범(디지털),  10,000원",,,148
2019-09-07,05관,"09:10,  엑시트(디지털),  8,000원","11:20,  분노의 질주: 홉스&쇼(디지털),  12,000원","14:00,  엑시트(디지털),  0원","16:20,  변신(디지털),  12,000원","19:00,  47미터 2(디지털),  1,000원","21:00,  그것: 두 번째 이야기(디지털),  12,000원","24:20,  47미터 2(디지털),  10,000원","26:10,  엑시트(디지털),  5,000원",,136
2019-09-08,01관,"09:00,  그것: 두 번째 이야기(디지털),  8,000원","12:20,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","14:05,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","15:50,  그것: 두 번째 이야기(디지털),  12,000원","19:10,  그것: 두 번째 이야기(디지털),  12,000원","22:30,  그것: 두 번째 이야기(디지털),  10,000원",,,,157
2019-09-08,02관,"10:50,  유열의 음악앨범(디지털),  8,000원","13:20,  47미터 2(디지털),  12,000원","15:20,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","17:10,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","19:00,  엑시트(디지털),  0원","21:10,  그것: 두 번째 이야기(디지털),  12,000원","24:25,  47미터 2(디지털),  10,000원","27:00,  엑시트(디지털),  5,000원",,174
2019-09-08,03관,"09:30,  유열의 음악앨범(디지털),  8,000원","12:00,  유열의 음악앨범(디지털),  7,000원","14:30,  유열의 음악앨범(디지털),  12,000원","17:00,  유열의 음악앨범(디지털),  12,000원","19:30,  유열의 음악앨범(디지털),  12,000원","22:00,  유열의 음악앨범(디지털),  10,000원",,,,214
2019-09-08,04관,"09:00,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  8,000원","10:45,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  8,000원","14:00,  안나(디지털),  1,000원","16:50,  그것: 두 번째 이야기(디지털),  12,000원","20:10,  그것: 두 번째 이야기(디지털),  12,000원","23:30,  분노의 질주: 홉스&쇼(디지털),  10,000원",,,,148
2019-09-08,05관,"09:10,  변신(디지털),  8,000원","11:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","13:50,  엑시트(디지털),  12,000원","16:00,  변신(디지털),  1,000원","18:20,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  12,000원","20:20,  변신(디지털),  12,000원","22:40,  변신(디지털),  10,000원",,,136
2019-09-09,01관,"09:00,  그것: 두 번째 이야기(디지털),  7,000원","12:20,  그것: 두 번째 이야기(디지털)","15:40,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","17:30,  롱 리브 더 킹: 목포 영웅(디지털),  1,000원","20:00,  그것: 두 번째 이야기(디지털),  11,000원","23:20,  그것: 두 번째 이야기(디지털),  9,000원",,,,157
2019-09-09,02관,"10:50,  엑시트(디지털),  7,000원","13:15,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","15:00,  그것: 두 번째 이야기(디지털),  11,000원","18:20,  그것: 두 번째 이야기(디지털),  9,000원","21:40,  엑시트(디지털)","24:00,  변신(디지털),  6,000원",,,,174
2019-09-09,03관,"09:30,  유열의 음악앨범(디지털),  7,000원","12:00,  유열의 음악앨범(디지털),  11,000원","14:30,  유열의 음악앨범(디지털),  11,000원","17:00,  유열의 음악앨범(디지털),  11,000원","19:30,  유열의 음악앨범(디지털),  11,000원","22:00,  유열의 음악앨범(디지털)","24:30,  틴 스피릿(디지털)",,,214
2019-09-09,04관,"09:00,  극장판 헬로카봇 : 달나라를 구해줘!(디지털)","10:45,  그것: 두 번째 이야기(디지털),  9,000원","14:00,  안나(디지털),  1,000원","16:30,  엑시트(디지털),  11,000원","19:00,  기생충(디지털),  5,000원","22:30,  분노의 질주: 홉스&쇼(디지털),  9,000원",,,,148
2019-09-09,05관,"09:00,  변신(디지털)","11:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","13:40,  엑시트(디지털),  11,000원","16:00,  나랏말싸미(디지털),  1,000원","18:40,  엑시트(디지털),  0원","21:15,  변신(디지털),  11,000원","23:45,  유열의 음악앨범(디지털)",,,136
2019-09-10,01관,"09:00,  그것: 두 번째 이야기(디지털),  7,000원","12:20,  그것: 두 번째 이야기(디지털),  9,000원","15:40,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","17:30,  롱 리브 더 킹: 목포 영웅(디지털),  1,000원","20:00,  그것: 두 번째 이야기(디지털),  8,000원",,,,,157
2019-09-10,02관,"10:50,  엑시트(디지털),  7,000원","13:15,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  9,000원","15:00,  그것: 두 번째 이야기(디지털),  11,000원","18:20,  그것: 두 번째 이야기(디지털),  11,000원","21:40,  엑시트(디지털),  11,000원",,,,,174
2019-09-10,03관,"09:30,  유열의 음악앨범(디지털),  8,000원","12:00,  유열의 음악앨범(디지털),  11,000원","14:30,  유열의 음악앨범(디지털),  11,000원","17:00,  유열의 음악앨범(디지털),  11,000원","19:30,  유열의 음악앨범(디지털),  11,000원","22:00,  유열의 음악앨범(디지털),  9,000원","24:30,  틴 스피릿(디지털),  9,000원",,,214
2019-09-10,04관,,,"14:00,  엑시트(디지털),  0원","16:30,  엑시트(디지털),  8,000원","18:40,  47미터 2(디지털),  11,000원","20:40,  유열의 음악앨범(디지털),  11,000원","23:15,  분노의 질주: 홉스&쇼(디지털),  9,000원","27:00,  엑시트(디지털),  5,000원",,148
2019-09-10,05관,,"11:30,  극장판 헬로카봇 : 달나라를 구해줘!(디지털),  11,000원","13:30,  변신(디지털),  11,000원","16:00,  기생충(디지털),  0원","19:00,  변신(디지털),  1,000원","21:30,  변신(디지털),  9,000원","24:00,  유열의 음악앨범(디지털),  8,000원","27:00,  기생충(디지털),  5,000원",,136
