상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,01관,"07:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:35,  마다가스카의 펭귄(디지털더빙),  10,000원","11:35,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털),  10,000원","15:35,  마다가스카의 펭귄(3D 더빙),  12,000원","17:35,  마다가스카의 펭귄(디지털),  10,000원","19:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","25:20,  마미(디지털),  10,000원",,118
2015-01-01,02관,"07:00,  테이큰 3(디지털),  6,000원","09:20,  테이큰 3(디지털),  10,000원","11:40,  테이큰 3(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:40,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:20,  테이큰 3(디지털),  10,000원","25:40,  테이큰 3(디지털),  10,000원",,,153
2015-01-01,03관,"07:20,  기술자들(디지털),  6,000원","09:50,  기술자들(디지털),  10,000원","12:20,  기술자들(디지털),  10,000원","14:50,  기술자들(디지털),  10,000원","17:20,  기술자들(디지털),  10,000원","19:50,  기술자들(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","25:00,  기술자들(디지털),  10,000원",,,,110
2015-01-01,04관,"10:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:55,  호빗: 다섯 군대 전투(디지털),  10,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  10,000원",,"22:10,  호빗: 다섯 군대 전투(디지털),  10,000원","25:05,  호빗: 다섯 군대 전투(디지털),  10,000원","07:10,  호빗: 다섯 군대 전투(디지털),  6,000원",,,,155
2015-01-01,05관(Balcony),"07:30,  국제시장(디지털),  6,000원","10:05,  국제시장(디지털),  40,000원","12:40,  국제시장(디지털),  40,000원","15:15,  국제시장(디지털),  38,000원","17:50,  국제시장(디지털),  40,000원","20:25,  국제시장(디지털),  38,000원","23:00,  국제시장(디지털),  40,000원","25:35,  국제시장(디지털),  10,000원",,,,233
2015-01-01,더부티크 스위트룸,"08:00,  테이큰 3(디지털),  10,000원","10:40,  테이큰 3(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털),  10,000원",,,,,22
2015-01-02,01관,"07:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:35,  마다가스카의 펭귄(디지털더빙),  10,000원","11:35,  마다가스카의 펭귄(디지털더빙),  10,000원","13:35,  마다가스카의 펭귄(디지털),  10,000원","15:35,  마다가스카의 펭귄(3D 더빙),  12,000원","17:35,  마다가스카의 펭귄(디지털),  10,000원","19:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","25:20,  마미(디지털)",,118
2015-01-02,02관,"07:00,  테이큰 3(디지털),  6,000원","09:20,  테이큰 3(디지털),  10,000원","11:40,  테이큰 3(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:40,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:20,  테이큰 3(디지털),  10,000원","25:40,  테이큰 3(디지털),  10,000원",,,153
2015-01-02,03관,"07:40,  기술자들(디지털),  6,000원","10:10,  기술자들(디지털),  10,000원","12:40,  기술자들(디지털),  10,000원","15:10,  기술자들(디지털),  10,000원","17:40,  기술자들(디지털),  10,000원","20:10,  국제시장(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원","25:20,  기술자들(디지털),  10,000원",,,,110
2015-01-02,04관,"07:00,  호빗: 다섯 군대 전투(디지털),  6,000원","09:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","11:55,  호빗: 다섯 군대 전투(디지털),  10,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:45,  호빗: 다섯 군대 전투(디지털),  10,000원","19:40,  호빗: 다섯 군대 전투(디지털),  10,000원","22:35,  호빗: 다섯 군대 전투(디지털),  10,000원","25:30,  호빗: 다섯 군대 전투(디지털),  10,000원",,,,155
2015-01-02,05관(Balcony),"07:30,  국제시장(디지털),  6,000원","10:05,  국제시장(디지털),  10,000원","12:40,  국제시장(디지털),  10,000원","15:15,  국제시장(디지털),  10,000원","17:50,  국제시장(디지털),  40,000원","20:25,  국제시장(디지털),  40,000원","23:00,  국제시장(디지털),  10,000원","25:35,  국제시장(디지털),  10,000원",,,,233
2015-01-02,더부티크 스위트룸,"07:40,  국제시장(디지털),  10,000원","10:30,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털)",,,,,22
2015-01-03,01관,"07:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:45,  마다가스카의 펭귄(디지털더빙),  10,000원","11:45,  마다가스카의 펭귄(디지털더빙),  10,000원","13:45,  마다가스카의 펭귄(디지털),  10,000원","15:45,  마다가스카의 펭귄(3D 더빙),  12,000원","17:45,  마다가스카의 펭귄(디지털),  10,000원","19:45,  마다가스카의 펭귄(디지털),  10,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","25:35,  마미(디지털),  10,000원",,118
2015-01-03,02관,"07:10,  테이큰 3(디지털),  6,000원","09:30,  테이큰 3(디지털),  10,000원","11:50,  테이큰 3(디지털),  10,000원","14:10,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  10,000원","25:50,  테이큰 3(디지털),  10,000원",,,153
2015-01-03,03관,"07:50,  기술자들(디지털),  6,000원","10:15,  일곱난쟁이(디지털더빙),  10,000원","12:10,  기술자들(디지털),  10,000원","14:35,  기술자들(디지털),  10,000원","17:00,  기술자들(디지털),  10,000원","19:25,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:35,  기술자들(디지털),  10,000원",,,,110
2015-01-03,04관,"10:10,  호빗: 다섯 군대 전투(디지털),  10,000원","13:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:45,  호빗: 다섯 군대 전투(디지털),  10,000원",,"22:20,  호빗: 다섯 군대 전투(디지털),  10,000원","25:15,  호빗: 다섯 군대 전투(디지털),  10,000원","07:00,  호빗: 다섯 군대 전투(디지털)",,,,155
