상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-09-16,01관,,,"13:40,  사도(디지털),  9,000원","16:05,  사도(디지털),  9,000원","18:30,  사도(디지털),  9,000원","20:55,  사도(디지털),  9,000원","23:20,  사도(디지털),  9,000원",,,136
2015-09-16,02관,,,"14:30,  베테랑(디지털),  6,000원","16:50,  암살(디지털),  6,000원","19:30,  앤트맨(디지털),  6,000원","21:45,  베테랑(디지털),  6,000원","24:10,  앤트맨(디지털),  6,000원",,,135
2015-09-16,03관,,,"13:10,  뷰티 인사이드(디지털),  7,000원","15:30,  러브 라이브! 더 스쿨 아이돌 무비(디지털),  5,000원","17:25,  뷰티 인사이드(디지털),  7,000원","19:50,  암살(디지털),  6,000원","22:30,  암살(디지털),  6,000원",,,136
2015-09-16,05관,,"12:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","15:10,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","17:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","20:10,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","22:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원",,,,136
2015-09-17,01관,"09:00,  사도(디지털),  6,000원","11:20,  사도(디지털),  9,000원","13:40,  사도(디지털),  9,000원","16:05,  사도(디지털),  9,000원","18:30,  사도(디지털),  9,000원","20:55,  사도(디지털),  9,000원","23:20,  사도(디지털),  9,000원",,,136
2015-09-17,02관,"09:30,  암살(디지털),  6,000원","12:05,  베테랑(디지털),  6,000원","14:30,  베테랑(디지털),  6,000원","16:50,  암살(디지털),  6,000원","19:30,  베테랑(디지털),  6,000원","21:50,  베테랑(디지털),  6,000원","24:10,  앤트맨(디지털),  6,000원",,,135
2015-09-17,03관,"08:50,  러브 라이브! 더 스쿨 아이돌 무비(디지털),  5,000원","10:55,  극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~(디지털더빙),  7,000원","13:00,  앤트맨(디지털),  6,000원","15:15,  뷰티 인사이드(디지털),  7,000원","17:35,  앤트맨(디지털),  6,000원","19:55,  암살(디지털),  6,000원","22:30,  암살(디지털),  6,000원",,,136
2015-09-17,05관,"10:10,  메이즈 러너: 스코치 트라이얼(디지털),  6,000원","12:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","15:10,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","17:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","20:10,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원","22:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원",,,,136
2015-09-18,01관,"09:00,  사도(디지털),  6,000원","11:20,  사도(디지털),  9,000원","13:40,  사도(디지털),  9,000원","16:05,  사도(디지털),  9,000원","18:30,  사도(디지털),  9,000원","20:55,  사도(디지털),  9,000원","23:20,  사도(디지털),  9,000원",,,136
2015-09-18,02관,"09:50,  앤트맨(디지털),  6,000원","12:00,  앤트맨(디지털)","14:20,  베테랑(디지털),  5,000원","16:40,  뷰티 인사이드(디지털),  7,000원","19:05,  베테랑(디지털),  9,000원","21:25,  앤트맨(디지털),  9,000원","23:40,  메이즈 러너: 스코치 트라이얼(디지털),  9,000원",,,135
