상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-07-19,01관,"10:40,  스파이더맨: 홈 커밍(디지털),  5,000원","13:20,  스파이더맨: 홈 커밍(디지털),  9,000원","16:00,  스파이더맨: 홈 커밍(디지털),  9,000원","18:40,  스파이더맨: 홈 커밍(디지털),  9,000원","21:20,  박열(디지털),  9,000원","23:50,  박열(디지털),  8,000원",,,,30
2017-07-19,02관,"09:30,  47 미터(디지털),  5,000원","11:20,  박열(디지털),  9,000원","13:50,  47 미터(디지털),  9,000원","15:40,  박열(디지털),  9,000원","18:10,  박열(디지털),  9,000원","20:40,  스파이더맨: 홈 커밍(디지털),  9,000원","23:20,  스파이더맨: 홈 커밍(디지털),  8,000원",,,30
2017-07-19,03관,"10:00,  박열(디지털),  5,000원","12:30,  47 미터(디지털),  9,000원","14:20,  스파이더맨: 홈 커밍(디지털),  9,000원","17:00,  스파이더맨: 홈 커밍(디지털),  9,000원","19:40,  스파이더맨: 홈 커밍(디지털),  9,000원","22:20,  47 미터(디지털),  9,000원","24:10,  47 미터(디지털),  8,000원",,,30
2017-07-20,01관,"09:30,  덩케르크(디지털),  5,000원","11:40,  덩케르크(디지털),  9,000원","13:50,  덩케르크(디지털),  9,000원","16:00,  덩케르크(디지털),  9,000원","18:10,  덩케르크(디지털),  9,000원","20:20,  덩케르크(디지털),  9,000원","22:30,  덩케르크(디지털),  9,000원",,,30
2017-07-20,02관,"10:30,  스파이더맨: 홈 커밍(디지털),  5,000원","13:10,  박열(디지털),  9,000원","15:45,  47 미터(디지털),  9,000원","17:40,  47 미터(디지털),  9,000원","19:35,  스파이더맨: 홈 커밍(디지털),  9,000원","22:10,  47 미터(디지털),  9,000원","24:00,  스파이더맨: 홈 커밍(디지털),  8,000원",,,30
2017-07-20,03관,"10:50,  47 미터(디지털),  5,000원","12:40,  덩케르크(디지털),  9,000원","14:50,  덩케르크(디지털),  9,000원","17:00,  덩케르크(디지털),  9,000원","19:10,  덩케르크(디지털),  9,000원","21:20,  덩케르크(디지털),  9,000원","23:30,  덩케르크(디지털),  8,000원",,,30
2017-07-21,01관,"09:30,  덩케르크(디지털),  5,000원","11:40,  덩케르크(디지털),  9,000원","13:50,  덩케르크(디지털),  9,000원","16:00,  덩케르크(디지털),  9,000원","18:10,  덩케르크(디지털),  9,000원","20:20,  덩케르크(디지털),  9,000원","22:30,  덩케르크(디지털),  9,000원",,,30
2017-07-21,02관,"10:30,  스파이더맨: 홈 커밍(디지털)","13:10,  박열(디지털),  9,000원","15:45,  47 미터(디지털),  9,000원","17:40,  47 미터(디지털),  9,000원","19:35,  스파이더맨: 홈 커밍(디지털),  9,000원","22:10,  47 미터(디지털),  9,000원","24:00,  스파이더맨: 홈 커밍(디지털),  8,000원",,,30
2017-07-21,03관,"10:50,  47 미터(디지털),  5,000원","12:40,  덩케르크(디지털),  9,000원","14:50,  덩케르크(디지털),  9,000원","17:00,  덩케르크(디지털),  9,000원","19:10,  덩케르크(디지털),  9,000원","21:20,  덩케르크(디지털),  9,000원","23:30,  덩케르크(디지털),  8,000원",,,30
2017-07-22,01관,"09:30,  덩케르크(디지털),  5,000원","11:40,  덩케르크(디지털),  11,000원","13:50,  덩케르크(디지털),  9,000원","16:00,  덩케르크(디지털),  11,000원","18:10,  덩케르크(디지털),  11,000원","20:20,  덩케르크(디지털),  11,000원","22:30,  덩케르크(디지털),  11,000원",,,30
2017-07-22,02관,"10:30,  스파이더맨: 홈 커밍(디지털),  11,000원","13:10,  박열(디지털),  11,000원","15:45,  47 미터(디지털),  11,000원","17:40,  47 미터(디지털),  11,000원","19:35,  스파이더맨: 홈 커밍(디지털),  11,000원","22:10,  47 미터(디지털),  11,000원","24:00,  스파이더맨: 홈 커밍(디지털),  9,000원",,,30
2017-07-22,03관,"10:50,  47 미터(디지털),  9,000원","12:40,  덩케르크(디지털)","14:50,  덩케르크(디지털),  11,000원","17:00,  덩케르크(디지털),  11,000원","19:10,  덩케르크(디지털),  9,000원","21:20,  덩케르크(디지털),  11,000원","23:30,  덩케르크(디지털),  9,000원",,,30
2017-07-23,01관,"09:30,  덩케르크(디지털),  5,000원","11:40,  덩케르크(디지털),  11,000원","13:50,  덩케르크(디지털),  11,000원","16:00,  스파이더맨: 홈 커밍(디지털),  11,000원","18:40,  덩케르크(디지털),  11,000원","20:50,  덩케르크(디지털),  11,000원","23:00,  덩케르크(디지털),  9,000원",,,30
2017-07-23,02관,"10:30,  스파이더맨: 홈 커밍(디지털),  11,000원","13:10,  박열(디지털),  11,000원","15:45,  47 미터(디지털),  11,000원","17:40,  47 미터(디지털),  11,000원","19:35,  스파이더맨: 홈 커밍(디지털),  11,000원","22:10,  47 미터(디지털),  9,000원","24:00,  스파이더맨: 홈 커밍(디지털),  9,000원",,,30
2017-07-23,03관,,"12:30,  덩케르크(디지털),  9,000원","14:35,  스파이더맨: 홈 커밍(디지털),  11,000원","17:15,  박열(디지털),  11,000원","19:50,  47 미터(디지털),  11,000원","21:45,  스파이더맨: 홈 커밍(디지털),  11,000원","24:20,  박열(디지털),  9,000원",,,30
2017-07-24,01관,"09:30,  47 미터(디지털),  5,000원","11:25,  박열(디지털),  9,000원","14:00,  47 미터(디지털),  7,000원","16:00,  덩케르크(디지털),  9,000원","18:20,  47 미터(디지털),  9,000원","20:15,  덩케르크(디지털),  9,000원","22:25,  47 미터(디지털),  9,000원","24:20,  덩케르크(디지털),  8,000원",,30
2017-07-24,02관,"10:40,  스파이더맨: 홈 커밍(디지털),  9,000원","13:20,  스파이더맨: 홈 커밍(디지털),  7,000원","16:00,  스파이더맨: 홈 커밍(디지털),  9,000원","18:40,  스파이더맨: 홈 커밍(디지털),  9,000원","21:20,  스파이더맨: 홈 커밍(디지털),  7,000원","24:00,  스파이더맨: 홈 커밍(디지털),  8,000원",,,,30
2017-07-24,03관,"10:30,  덩케르크(디지털),  9,000원","12:45,  덩케르크(디지털),  5,000원","15:00,  덩케르크(디지털),  9,000원","17:10,  덩케르크(디지털),  5,000원","19:20,  덩케르크(디지털),  9,000원","21:30,  덩케르크(디지털),  9,000원","23:40,  덩케르크(디지털),  8,000원",,,30
