상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,101호(The Boutique),"07:40,  테이큰 3(디지털),  6,000원","10:00,  테이큰 3(디지털),  10,000원","12:20,  테이큰 3(디지털),  10,000원","14:40,  테이큰 3(디지털),  10,000원","17:00,  테이큰 3(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:40,  테이큰 3(디지털),  10,000원","24:00,  테이큰 3(디지털),  9,000원",,,92
2015-01-01,102호(The Boutique),"07:30,  국제시장(디지털),  6,000원","10:05,  마다가스카의 펭귄(3D 더빙),  13,000원","12:05,  마다가스카의 펭귄(3D 더빙),  13,000원","14:05,  마다가스카의 펭귄(3D 더빙),  13,000원","16:10,  마다가스카의 펭귄(3D 디지털),  13,000원","18:10,  마다가스카의 펭귄(3D 디지털),  13,000원","20:10,  국제시장(디지털),  10,000원","22:45,  기술자들(디지털),  10,000원","25:10,  기술자들(디지털),  9,000원",,159
2015-01-01,103호(The Boutique),"08:35,  국제시장(디지털),  6,000원","11:10,  국제시장(디지털),  10,000원","13:45,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원",,,"22:15,  국제시장(디지털),  10,000원","24:50,  국제시장(디지털),  9,000원",,,175
2015-01-01,104호(The Boutique),"09:30,  상의원(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  상의원(디지털),  10,000원","25:00,  상의원(디지털)",,,,136
2015-01-01,105호(The Boutique),"07:50,  국제시장(디지털),  6,000원","10:20,  호빗: 다섯 군대 전투(디지털),  10,000원","13:10,  호빗: 다섯 군대 전투(디지털),  10,000원","16:00,  호빗: 다섯 군대 전투(디지털),  10,000원",,,"22:10,  호빗: 다섯 군대 전투(디지털),  10,000원","25:00,  마미(디지털),  7,000원",,,118
2015-01-01,06관,"08:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:25,  기술자들(디지털),  10,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:40,  기술자들(디지털),  10,000원","23:05,  국제시장(디지털),  10,000원",,,
2015-01-02,101호(The Boutique),"08:00,  테이큰 3(디지털),  6,000원","10:20,  테이큰 3(디지털),  10,000원","12:40,  테이큰 3(디지털),  10,000원","15:00,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  테이큰 3(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  9,000원",,,92
2015-01-02,102호(The Boutique),"07:30,  국제시장(디지털),  6,000원","10:05,  마다가스카의 펭귄(3D 더빙),  13,000원","12:05,  마다가스카의 펭귄(3D 더빙),  13,000원","14:05,  마다가스카의 펭귄(3D 더빙),  13,000원","16:05,  마다가스카의 펭귄(3D 디지털),  13,000원","18:05,  마다가스카의 펭귄(3D 디지털),  13,000원","20:30,  국제시장(디지털),  10,000원","23:10,  국제시장(디지털),  10,000원",,,159
2015-01-02,103호(The Boutique),"08:20,  국제시장(디지털),  6,000원","11:05,  국제시장(디지털),  10,000원","13:40,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  9,000원",,,,175
2015-01-02,104호(The Boutique),"08:40,  기술자들(디지털),  6,000원","11:05,  호빗: 다섯 군대 전투(디지털),  10,000원","14:00,  상의원(디지털),  10,000원","16:35,  호빗: 다섯 군대 전투(디지털),  10,000원","19:30,  호빗: 다섯 군대 전투(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","24:55,  상의원(디지털),  7,000원",,,,136
