상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:30,  국제시장(디지털),  5,000원","11:55,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원",,,183
2015-01-01,02관,"09:00,  테이큰 3(디지털),  5,000원","11:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:55,  테이큰 3(디지털),  9,000원","15:05,  테이큰 3(디지털),  9,000원","17:15,  테이큰 3(디지털),  9,000원","19:25,  테이큰 3(디지털),  7,000원","21:35,  테이큰 3(디지털),  9,000원","23:45,  테이큰 3(디지털),  9,000원",,118
2015-01-01,03관,"10:10,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(디지털),  9,000원","13:50,  마다가스카의 펭귄(디지털더빙),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  9,000원","17:30,  국제시장(디지털),  9,000원","19:55,  국제시장(디지털),  9,000원","22:20,  국제시장(디지털),  9,000원",,,132
2015-01-01,04관,"10:00,  기술자들(디지털),  5,000원","12:15,  기술자들(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","16:45,  기술자들(디지털),  9,000원","19:00,  기술자들(디지털),  9,000원","21:15,  기술자들(디지털),  9,000원","23:30,  기술자들(디지털),  7,000원",,,149
2015-01-01,05관,"08:45,  마다가스카의 펭귄(3D 더빙),  10,000원","10:35,  호빗: 다섯 군대 전투(디지털),  5,000원","13:15,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","14:50,  마다가스카의 펭귄(디지털더빙),  9,000원","16:40,  마다가스카의 펭귄(3D 디지털),  14,000원","18:30,  개를 훔치는 완벽한 방법(디지털),  9,000원","20:35,  호빗: 다섯 군대 전투(디지털),  9,000원","23:15,  개를 훔치는 완벽한 방법(디지털),  7,000원",,102
2015-01-01,06관,"09:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","10:45,  국제시장(디지털),  5,000원","13:10,  국제시장(디지털),  9,000원","15:35,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:10,  숲속으로(디지털),  5,000원",,,102
2015-01-01,07관,"09:15,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:00,  일곱난쟁이(디지털더빙),  5,000원","12:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:15,  상의원(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:55,  님아, 그 강을 건너지 마오(디지털),  9,000원",134
2015-01-02,01관,"09:30,  국제시장(디지털),  5,000원","11:55,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원",,,183
2015-01-02,02관,"09:00,  테이큰 3(디지털),  5,000원","11:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:55,  테이큰 3(디지털),  9,000원","15:05,  테이큰 3(디지털),  9,000원","17:15,  테이큰 3(디지털),  9,000원","19:25,  테이큰 3(디지털),  9,000원","21:35,  테이큰 3(디지털),  9,000원","23:45,  테이큰 3(디지털),  9,000원",,118
2015-01-02,03관,"10:10,  마다가스카의 펭귄(디지털더빙),  5,000원","12:00,  마다가스카의 펭귄(디지털),  9,000원","13:50,  마다가스카의 펭귄(디지털더빙),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  7,000원","17:30,  국제시장(디지털),  9,000원","19:55,  국제시장(디지털),  9,000원","22:20,  국제시장(디지털),  9,000원",,,132
2015-01-02,04관,"10:00,  기술자들(디지털),  5,000원","12:15,  기술자들(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","16:45,  기술자들(디지털),  9,000원","19:00,  기술자들(디지털),  9,000원","21:15,  기술자들(디지털),  9,000원","23:30,  기술자들(디지털),  7,000원",,,149
