상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-04-02,01관,"17:00,  극한직업(디지털)","19:25,  극한직업(디지털)",,,,,,,,77
2019-04-02,02관,"17:05,  극한직업(디지털)","19:30,  극한직업(디지털)",,,,,,,,65
2019-04-02,03관,"17:10,  극한직업(디지털)","19:35,  극한직업(디지털)",,,,,,,,94
2019-04-02,04관,"17:15,  극한직업(디지털)","19:40,  극한직업(디지털)",,,,,,,,82
2019-04-02,05관,"17:20,  극한직업(디지털)","19:45,  극한직업(디지털)",,,,,,,,282
2019-04-02,06관,"17:25,  극한직업(디지털)","19:50,  극한직업(디지털)",,,,,,,,169
2019-04-02,07관,"17:30,  극한직업(디지털)","19:55,  극한직업(디지털)",,,,,,,,169
2019-04-03,07관,"14:00,  신데렐라:마법 반지의 비밀(디지털더빙)","16:00,  신데렐라:마법 반지의 비밀(디지털더빙)","18:00,  신데렐라:마법 반지의 비밀(디지털더빙)",,,,,,,169
2019-04-04,01관,,,,"18:40,  증인(디지털)",,,,,,77
2019-04-04,02관,,,,"18:45,  증인(디지털)",,,,,,65
2019-04-04,03관,,,,"18:50,  증인(디지털)",,,,,,94
2019-04-04,04관,,,,"18:55,  증인(디지털)",,,,,,82
2019-04-04,05관,,,,"19:00,  증인(디지털)",,,,,,282
2019-04-04,06관,,,,"19:05,  증인(디지털)",,,,,,169
2019-04-04,07관,,,,"19:10,  증인(디지털)",,,,,,169
2019-04-05,01관,,,"16:00,  명당(디지털)","18:45,  덤보(디지털)",,,,,,77
2019-04-05,02관,,,"17:00,  기묘한 가족(디지털)","19:25,  로망(디지털),  8,000원",,,,,,65
2019-04-05,03관,,,"15:35,  덤보(디지털더빙)","18:00,  내안의 그놈(디지털)",,,,,,94
2019-04-05,04관,,,"16:25,  어스(디지털),  5,000원","19:00,  도어락(디지털)",,,,,,82
2019-04-05,05관,,,"15:50,  샤잠!(디지털),  6,000원","18:40,  샤잠!(디지털),  10,000원",,,,,,282
2019-04-05,06관,,,"16:40,  생일(디지털),  9,000원","19:10,  생일(디지털),  9,000원",,,,,,169
2019-04-05,07관,,,"16:10,  돈(디지털),  6,000원","18:35,  돈(디지털),  6,000원",,,,,,169
2019-04-06,01관,"09:35,  샤잠!(디지털),  7,000원","12:20,  샤잠!(디지털),  6,000원","15:10,  샤잠!(디지털),  10,000원","18:00,  샤잠!(디지털),  10,000원","20:50,  샤잠!(디지털),  10,000원",,,,,77
2019-04-06,02관,"10:40,  생일(디지털),  7,500원","13:15,  생일(디지털),  10,000원","15:50,  덤보(디지털더빙),  5,000원","18:25,  생일(디지털),  8,000원","21:00,  생일(디지털),  10,000원",,,,,65
2019-04-06,03관,"09:40,  로망(디지털)","12:05,  덤보(디지털더빙),  5,000원","14:30,  덤보(디지털더빙),  5,000원","17:05,  샤잠!(디지털),  5,000원","19:50,  샤잠!(디지털),  10,000원","22:35,  샤잠!(디지털),  5,000원",,,,94
2019-04-06,04관,"10:30,  덤보(디지털),  5,000원","13:00,  런닝맨 : 풀룰루의 역습(디지털)","14:45,  어스(디지털),  5,000원","17:15,  어스(디지털),  10,000원","19:45,  어스(디지털),  10,000원","22:15,  어스(디지털),  10,000원",,,,82
2019-04-06,05관,"10:35,  샤잠!(디지털),  8,000원","13:20,  샤잠!(디지털),  10,000원","16:10,  샤잠!(디지털),  8,000원","19:00,  알리타: 배틀 엔젤(디지털)","21:40,  샤잠!(디지털),  10,000원",,,,,282
2019-04-06,06관,"10:20,  돈(디지털),  6,000원","12:50,  돈(디지털),  10,000원","15:20,  돈(디지털),  10,000원","17:50,  돈(디지털),  10,000원","20:20,  돈(디지털),  10,000원","22:50,  돈(디지털),  10,000원",,,,169
2019-04-06,07관,"09:45,  생일(디지털),  7,000원","12:15,  생일(디지털),  6,000원","14:55,  생일(디지털),  7,500원","17:30,  생일(디지털),  9,000원","20:05,  생일(디지털),  10,000원","22:40,  생일(디지털),  6,000원",,,,169
2019-04-07,01관,"10:30,  샤잠!(디지털),  9,000원","13:20,  샤잠!(디지털),  5,000원","16:10,  샤잠!(디지털),  10,000원","19:00,  샤잠!(디지털),  5,000원","21:50,  샤잠!(디지털),  5,000원",,,,,77
2019-04-07,02관,"10:50,  생일(디지털),  7,000원","13:25,  생일(디지털),  5,000원","15:55,  덤보(디지털더빙),  10,000원","18:40,  생일(디지털),  5,000원","21:20,  생일(디지털),  5,000원",,,,,65
2019-04-07,03관,"09:40,  로망(디지털),  5,000원","12:05,  덤보(디지털더빙),  10,000원","14:35,  덤보(디지털더빙),  10,000원","17:10,  샤잠!(디지털),  5,000원","19:55,  샤잠!(디지털),  10,000원","22:40,  샤잠!(디지털),  5,000원",,,,94
2019-04-07,04관,"10:25,  덤보(디지털)","13:00,  신데렐라:마법 반지의 비밀(디지털더빙)","15:00,  어스(디지털),  10,000원","17:35,  어스(디지털),  10,000원","20:10,  어스(디지털),  8,000원","22:45,  어스(디지털),  5,000원",,,,82
2019-04-07,05관,"09:30,  샤잠!(디지털),  7,000원","12:15,  샤잠!(디지털),  10,000원","15:10,  샤잠!(디지털),  6,000원","18:00,  아쿠아맨(디지털)","21:00,  샤잠!(디지털),  6,000원",,,,,282
2019-04-07,06관,"10:10,  돈(디지털),  7,000원","12:40,  돈(디지털),  10,000원","15:15,  돈(디지털),  10,000원","17:45,  돈(디지털),  8,000원","20:20,  돈(디지털),  6,000원","22:50,  돈(디지털),  10,000원",,,,169
2019-04-07,07관,"09:45,  생일(디지털),  7,000원","12:20,  생일(디지털),  9,000원","14:55,  생일(디지털),  10,000원","17:30,  생일(디지털),  10,000원","20:05,  생일(디지털),  10,000원","22:35,  생일(디지털),  6,000원",,,,169
2019-04-08,01관,"09:35,  샤잠!(디지털),  5,000원","12:20,  샤잠!(디지털),  5,000원","15:10,  샤잠!(디지털),  5,000원","18:00,  샤잠!(디지털),  5,000원","20:50,  샤잠!(디지털),  5,000원",,,,,77
2019-04-08,02관,"10:40,  생일(디지털),  5,000원","13:20,  생일(디지털),  5,000원","15:50,  어스(디지털),  5,000원","18:25,  어스(디지털)","21:05,  어스(디지털),  5,000원",,,,,65
2019-04-08,03관,"11:00,  완벽한 타인(디지털)","13:40,  덤보(디지털)","16:15,  생일(디지털),  5,000원","18:45,  생일(디지털),  9,000원","21:20,  생일(디지털),  5,000원",,,,,94
2019-04-08,04관,"09:25,  로망(디지털)","11:50,  덤보(디지털더빙)","14:15,  덤보(디지털더빙)","16:40,  돈(디지털),  5,000원","19:10,  돈(디지털),  9,000원","21:40,  로망(디지털),  5,000원",,,,82
2019-04-08,05관,"10:30,  샤잠!(디지털),  6,000원","13:15,  샤잠!(디지털),  6,000원","16:05,  샤잠!(디지털),  6,000원","19:00,  샤잠!(디지털),  6,000원","21:45,  샤잠!(디지털),  6,000원",,,,,282
2019-04-08,06관,"10:20,  돈(디지털),  6,000원","12:50,  돈(디지털),  8,000원","15:25,  돈(디지털),  6,000원","17:50,  돈(디지털),  9,000원","20:20,  돈(디지털),  6,000원","22:50,  돈(디지털),  6,000원",,,,169
2019-04-08,07관,"09:45,  생일(디지털),  6,000원","12:15,  생일(디지털),  6,000원","14:55,  생일(디지털),  6,000원","17:30,  생일(디지털),  6,000원","20:05,  생일(디지털),  9,000원","22:40,  생일(디지털)",,,,169
2019-04-09,01관,"09:35,  샤잠!(디지털)","12:20,  샤잠!(디지털),  5,000원","15:10,  샤잠!(디지털),  5,480원","18:00,  샤잠!(디지털),  9,000원","20:50,  샤잠!(디지털),  5,000원",,,,,77
2019-04-09,02관,"10:50,  어스(디지털),  5,000원","13:40,  덤보(디지털)","16:15,  생일(디지털),  5,000원","18:45,  생일(디지털),  5,000원","21:20,  생일(디지털),  7,000원",,,,,65
2019-04-09,03관,"10:40,  생일(디지털),  5,000원","13:20,  생일(디지털),  5,000원","16:30,  런닝맨 : 풀룰루의 역습(디지털)","18:25,  어스(디지털),  7,000원","21:05,  어스(디지털),  5,000원",,,,,94
2019-04-09,04관,"09:40,  로망(디지털)","12:05,  덤보(디지털더빙),  5,000원","14:25,  덤보(디지털더빙)","16:50,  돈(디지털),  9,000원","19:15,  돈(디지털),  9,000원","21:55,  로망(디지털),  9,000원",,,,82
2019-04-09,05관,"10:30,  샤잠!(디지털),  6,000원","13:15,  샤잠!(디지털),  6,000원","16:05,  샤잠!(디지털),  6,000원","19:00,  샤잠!(디지털),  6,000원","21:45,  샤잠!(디지털)",,,,,282
2019-04-09,06관,"10:20,  돈(디지털),  6,000원","12:50,  돈(디지털),  5,000원","15:20,  돈(디지털),  6,000원","17:55,  돈(디지털),  9,000원","20:20,  돈(디지털),  9,000원","22:50,  돈(디지털),  6,000원",,,,169
2019-04-09,07관,"09:45,  생일(디지털),  6,000원","12:15,  생일(디지털),  6,000원","14:55,  생일(디지털),  9,000원","17:30,  생일(디지털),  6,000원","20:05,  생일(디지털),  6,000원","22:40,  생일(디지털),  6,000원",,,,169
2019-04-10,01관,"10:10,  돈(디지털),  6,000원","12:35,  키코리키: 시간여행(디지털더빙),  5,000원","14:20,  돈(디지털),  5,000원","16:50,  돈(디지털),  5,000원","19:20,  돈(디지털),  5,000원","21:45,  돈(디지털),  7,000원",,,,77
2019-04-10,02관,"09:40,  어스(디지털),  5,000원","12:05,  공포의 묘지(디지털),  9,000원","14:10,  어스(디지털),  5,000원","16:35,  공포의 묘지(디지털),  5,000원","18:40,  어스(디지털),  8,000원","21:05,  어스(디지털),  5,000원",,,,65
2019-04-10,03관,"10:50,  샤잠!(디지털),  5,000원","13:50,  덤보(디지털더빙),  9,000원",,,"21:50,  샤잠!(디지털),  5,000원",,,,,94
2019-04-10,04관,"10:15,  생일(디지털),  5,000원","13:00,  파이브 피트(디지털),  5,000원","15:30,  생일(디지털),  9,000원","18:00,  생일(디지털),  7,000원","20:45,  공포의 묘지(디지털),  9,000원",,,,,82
2019-04-10,05관,"09:30,  헬보이(디지털),  6,000원","12:00,  헬보이(디지털),  7,000원","14:30,  헬보이(디지털),  6,000원","17:00,  헬보이(디지털),  6,000원","19:30,  헬보이(디지털),  6,000원","22:00,  헬보이(디지털),  6,000원",,,,282
2019-04-10,06관,,"12:15,  샤잠!(디지털),  6,000원","15:00,  샤잠!(디지털),  6,000원","17:45,  샤잠!(디지털),  9,000원",,,,,,169
2019-04-10,07관,"09:50,  키코리키: 시간여행(디지털더빙),  6,000원","11:40,  생일(디지털),  6,000원","14:10,  생일(디지털),  9,000원","16:40,  생일(디지털),  9,000원","19:10,  생일(디지털),  7,500원","21:40,  생일(디지털),  9,000원",,,,169
2019-04-11,01관,"09:50,  생일(디지털),  6,000원","12:20,  생일(디지털),  5,000원","15:00,  키코리키: 시간여행(디지털더빙)","16:45,  생일(디지털),  5,000원","19:15,  생일(디지털),  5,000원","21:45,  생일(디지털),  9,000원",,,,77
2019-04-11,02관,"09:40,  어스(디지털),  5,000원","12:10,  키코리키: 시간여행(디지털더빙)","14:00,  어스(디지털)","16:30,  공포의 묘지(디지털)","18:40,  어스(디지털),  7,000원","21:10,  어스(디지털),  5,000원",,,,65
2019-04-11,03관,"09:30,  헬보이(디지털),  6,000원","12:00,  헬보이(디지털),  5,000원","14:30,  헬보이(디지털),  5,000원","17:00,  헬보이(디지털),  9,000원","19:30,  헬보이(디지털),  5,000원","22:00,  헬보이(디지털),  7,000원",,,,94
2019-04-11,04관,"10:30,  파이브 피트(디지털),  5,000원","13:10,  파이브 피트(디지털),  5,000원","15:40,  파이브 피트(디지털)","18:00,  파이브 피트(디지털)","20:50,  공포의 묘지(디지털),  9,000원",,,,,82
2019-04-11,05관,"10:40,  샤잠!(디지털),  6,000원","13:20,  샤잠!(디지털),  9,000원","16:05,  샤잠!(디지털)","18:50,  샤잠!(디지털),  7,000원","21:35,  샤잠!(디지털),  9,000원",,,,,282
2019-04-11,06관,"10:50,  공포의 묘지(디지털)","13:00,  덤보(디지털더빙),  8,000원","15:30,  미성년(디지털),  6,000원","17:40,  미성년(디지털),  6,000원","19:45,  미성년(디지털),  6,000원","22:10,  미성년(디지털),  6,000원",,,,169
2019-04-11,07관,"10:00,  돈(디지털),  6,000원","12:25,  미성년(디지털),  6,000원","14:35,  돈(디지털),  6,000원","17:00,  돈(디지털)","19:25,  돈(디지털),  8,000원","21:50,  돈(디지털),  9,000원",,,,169
