1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"09:10,  범블비(디지털),  8,000원","11:40,  범블비(디지털),  7,000원","14:10,  범블비(디지털),  12,000원","16:40,  범블비(디지털),  12,000원","19:10,  범블비(디지털),  12,000원","21:40,  범블비(디지털),  12,000원","24:10,  범블비(디지털),  10,000원",,01관,2019-01-01,148
"09:30,  PMC: 더 벙커(디지털),  8,000원","12:05,  PMC: 더 벙커(디지털),  11,000원","14:40,  PMC: 더 벙커(디지털),  12,000원","17:15,  PMC: 더 벙커(디지털),  12,000원","19:50,  PMC: 더 벙커(디지털),  12,000원","22:25,  PMC: 더 벙커(디지털),  12,000원",,,02관,2019-01-01,104
"10:50,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  8,000원","13:15,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  12,000원","15:20,  언니(디지털),  12,000원","17:30,  마약왕(디지털),  12,000원","20:10,  언니(디지털),  12,000원","22:50,  마약왕(디지털),  12,000원",,,03관,2019-01-01,115
"09:50,  그린치(디지털더빙),  6,000원","11:50,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:55,  그린치(디지털더빙),  12,000원","15:55,  그린치(디지털더빙),  12,000원","18:00,  아쿠아맨(디지털),  12,000원","20:55,  아쿠아맨(디지털),  12,000원","23:50,  아쿠아맨(디지털),  10,000원",,04관,2019-01-01,94
"09:40,  스윙키즈(디지털),  8,000원","12:25,  보헤미안 랩소디(디지털),  11,000원","15:10,  스윙키즈(디지털),  12,000원","17:55,  보헤미안 랩소디(디지털),  12,000원","20:40,  스윙키즈(디지털),  12,000원","23:25,  보헤미안 랩소디(디지털),  10,000원",,,05관,2019-01-01,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-01,112
"09:10,  범블비(디지털),  6,000원","11:40,  범블비(디지털),  9,000원","14:10,  범블비(디지털),  10,000원","16:40,  범블비(디지털),  10,000원","19:10,  범블비(디지털),  10,000원","21:40,  범블비(디지털),  10,000원","24:10,  범블비(디지털),  9,000원",,01관,2019-01-02,148
"09:30,  PMC: 더 벙커(디지털),  7,000원","12:05,  PMC: 더 벙커(디지털),  9,000원","14:40,  PMC: 더 벙커(디지털),  10,000원","17:15,  PMC: 더 벙커(디지털),  10,000원","19:50,  PMC: 더 벙커(디지털),  10,000원","23:10,  PMC: 더 벙커(디지털),  9,000원",,,02관,2019-01-02,104
"10:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,000원","12:05,  아쿠아맨(디지털),  9,000원","15:00,  아쿠아맨(디지털),  10,000원","17:55,  아쿠아맨(디지털),  10,000원","20:50,  아쿠아맨(디지털),  10,000원","23:45,  아쿠아맨(디지털),  9,000원",,,03관,2019-01-02,115
"09:00,  언니(디지털),  7,000원","11:10,  그린치(디지털더빙),  9,000원","13:15,  언니(디지털)","15:15,  그린치(디지털더빙),  8,000원","17:20,  마약왕(디지털),  8,000원","20:10,  언니(디지털),  10,000원","22:50,  마약왕(디지털),  4,000원",,04관,2019-01-02,94
"10:20,  보헤미안 랩소디(디지털),  7,000원","13:05,  스윙키즈(디지털),  10,000원","15:50,  보헤미안 랩소디(디지털),  10,000원","18:35,  스윙키즈(디지털),  10,000원","21:20,  보헤미안 랩소디(디지털),  10,000원","24:05,  스윙키즈(디지털),  9,000원",,,05관,2019-01-02,104
"10:40,  아쿠아맨(디지털),  7,000원","13:35,  아쿠아맨(디지털),  10,000원","16:30,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:20,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-02,112
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","19:20,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","24:10,  언니(디지털),  9,000원",,01관,2019-01-03,148
"09:30,  PMC: 더 벙커(디지털),  7,000원","12:05,  PMC: 더 벙커(디지털)","14:40,  PMC: 더 벙커(디지털),  10,000원","17:15,  PMC: 더 벙커(디지털),  10,000원","19:50,  PMC: 더 벙커(디지털),  10,000원","22:30,  PMC: 더 벙커(디지털)",,,02관,2019-01-03,104
"10:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:55,  언니(디지털),  9,000원","15:00,  아쿠아맨(디지털),  10,000원","18:30,  언니(디지털),  10,000원","20:50,  아쿠아맨(디지털),  8,000원","23:45,  아쿠아맨(디지털),  9,000원",,,03관,2019-01-03,115
"09:00,  범블비(디지털),  7,000원","11:35,  범블비(디지털),  9,000원","14:10,  범블비(디지털),  5,000원","16:45,  범블비(디지털),  10,000원","19:20,  범블비(디지털),  10,000원","21:55,  범블비(디지털),  10,000원","24:30,  범블비(디지털),  9,000원",,04관,2019-01-03,94
"10:00,  보헤미안 랩소디(디지털),  7,000원","13:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","15:30,  보헤미안 랩소디(디지털),  10,000원","18:10,  스윙키즈(디지털),  10,000원","21:00,  보헤미안 랩소디(디지털),  10,000원","23:45,  스윙키즈(디지털),  9,000원",,,05관,2019-01-03,104
"10:40,  아쿠아맨(디지털),  7,000원","13:35,  아쿠아맨(디지털),  10,000원","16:30,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:20,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-03,112
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","16:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","19:20,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","24:10,  언니(디지털),  10,000원",,01관,2019-01-04,148
"09:30,  PMC: 더 벙커(디지털),  8,000원","12:05,  PMC: 더 벙커(디지털),  11,000원","14:40,  PMC: 더 벙커(디지털)","17:15,  PMC: 더 벙커(디지털),  12,000원","19:50,  PMC: 더 벙커(디지털),  12,000원","22:30,  PMC: 더 벙커(디지털),  12,000원",,,02관,2019-01-04,104
"10:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","12:55,  언니(디지털),  11,000원","15:00,  아쿠아맨(디지털),  12,000원","18:30,  언니(디지털),  12,000원","20:50,  아쿠아맨(디지털),  12,000원","23:45,  아쿠아맨(디지털),  10,000원",,,03관,2019-01-04,115
"09:00,  범블비(디지털),  8,000원","11:35,  범블비(디지털),  11,000원","14:10,  범블비(디지털),  12,000원","16:45,  범블비(디지털),  12,000원","19:20,  범블비(디지털),  12,000원","21:55,  범블비(디지털),  10,000원","24:30,  범블비(디지털),  10,000원",,04관,2019-01-04,94
"10:00,  보헤미안 랩소디(디지털),  8,000원","13:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","15:30,  보헤미안 랩소디(디지털),  12,000원","18:10,  스윙키즈(디지털),  12,000원","21:00,  보헤미안 랩소디(디지털),  12,000원","23:45,  스윙키즈(디지털),  5,000원",,,05관,2019-01-04,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-04,112
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","16:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","19:20,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","21:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","24:10,  언니(디지털),  10,000원",,01관,2019-01-05,148
"09:30,  PMC: 더 벙커(디지털),  8,000원","12:05,  PMC: 더 벙커(디지털),  11,000원","14:40,  말모이(디지털),  12,000원","17:25,  PMC: 더 벙커(디지털),  12,000원","20:00,  PMC: 더 벙커(디지털),  12,000원","22:35,  PMC: 더 벙커(디지털),  12,000원",,,02관,2019-01-05,104
"10:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","12:55,  언니(디지털),  9,000원","15:00,  아쿠아맨(디지털),  12,000원","18:00,  말모이(디지털),  12,000원","20:50,  아쿠아맨(디지털),  12,000원","23:45,  아쿠아맨(디지털),  10,000원",,,03관,2019-01-05,115
"09:00,  범블비(디지털),  8,000원","11:25,  범블비(디지털),  11,000원","13:50,  범블비(디지털),  12,000원","16:15,  언니(디지털),  12,000원","18:20,  범블비(디지털),  12,000원","20:45,  범블비(디지털),  12,000원","23:10,  범블비(디지털),  10,000원",,04관,2019-01-05,94
"10:00,  보헤미안 랩소디(디지털),  8,000원","13:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","15:40,  보헤미안 랩소디(디지털),  12,000원","18:30,  스윙키즈(디지털),  12,000원","21:20,  보헤미안 랩소디(디지털),  12,000원","24:10,  보헤미안 랩소디(디지털),  10,000원",,,05관,2019-01-05,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-05,112
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","16:50,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","19:20,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","21:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","24:10,  언니(디지털),  10,000원",,01관,2019-01-06,148
