상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","10:55,  일곱난쟁이(디지털더빙)","12:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:05,  일곱난쟁이(디지털더빙)","15:40,  일곱난쟁이(디지털더빙)","17:15,  님아, 그 강을 건너지 마오(디지털)","18:50,  님아, 그 강을 건너지 마오(디지털)","20:25,  님아, 그 강을 건너지 마오(디지털)","21:55,  님아, 그 강을 건너지 마오(디지털)",,108
2015-01-01,02관,"09:40,  님아, 그 강을 건너지 마오(디지털)","11:15,  님아, 그 강을 건너지 마오(디지털)","12:55,  일곱난쟁이(디지털더빙)","14:30,  님아, 그 강을 건너지 마오(디지털)","16:25,  호빗: 다섯 군대 전투(디지털)","19:00,  호빗: 다섯 군대 전투(디지털)","21:40,  상의원(디지털)",,,,104
2015-01-01,03관,"09:20,  기술자들(디지털)","11:45,  개를 훔치는 완벽한 방법(디지털)","13:45,  기술자들(디지털)","16:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","18:15,  기술자들(디지털)","20:30,  기술자들(디지털)","22:35,  기술자들(디지털)",,,,104
2015-01-01,05관,"08:50,  국제시장(디지털)","11:10,  국제시장(디지털)","13:25,  국제시장(디지털)","15:45,  국제시장(디지털)","18:05,  국제시장(디지털)","20:25,  국제시장(디지털)","22:45,  국제시장(디지털)",,,,233
2015-01-01,06관,"08:40,  마다가스카의 펭귄(디지털더빙)","10:25,  마다가스카의 펭귄(3D 디지털)","12:05,  마다가스카의 펭귄(디지털더빙)","13:55,  마다가스카의 펭귄(3D 디지털)","15:35,  마다가스카의 펭귄(디지털더빙)","17:20,  마다가스카의 펭귄(디지털더빙)","19:00,  테이큰 3(디지털)","21:00,  테이큰 3(디지털)","23:00,  테이큰 3(디지털)",,164
2015-01-01,07관,"09:10,  테이큰 3(디지털)","11:30,  테이큰 3(디지털)","13:40,  테이큰 3(디지털)","15:55,  테이큰 3(디지털)","17:55,  테이큰 3(디지털)","20:00,  개를 훔치는 완벽한 방법(디지털)","22:05,  개를 훔치는 완벽한 방법(디지털)",,,,110
2015-01-02,01관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","11:05,  일곱난쟁이(디지털더빙)","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","15:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","16:55,  님아, 그 강을 건너지 마오(디지털)","18:30,  님아, 그 강을 건너지 마오(디지털)","20:05,  님아, 그 강을 건너지 마오(디지털)","21:35,  님아, 그 강을 건너지 마오(디지털)",,108
2015-01-02,02관,"10:10,  님아, 그 강을 건너지 마오(디지털)","11:55,  님아, 그 강을 건너지 마오(디지털)","13:30,  님아, 그 강을 건너지 마오(디지털)","15:05,  일곱난쟁이(디지털더빙)","16:40,  호빗: 다섯 군대 전투(디지털)","19:15,  호빗: 다섯 군대 전투(디지털)","21:50,  상의원(디지털)",,,,104
2015-01-02,03관,"09:25,  기술자들(디지털)","11:35,  개를 훔치는 완벽한 방법(디지털)","13:45,  기술자들(디지털)","16:00,  개를 훔치는 완벽한 방법(디지털)","18:00,  기술자들(디지털)","20:25,  기술자들(디지털)","22:35,  기술자들(디지털)",,,,104
2015-01-02,05관,"09:00,  국제시장(디지털)","11:20,  국제시장(디지털)","13:35,  국제시장(디지털)","15:50,  국제시장(디지털)","18:05,  국제시장(디지털)","20:25,  국제시장(디지털)","22:50,  국제시장(디지털)",,,,233
2015-01-02,06관,"10:00,  마다가스카의 펭귄(디지털더빙)","11:45,  마다가스카의 펭귄(3D 더빙)","13:25,  마다가스카의 펭귄(디지털더빙)","15:10,  마다가스카의 펭귄(3D 더빙)","16:50,  마다가스카의 펭귄(디지털더빙)","18:30,  마다가스카의 펭귄(디지털더빙)","20:15,  테이큰 3(디지털)","22:20,  테이큰 3(디지털)",,,164
2015-01-02,07관,"09:50,  테이큰 3(디지털)","11:55,  테이큰 3(디지털)","14:00,  테이큰 3(디지털)","16:05,  테이큰 3(디지털)","18:10,  테이큰 3(디지털)","20:10,  개를 훔치는 완벽한 방법(디지털)","22:10,  개를 훔치는 완벽한 방법(디지털)",,,,110
2015-01-03,01관,"09:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","10:55,  일곱난쟁이(디지털더빙)","12:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:05,  일곱난쟁이(디지털더빙)","15:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","17:05,  님아, 그 강을 건너지 마오(디지털)","18:45,  님아, 그 강을 건너지 마오(디지털)","20:20,  님아, 그 강을 건너지 마오(디지털)","21:55,  님아, 그 강을 건너지 마오(디지털)",,108
2015-01-03,02관,"09:40,  님아, 그 강을 건너지 마오(디지털)","11:15,  님아, 그 강을 건너지 마오(디지털)","12:55,  일곱난쟁이(디지털더빙)","14:35,  님아, 그 강을 건너지 마오(디지털)","16:20,  호빗: 다섯 군대 전투(디지털)","19:00,  호빗: 다섯 군대 전투(디지털)","21:35,  상의원(디지털)",,,,104
2015-01-03,03관,"09:25,  기술자들(디지털)","11:35,  개를 훔치는 완벽한 방법(디지털)","13:50,  기술자들(디지털)","16:05,  기술자들(디지털)","18:15,  기술자들(디지털)","20:20,  기술자들(디지털)","22:30,  기술자들(디지털)",,,,104
2015-01-03,05관,"09:00,  국제시장(디지털)","11:20,  국제시장(디지털)","13:35,  국제시장(디지털)","15:55,  국제시장(디지털)","18:10,  국제시장(디지털)","20:30,  국제시장(디지털)","22:55,  국제시장(디지털)",,,,233
2015-01-03,06관,"10:00,  마다가스카의 펭귄(디지털더빙)","11:45,  마다가스카의 펭귄(3D 더빙)","13:25,  마다가스카의 펭귄(디지털더빙)","15:10,  마다가스카의 펭귄(3D 더빙)","16:55,  마다가스카의 펭귄(디지털더빙)","18:35,  마다가스카의 펭귄(디지털더빙)","20:40,  테이큰 3(디지털)","22:45,  테이큰 3(디지털)",,,164
2015-01-03,07관,"10:10,  테이큰 3(디지털)","12:15,  테이큰 3(디지털)","14:20,  테이큰 3(디지털)","16:25,  테이큰 3(디지털)","19:20,  테이큰 3(디지털)","21:25,  개를 훔치는 완벽한 방법(디지털)",,,,,110
2015-01-04,01관,"09:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","10:55,  일곱난쟁이(디지털더빙)","12:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:05,  일곱난쟁이(디지털더빙)","15:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","17:05,  님아, 그 강을 건너지 마오(디지털)","18:45,  님아, 그 강을 건너지 마오(디지털)","20:20,  님아, 그 강을 건너지 마오(디지털)","21:55,  국제시장(디지털)",,108
2015-01-04,02관,"09:40,  님아, 그 강을 건너지 마오(디지털)","11:15,  님아, 그 강을 건너지 마오(디지털)","12:55,  일곱난쟁이(디지털더빙)","14:35,  님아, 그 강을 건너지 마오(디지털)","16:20,  호빗: 다섯 군대 전투(디지털)","19:00,  호빗: 다섯 군대 전투(디지털)","21:35,  상의원(디지털)",,,,104
2015-01-04,03관,"09:25,  기술자들(디지털)","11:35,  개를 훔치는 완벽한 방법(디지털)","13:50,  기술자들(디지털)","16:05,  기술자들(디지털)","18:25,  기술자들(디지털)","20:40,  기술자들(디지털)",,,,,104
2015-01-04,05관,"09:00,  국제시장(디지털)","11:20,  국제시장(디지털)","13:35,  국제시장(디지털)","15:55,  국제시장(디지털)","18:10,  국제시장(디지털)","20:30,  국제시장(디지털)",,,,,233
