상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-09-26,02관,"20:00,  국가대표 2(디지털)",,,,,,,,,170
2016-09-26,03관,"14:00,  동주(디지털)",,,,,,,,,162
2016-09-26,04관,"15:00,  특별수사: 사형수의 편지(디지털)",,,,,,,,,154
2016-09-26,06관,"16:00,  카이: 거울 호수의 전설(디지털)",,,,,,,,,128
2016-09-26,07관,"18:00,  싱 스트리트(디지털)",,,,,,,,,143
2016-09-27,01관,"17:00,  동주(디지털)",,,,,,,,,138
2016-09-27,02관,"20:00,  아가씨(디지털)",,,,,,,,,170
2016-09-27,03관,"19:00,  국가대표 2(디지털)",,,,,,,,,162
2016-09-27,04관,"14:00,  봉이 김선달(디지털)",,,,,,,,,154
2016-09-27,05관,"15:00,  굿바이 싱글(디지털)",,,,,,,,,144
2016-09-27,06관,"16:00,  아이 인 더 스카이(디지털)",,,,,,,,,128
2016-09-28,01관,"09:00,  밀정(디지털),  6,000원","11:55,  밀정(디지털),  5,000원","14:50,  밀정(디지털),  8,000원","17:45,  밀정(디지털),  5,000원","20:40,  밀정(디지털),  9,000원","23:35,  밀정(디지털),  7,000원",,,,138
2016-09-28,02관,"10:20,  아수라(디지털),  6,000원","13:05,  아수라(디지털),  8,000원","15:50,  아수라(디지털),  8,000원","18:35,  아수라(디지털),  9,000원","21:20,  아수라(디지털),  9,000원","24:05,  아수라(디지털),  7,000원",,,,170
2016-09-28,03관,"09:20,  아수라(디지털),  6,000원","12:05,  아수라(디지털),  7,000원","14:50,  아수라(디지털),  8,000원","17:35,  아수라(디지털),  5,000원","20:20,  아수라(디지털),  9,000원","23:05,  아수라(디지털),  7,000원",,,,162
2016-09-28,04관,"09:10,  설리: 허드슨강의 기적(디지털),  6,000원",,,"15:40,  설리: 허드슨강의 기적(디지털),  6,000원","17:50,  설리: 허드슨강의 기적(디지털),  5,000원","20:00,  설리: 허드슨강의 기적(디지털),  7,000원","22:10,  설리: 허드슨강의 기적(디지털),  5,000원",,,154
2016-09-28,05관,"10:00,  브리짓 존스의 베이비(디지털),  6,000원",,"15:15,  브리짓 존스의 베이비(디지털),  6,000원","17:55,  립반윙클의 신부(디지털),  7,000원","20:30,  브리짓 존스의 베이비(디지털),  5,000원",,,,,144
2016-09-28,06관,,"12:20,  미스 페레그린과 이상한 아이들의 집(디지털),  8,000원","15:00,  미스 페레그린과 이상한 아이들의 집(디지털),  6,000원","17:40,  미스 페레그린과 이상한 아이들의 집(디지털),  5,000원","20:20,  미스 페레그린과 이상한 아이들의 집(디지털),  5,000원",,,,,128
2016-09-28,07관,"09:50,  아수라(디지털),  6,000원","12:35,  아수라(디지털),  6,000원","15:20,  아수라(디지털),  8,000원","18:05,  아수라(디지털),  5,000원","20:50,  아수라(디지털),  9,000원","23:35,  아수라(디지털),  7,000원",,,,143
2016-09-29,01관,"09:00,  밀정(디지털),  6,000원","11:55,  밀정(디지털)","14:50,  밀정(디지털),  0원","17:45,  밀정(디지털),  0원","20:40,  밀정(디지털),  9,000원","23:45,  밀정(디지털),  7,000원",,,,138
2016-09-29,02관,"10:20,  아수라(디지털),  6,000원","13:05,  아수라(디지털),  8,000원","15:50,  아수라(디지털),  8,000원","18:35,  아수라(디지털),  9,000원","21:20,  아수라(디지털),  9,000원","24:05,  아수라(디지털)",,,,170
2016-09-29,03관,"09:20,  아수라(디지털)","12:05,  아수라(디지털),  8,000원","14:50,  아수라(디지털),  6,000원","17:35,  아수라(디지털),  7,000원","20:20,  아수라(디지털),  9,000원","23:05,  아수라(디지털),  7,000원",,,,162
2016-09-29,04관,"09:10,  설리: 허드슨강의 기적(디지털)","11:20,  설리: 허드슨강의 기적(디지털)","13:30,  설리: 허드슨강의 기적(디지털)","15:40,  설리: 허드슨강의 기적(디지털)","17:50,  설리: 허드슨강의 기적(디지털),  9,000원","20:00,  설리: 허드슨강의 기적(디지털),  7,000원","22:10,  설리: 허드슨강의 기적(디지털),  9,000원","24:20,  설리: 허드슨강의 기적(디지털),  7,000원",,154
2016-09-29,05관,"09:30,  브리짓 존스의 베이비(디지털),  6,000원","12:10,  립반윙클의 신부(디지털),  8,000원","14:45,  브리짓 존스의 베이비(디지털),  8,000원","17:25,  립반윙클의 신부(디지털),  5,000원","20:10,  브리짓 존스의 베이비(디지털),  7,000원","22:50,  브리짓 존스의 베이비(디지털)",,,,144
2016-09-29,06관,"10:20,  예전부터 계속 좋아했어 ~고백실행위원회~(디지털),  6,000원","12:00,  미스 페레그린과 이상한 아이들의 집(디지털),  8,000원","14:40,  예전부터 계속 좋아했어 ~고백실행위원회~(디지털),  6,000원","16:20,  예전부터 계속 좋아했어 ~고백실행위원회~(디지털)","18:00,  미스 페레그린과 이상한 아이들의 집(디지털),  9,000원","20:40,  미스 페레그린과 이상한 아이들의 집(디지털),  9,000원","23:20,  미스 페레그린과 이상한 아이들의 집(디지털),  7,000원",,,128
2016-09-29,07관,"09:50,  아수라(디지털),  6,000원","12:35,  아수라(디지털),  8,000원","15:20,  아수라(디지털),  8,000원","18:05,  아수라(디지털),  5,000원","20:50,  아수라(디지털),  7,000원","23:35,  아수라(디지털)",,,,143
2016-09-30,01관,"09:30,  설리: 허드슨강의 기적(디지털),  6,000원","11:40,  립반윙클의 신부(디지털),  10,000원","14:15,  설리: 허드슨강의 기적(디지털),  10,000원",,"19:00,  설리: 허드슨강의 기적(디지털),  10,000원","21:10,  설리: 허드슨강의 기적(디지털),  10,000원","23:20,  설리: 허드슨강의 기적(디지털),  5,000원",,,138
2016-09-30,02관,"10:30,  아수라(디지털),  6,000원",,,"18:45,  아수라(디지털),  10,000원","21:30,  아수라(디지털),  10,000원","24:15,  아수라(디지털),  9,000원",,,,170
2016-09-30,03관,"09:40,  아수라(디지털),  6,000원",,"15:10,  아수라(디지털),  10,000원","17:55,  아수라(디지털),  10,000원","20:40,  아수라(디지털),  8,000원","23:25,  아수라(디지털),  5,000원",,,,162
2016-09-30,04관,,"11:55,  밀정(디지털),  8,000원","14:50,  밀정(디지털),  5,000원","17:45,  밀정(디지털),  6,000원","20:40,  밀정(디지털),  10,000원","23:45,  밀정(디지털),  9,000원",,,,154
2016-09-30,05관,"09:40,  미스 페레그린과 이상한 아이들의 집(디지털),  6,000원",,"15:00,  미스 페레그린과 이상한 아이들의 집(디지털),  10,000원",,"20:20,  미스 페레그린과 이상한 아이들의 집(디지털),  10,000원","23:00,  미스 페레그린과 이상한 아이들의 집(디지털),  9,000원",,,,144
2016-09-30,06관,"10:10,  예전부터 계속 좋아했어 ~고백실행위원회~(디지털),  6,000원",,,"16:10,  예전부터 계속 좋아했어 ~고백실행위원회~(디지털),  10,000원",,"20:30,  브리짓 존스의 베이비(디지털),  10,000원","23:10,  브리짓 존스의 베이비(디지털),  9,000원",,,128
2016-09-30,07관,"08:50,  아수라(디지털),  6,000원","11:35,  아수라(디지털),  8,000원","14:20,  아수라(디지털),  8,000원","17:05,  아수라(디지털),  10,000원","19:50,  아수라(디지털),  10,000원","22:35,  아수라(디지털),  10,000원",,,,143
