상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:50,  테이큰 3(디지털),  5,000원","12:05,  테이큰 3(디지털),  8,000원","14:20,  테이큰 3(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:05,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  8,000원",,,145
2015-01-01,02관,"09:40,  마다가스카의 펭귄(디지털더빙),  5,000원","11:35,  마다가스카의 펭귄(디지털더빙),  8,000원","13:30,  마다가스카의 펭귄(디지털더빙),  8,000원","15:25,  마다가스카의 펭귄(디지털더빙),  9,000원","17:20,  마다가스카의 펭귄(디지털),  9,000원","19:15,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원",,,92
2015-01-01,03관,"10:10,  기술자들(디지털),  5,000원","12:30,  기술자들(디지털),  8,000원","14:50,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:30,  기술자들(디지털),  9,000원","21:50,  기술자들(디지털),  9,000원",,,,145
2015-01-01,04관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,92
2015-01-01,05관,"10:30,  국제시장(디지털),  5,000원","13:00,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  9,000원","18:00,  국제시장(디지털),  9,000원","20:30,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원",,,,145
2015-01-01,06관,"10:20,  호빗: 다섯 군대 전투(디지털),  5,000원","13:05,  상의원(디지털),  8,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  호빗: 다섯 군대 전투(디지털),  9,000원","23:40,  호빗: 다섯 군대 전투(디지털),  8,000원",,,,92
2015-01-02,01관,"09:50,  테이큰 3(디지털),  5,000원","12:05,  테이큰 3(디지털),  8,000원","14:20,  테이큰 3(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:05,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  8,000원",,,145
2015-01-02,02관,"09:40,  마다가스카의 펭귄(디지털더빙),  5,000원","11:35,  마다가스카의 펭귄(디지털더빙),  8,000원","13:30,  마다가스카의 펭귄(디지털더빙),  8,000원","15:25,  마다가스카의 펭귄(디지털더빙),  9,000원","17:20,  마다가스카의 펭귄(디지털),  9,000원","19:15,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원",,,92
2015-01-02,03관,"10:10,  기술자들(디지털),  5,000원","12:30,  기술자들(디지털),  8,000원","14:50,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:30,  기술자들(디지털),  9,000원","21:50,  기술자들(디지털),  9,000원",,,,145
2015-01-02,04관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:20,  님아, 그 강을 건너지 마오(디지털),  4,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",,92
2015-01-02,05관,"10:30,  국제시장(디지털),  5,000원","13:00,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  9,000원","18:00,  국제시장(디지털),  9,000원","20:30,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원",,,,145
2015-01-02,06관,"10:20,  호빗: 다섯 군대 전투(디지털),  5,000원","13:05,  상의원(디지털),  8,000원","15:35,  호빗: 다섯 군대 전투(디지털),  9,000원","18:20,  호빗: 다섯 군대 전투(디지털),  9,000원","21:05,  상의원(디지털),  9,000원","23:35,  호빗: 다섯 군대 전투(디지털),  8,000원",,,,92
2015-01-03,01관,"09:50,  테이큰 3(디지털),  5,000원","12:05,  테이큰 3(디지털),  8,000원","14:20,  테이큰 3(디지털),  9,000원","16:35,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:05,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  8,000원",,,145
