상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,01관,"07:45,  테이큰 3(디지털),  6,000원","10:05,  호빗: 다섯 군대 전투(디지털),  10,000원","13:00,  호빗: 다섯 군대 전투(디지털),  10,000원","15:55,  호빗: 다섯 군대 전투(디지털),  10,000원","18:50,  호빗: 다섯 군대 전투(디지털),  10,000원","21:45,  호빗: 다섯 군대 전투(디지털),  10,000원","24:40,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,114
2015-01-01,02관,"07:45,  마다가스카의 펭귄(디지털),  6,000원","09:45,  국제시장(디지털),  10,000원","12:20,  국제시장(디지털),  10,000원","14:55,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:05,  국제시장(디지털),  10,000원","22:40,  국제시장(디지털),  10,000원","25:15,  국제시장(디지털),  7,000원",,,,186
2015-01-01,03관,"08:20,  기술자들(디지털),  6,000원","10:45,  기술자들(디지털),  10,000원","13:10,  기술자들(디지털),  10,000원","15:35,  기술자들(디지털),  10,000원","18:00,  테이큰 3(디지털),  10,000원","20:20,  기술자들(디지털),  10,000원","22:45,  기술자들(디지털),  8,000원","25:10,  테이큰 3(디지털),  7,000원",,,,114
2015-01-01,04관,"08:10,  국제시장(디지털),  6,000원","10:45,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:55,  국제시장(디지털),  10,000원","18:30,  국제시장(디지털),  10,000원","21:05,  테이큰 3(디지털),  10,000원","23:25,  테이큰 3(디지털),  7,000원","25:45,  마다가스카의 펭귄(디지털),  7,000원",,,,114
2015-01-01,05관,,,"09:00,  테이큰 3(디지털),  6,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원",,"22:20,  테이큰 3(디지털),  10,000원","24:40,  테이큰 3(디지털),  8,000원",,,186
2015-01-01,06관,"08:30,  상의원(디지털),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  마다가스카의 펭귄(디지털더빙),  10,000원","15:00,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  테이큰 3(디지털),  10,000원","22:15,  상의원(디지털),  10,000원","24:50,  상의원(디지털),  7,000원",,,,114
2015-01-02,01관,"07:45,  테이큰 3(디지털),  6,000원","10:05,  호빗: 다섯 군대 전투(디지털),  10,000원","13:00,  호빗: 다섯 군대 전투(디지털),  10,000원","15:55,  호빗: 다섯 군대 전투(디지털),  10,000원","18:50,  호빗: 다섯 군대 전투(디지털),  10,000원","21:45,  호빗: 다섯 군대 전투(디지털),  10,000원","24:40,  호빗: 다섯 군대 전투(디지털),  7,000원",,,,,114
2015-01-02,02관,"07:45,  마다가스카의 펭귄(디지털),  6,000원","09:45,  국제시장(디지털),  10,000원","12:20,  국제시장(디지털),  10,000원","14:55,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  8,000원","20:05,  국제시장(디지털),  10,000원","22:40,  국제시장(디지털),  10,000원","25:15,  국제시장(디지털),  7,000원",,,,186
2015-01-02,03관,"08:20,  기술자들(디지털),  6,000원","10:45,  기술자들(디지털),  10,000원","13:10,  기술자들(디지털),  10,000원","15:35,  기술자들(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  기술자들(디지털),  10,000원","23:00,  기술자들(디지털),  8,000원","25:25,  기술자들(디지털),  7,000원",,,,114
2015-01-02,04관,"08:00,  국제시장(디지털),  6,000원","10:30,  일곱난쟁이(디지털더빙),  10,000원","12:25,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:15,  국제시장(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:10,  국제시장(디지털),  7,000원",,,,114
2015-01-02,05관,"08:50,  테이큰 3(디지털),  6,000원","11:10,  테이큰 3(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","15:55,  테이큰 3(디지털),  10,000원","18:15,  테이큰 3(디지털),  10,000원","20:35,  테이큰 3(디지털),  10,000원","22:55,  테이큰 3(디지털),  10,000원","25:10,  테이큰 3(디지털),  8,000원",,,,186
