상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2016-08-22,더부티크 101호,"09:10,  덕혜옹주(디지털)","11:50,  덕혜옹주(디지털),  6,000원","14:30,  덕혜옹주(디지털)","17:10,  덕혜옹주(디지털),  7,000원","19:45,  덕혜옹주(디지털),  8,000원","22:25,  덕혜옹주(디지털)",,,,,,141
2016-08-22,더부티크 102호,"08:50,  스타트렉 비욘드(디지털)","11:25,  국가대표 2(디지털)","14:05,  스타트렉 비욘드(디지털),  6,000원","16:40,  국가대표 2(디지털),  8,000원","19:20,  스타트렉 비욘드(디지털)","21:50,  스타트렉 비욘드(디지털)","24:25,  국가대표 2(디지털),  7,000원",,,,,129
2016-08-22,더부티크 103호,"09:50,  카이: 거울 호수의 전설(디지털)",,"14:20,  서울역(디지털),  8,000원","16:15,  터널(디지털),  6,000원",,"21:20,  서울역(디지털)","23:30,  덕혜옹주(디지털)",,,,,129
2016-08-22,더부티크 104호,"08:50,  서울역(디지털)",,"13:10,  카이: 거울 호수의 전설(디지털)","15:20,  카이: 거울 호수의 전설(디지털)",,"21:10,  터널(디지털),  8,000원","24:00,  터널(디지털),  7,000원",,,,,141
2016-08-22,더부티크 105호,"09:20,  터널(디지털)","11:55,  터널(디지털),  9,000원","14:35,  터널(디지털),  8,000원","17:15,  터널(디지털)","19:55,  터널(디지털),  8,000원","22:35,  터널(디지털),  8,000원",,,,,,209
2016-08-23,더부티크 101호,"09:10,  덕혜옹주(디지털),  5,000원","11:50,  덕혜옹주(디지털)","14:30,  덕혜옹주(디지털),  8,000원","17:10,  덕혜옹주(디지털)","19:50,  덕혜옹주(디지털),  8,000원","22:30,  덕혜옹주(디지털)",,,,,,141
2016-08-23,더부티크 102호,"08:45,  스타트렉 비욘드(디지털)","11:20,  국가대표 2(디지털),  5,000원","14:00,  스타트렉 비욘드(디지털),  8,000원","16:35,  국가대표 2(디지털)","19:15,  스타트렉 비욘드(디지털),  6,000원","21:50,  국가대표 2(디지털)","24:25,  스타트렉 비욘드(디지털),  7,000원",,,,,129
2016-08-23,더부티크 103호,"08:50,  서울역(디지털)",,"13:10,  서울역(디지털),  8,000원","15:20,  서울역(디지털)",,"20:40,  덕혜옹주(디지털),  8,000원","23:20,  덕혜옹주(디지털)",,,,,129
2016-08-23,더부티크 104호,"09:30,  카이: 거울 호수의 전설(디지털)","11:40,  카이: 거울 호수의 전설(디지털)","13:50,  카이: 거울 호수의 전설(디지털)","16:00,  터널(디지털),  8,000원",,"21:30,  터널(디지털),  8,000원","24:10,  터널(디지털)",,,,,141
2016-08-23,더부티크 105호,"09:20,  터널(디지털),  5,000원","12:00,  터널(디지털)","14:40,  터널(디지털),  8,000원","17:20,  터널(디지털)","20:00,  터널(디지털),  6,000원","22:40,  터널(디지털),  8,000원",,,,,,209
2016-08-24,더부티크 101호,"09:40,  덕혜옹주(디지털),  5,000원","12:20,  덕혜옹주(디지털),  6,000원","15:00,  덕혜옹주(디지털),  6,000원",,"20:35,  덕혜옹주(디지털),  8,000원","23:15,  덕혜옹주(디지털),  7,000원",,,,,,141
2016-08-24,더부티크 102호,"09:10,  국가대표 2(디지털)","11:45,  플로렌스(디지털),  8,000원","14:10,  국가대표 2(디지털),  8,000원","16:50,  스타트렉 비욘드(디지털),  8,000원","19:25,  플로렌스(디지털),  8,000원","21:50,  플로렌스(디지털),  8,000원","24:25,  플로렌스(디지털),  7,000원",,,,,129
2016-08-24,더부티크 103호,"08:45,  스타트렉 비욘드(디지털),  5,000원","11:20,  덕혜옹주(디지털)",,"16:05,  서울역(디지털)","18:10,  덕혜옹주(디지털),  8,000원","20:50,  스타트렉 비욘드(디지털),  8,000원","23:25,  스타트렉 비욘드(디지털)",,,,,129
2016-08-24,더부티크 104호,"08:50,  라이트 아웃(디지털)","10:45,  카이: 거울 호수의 전설(디지털)","12:55,  라이트 아웃(디지털)","14:45,  카이: 거울 호수의 전설(디지털),  8,000원","16:55,  라이트 아웃(디지털),  8,000원",,"21:30,  터널(디지털),  8,000원","24:10,  터널(디지털),  7,000원",,,,141
2016-08-24,더부티크 105호,"09:20,  터널(디지털)","12:00,  터널(디지털),  8,000원","14:40,  터널(디지털),  6,000원","17:20,  터널(디지털),  8,000원","20:00,  터널(디지털),  8,000원","22:40,  터널(디지털),  8,000원",,,,,,209
2016-08-25,더부티크 101호,"09:40,  덕혜옹주(디지털),  5,000원","12:20,  덕혜옹주(디지털),  6,000원","15:00,  덕혜옹주(디지털),  8,000원","17:40,  덕혜옹주(디지털),  8,000원","20:20,  덕혜옹주(디지털),  8,000원","23:00,  덕혜옹주(디지털),  7,000원",,,,,,141
2016-08-25,더부티크 102호,"09:30,  플로렌스(디지털),  5,000원","11:55,  마이펫의 이중생활(디지털더빙)","14:00,  마이펫의 이중생활(디지털더빙)","16:05,  국가대표 2(디지털),  8,000원","18:45,  플로렌스(디지털),  8,000원","21:10,  플로렌스(디지털),  6,000원","23:35,  플로렌스(디지털)",,,,,129
2016-08-25,더부티크 103호,"09:20,  라이트 아웃(디지털)","11:15,  범죄의 여왕(디지털),  6,000원","13:35,  라이트 아웃(디지털),  6,000원","15:35,  범죄의 여왕(디지털),  6,000원",,"20:20,  라이트 아웃(디지털),  8,000원","22:15,  플로렌스(디지털)","24:35,  범죄의 여왕(디지털),  7,000원",,,,129
2016-08-25,더부티크 104호,"08:50,  스타트렉 비욘드(디지털),  5,000원","11:25,  스타트렉 비욘드(디지털),  6,000원",,"16:20,  스타트렉 비욘드(디지털)",,"21:45,  터널(디지털),  6,000원","24:25,  터널(디지털)",,,,,141
2016-08-25,더부티크 105호,"09:20,  터널(디지털),  5,000원","12:00,  터널(디지털),  8,000원","14:40,  터널(디지털),  8,000원","17:20,  터널(디지털),  8,000원","20:00,  터널(디지털),  8,000원","22:40,  터널(디지털),  6,000원",,,,,,209
2016-08-26,더부티크 101호,"09:40,  덕혜옹주(디지털)","12:20,  덕혜옹주(디지털)","15:00,  덕혜옹주(디지털),  9,000원","17:40,  덕혜옹주(디지털)","20:20,  덕혜옹주(디지털),  9,000원","23:00,  덕혜옹주(디지털),  7,000원",,,,,,141
2016-08-26,더부티크 102호,"09:30,  플로렌스(디지털),  5,000원","11:55,  마이펫의 이중생활(디지털더빙)",,"16:30,  플로렌스(디지털)","18:55,  국가대표 2(디지털),  7,000원","21:35,  플로렌스(디지털),  9,000원","24:00,  국가대표 2(디지털)",,,,,129
2016-08-26,더부티크 103호,"09:00,  라이트 아웃(디지털)","10:55,  범죄의 여왕(디지털)","13:15,  플로렌스(디지털),  9,000원","15:35,  범죄의 여왕(디지털),  9,000원",,"20:35,  라이트 아웃(디지털),  9,000원","22:30,  범죄의 여왕(디지털),  7,000원","24:55,  라이트 아웃(디지털),  7,000원",,,,129
2016-08-26,더부티크 104호,"08:50,  스타트렉 비욘드(디지털)","11:25,  스타트렉 비욘드(디지털),  0원","14:00,  마이펫의 이중생활(디지털더빙)","16:20,  스타트렉 비욘드(디지털)","19:30,  플로렌스(디지털),  10,000원","21:55,  터널(디지털),  9,000원","24:35,  터널(디지털)",,,,,141
2016-08-26,더부티크 105호,"09:20,  터널(디지털),  5,000원",,"14:40,  터널(디지털),  7,000원","17:20,  터널(디지털),  7,000원","20:00,  터널(디지털),  7,000원","22:40,  터널(디지털),  9,000원",,,,,,209
