상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:00,  개를 훔치는 완벽한 방법(디지털),  5,000원","11:20,  개를 훔치는 완벽한 방법(디지털),  8,000원","13:40,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:35,  국제시장(디지털),  8,000원","21:10,  국제시장(디지털),  8,000원","23:45,  국제시장(디지털),  6,000원",,152
2015-01-01,02관,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","12:15,  상의원(디지털),  8,000원","14:55,  더 테너 리리코 스핀토(디지털),  8,000원","17:20,  기술자들(디지털),  8,000원","19:45,  더 테너 리리코 스핀토(디지털),  8,000원","22:10,  상의원(디지털),  8,000원",,,110
2015-01-01,03관,"09:30,  테이큰 3(디지털),  5,000원","11:50,  테이큰 3(디지털),  8,000원","14:10,  테이큰 3(디지털),  8,000원","16:30,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  8,000원","21:10,  테이큰 3(디지털),  8,000원","23:30,  테이큰 3(디지털),  6,000원",,150
2015-01-01,04관,"09:00,  마다가스카의 펭귄(디지털),  5,000원","11:05,  마다가스카의 펭귄(디지털),  8,000원","13:10,  마다가스카의 펭귄(3D 디지털),  11,000원","15:15,  호빗: 다섯 군대 전투(디지털),  8,000원","18:05,  호빗: 다섯 군대 전투(디지털),  8,000원","20:55,  호빗: 다섯 군대 전투(디지털),  8,000원","23:45,  더 테너 리리코 스핀토(디지털),  6,000원",,95
2015-01-01,05관,"09:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:45,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","19:25,  개를 훔치는 완벽한 방법(디지털),  8,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  8,000원","23:40,  상의원(디지털),  6,000원",95
2015-01-01,06관,"09:00,  기술자들(디지털),  5,000원","11:25,  기술자들(디지털),  8,000원","13:50,  기술자들(디지털),  8,000원","16:15,  기술자들(디지털),  8,000원","18:40,  기술자들(디지털),  8,000원","21:05,  기술자들(디지털),  8,000원","23:30,  기술자들(디지털),  6,000원",,150
2015-01-01,07관,"09:40,  국제시장(디지털),  5,000원","12:15,  국제시장(디지털),  8,000원","14:50,  국제시장(디지털),  8,000원","17:25,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원","22:35,  국제시장(디지털),  8,000원",,,206
2015-01-02,01관,"10:00,  마다가스카의 펭귄(디지털),  5,000원","11:55,  개를 훔치는 완벽한 방법(디지털),  8,000원","14:10,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:50,  국제시장(디지털),  8,000원","19:25,  국제시장(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원","24:40,  국제시장(디지털),  6,000원",,152
2015-01-02,02관,"10:30,  더 테너 리리코 스핀토(디지털),  5,000원","12:55,  상의원(디지털),  8,000원","15:35,  더 테너 리리코 스핀토(디지털),  8,000원","18:00,  상의원(디지털),  8,000원","20:40,  더 테너 리리코 스핀토(디지털),  7,000원","23:05,  상의원(디지털),  6,000원",,,110
2015-01-02,03관,"10:00,  테이큰 3(디지털),  5,000원","12:20,  테이큰 3(디지털),  8,000원","14:40,  테이큰 3(디지털),  8,000원","17:00,  테이큰 3(디지털),  8,000원","19:20,  테이큰 3(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원","24:00,  테이큰 3(디지털),  6,000원",,150
