상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-12-07,01관,"09:40,  메리와 마녀의 꽃(디지털),  6,000원","11:50,  메리와 마녀의 꽃(디지털더빙)","14:00,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:45,  메리와 마녀의 꽃(디지털),  9,000원","17:55,  기억의 밤(디지털),  9,000원","20:10,  메리와 마녀의 꽃(디지털),  9,000원","22:20,  기억의 밤(디지털),  9,000원",,,95
2017-12-07,02관,"09:20,  꾼(디지털),  6,000원","11:45,  꾼(디지털),  9,000원","14:10,  꾼(디지털),  9,000원","16:35,  꾼(디지털),  9,000원","19:00,  꾼(디지털),  9,000원","21:25,  꾼(디지털),  9,000원","23:50,  꾼(디지털),  9,000원",,,104
2017-12-07,03관,"10:10,  기억의 밤(디지털),  6,000원","12:25,  기억의 밤(디지털),  9,000원","14:40,  기억의 밤(디지털),  9,000원","16:55,  기억의 밤(디지털),  9,000원","19:10,  기억의 밤(디지털),  9,000원","21:25,  기억의 밤(디지털),  9,000원","23:40,  기억의 밤(디지털),  9,000원",,,99
2017-12-07,04관,"10:30,  꾼(디지털),  6,000원","12:55,  꾼(디지털),  9,000원","15:20,  꾼(디지털),  9,000원","17:45,  꾼(디지털),  9,000원","20:10,  꾼(디지털),  9,000원","22:35,  꾼(디지털),  9,000원",,,,95
2017-12-07,05관,"09:30,  어쌔신: 더 비기닝(디지털),  6,000원","11:50,  반드시 잡는다(디지털),  9,000원","14:10,  어쌔신: 더 비기닝(디지털),  9,000원","16:30,  어쌔신: 더 비기닝(디지털),  9,000원","18:50,  반드시 잡는다(디지털),  9,000원","21:10,  어쌔신: 더 비기닝(디지털),  9,000원","23:30,  반드시 잡는다(디지털),  9,000원",,,84
2017-12-07,06관,,,"14:20,  메리와 마녀의 꽃(디지털),  8,000원","16:30,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:15,  메리와 마녀의 꽃(디지털),  9,000원","20:25,  기억의 밤(디지털),  9,000원","22:40,  메리와 마녀의 꽃(디지털),  9,000원",,,101
2017-12-08,01관,"09:40,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","11:25,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","13:10,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","14:55,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","16:40,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","18:25,  어쌔신: 더 비기닝(디지털),  10,000원","20:45,  어쌔신: 더 비기닝(디지털),  10,000원","23:05,  어쌔신: 더 비기닝(디지털),  10,000원",,95
2017-12-08,02관,"09:30,  반드시 잡는다(디지털),  7,000원","11:50,  꾼(디지털),  10,000원","14:15,  반드시 잡는다(디지털),  10,000원","16:35,  꾼(디지털),  10,000원","19:00,  반드시 잡는다(디지털),  10,000원","21:20,  꾼(디지털),  10,000원","23:45,  꾼(디지털),  10,000원",,,104
2017-12-08,03관,"10:10,  기억의 밤(디지털),  7,000원","12:25,  기억의 밤(디지털),  10,000원","14:40,  기억의 밤(디지털),  10,000원","16:55,  기억의 밤(디지털),  10,000원","19:10,  기억의 밤(디지털),  10,000원","21:25,  기억의 밤(디지털),  10,000원","23:40,  기억의 밤(디지털),  10,000원",,,99
2017-12-08,04관,"10:30,  꾼(디지털),  7,000원","12:55,  꾼(디지털),  10,000원","15:20,  꾼(디지털),  10,000원","17:45,  꾼(디지털),  10,000원","20:10,  꾼(디지털),  10,000원","22:35,  꾼(디지털),  10,000원",,,,95
