상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:40,  국제시장(디지털),  8,000원","12:15,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:35,  국제시장(디지털),  9,000원",,,340
2015-01-01,02관,"09:40,  기술자들(디지털),  8,000원","12:15,  기술자들(디지털),  9,000원","14:40,  기술자들(디지털),  9,000원","17:05,  기술자들(디지털),  9,000원","19:40,  기술자들(디지털),  9,000원","22:05,  기술자들(디지털),  9,000원",,,128
2015-01-01,03관,"10:00,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(3D 더빙),  12,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","16:00,  숲속으로(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:10,  상의원(디지털),  9,000원","23:40,  기술자들(디지털),  6,000원",,98
2015-01-01,05관,"09:30,  테이큰 3(디지털),  6,000원","11:50,  테이큰 3(디지털),  9,000원","14:10,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:40,  테이큰 3(디지털),  6,000원",,110
2015-01-01,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  호빗: 다섯 군대 전투(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  호빗: 다섯 군대 전투(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,86
2015-01-01,07관,"09:50,  일곱난쟁이(디지털더빙),  6,000원","11:45,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:30,  숲속으로(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:40,  더 테너 리리코 스핀토(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  더 테너 리리코 스핀토(디지털),  6,000원",,110
2015-01-02,01관,"09:40,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  8,000원","14:50,  국제시장(디지털),  8,000원","17:25,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원","22:35,  국제시장(디지털),  8,000원",,,340
2015-01-02,02관,"09:40,  기술자들(디지털),  6,000원","12:15,  기술자들(디지털),  8,000원","14:40,  기술자들(디지털),  8,000원","17:05,  기술자들(디지털),  8,000원","19:40,  기술자들(디지털),  8,000원","22:05,  기술자들(디지털),  8,000원",,,128
2015-01-02,03관,"10:00,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(3D 더빙),  11,000원","14:00,  마다가스카의 펭귄(디지털더빙),  8,000원","16:00,  숲속으로(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:10,  상의원(디지털),  8,000원","23:40,  기술자들(디지털),  6,000원",,98
2015-01-02,05관,"09:30,  테이큰 3(디지털),  6,000원","11:50,  테이큰 3(디지털),  8,000원","14:10,  테이큰 3(디지털),  8,000원","16:30,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  8,000원","21:10,  테이큰 3(디지털),  8,000원","23:40,  테이큰 3(디지털),  7,000원",,110
2015-01-02,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  호빗: 다섯 군대 전투(디지털),  8,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:40,  호빗: 다섯 군대 전투(디지털),  8,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:30,  호빗: 다섯 군대 전투(디지털),  8,000원",,,86
2015-01-02,07관,"09:50,  일곱난쟁이(디지털더빙),  6,000원","11:45,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","13:30,  숲속으로(디지털)","16:10,  국제시장(디지털),  8,000원","18:40,  더 테너 리리코 스핀토(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원","23:30,  더 테너 리리코 스핀토(디지털)",,110
2015-01-03,01관,"09:40,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:35,  국제시장(디지털),  9,000원",,,340
2015-01-03,02관,"09:40,  기술자들(디지털),  6,000원","12:15,  기술자들(디지털),  9,000원","14:40,  기술자들(디지털),  9,000원","17:05,  기술자들(디지털),  9,000원","19:40,  기술자들(디지털),  9,000원","22:05,  기술자들(디지털),  9,000원",,,128
2015-01-03,03관,"10:00,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(3D 더빙),  12,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","16:00,  숲속으로(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:10,  상의원(디지털),  9,000원","23:40,  기술자들(디지털),  6,000원",,98
2015-01-03,05관,"09:30,  테이큰 3(디지털),  6,000원","11:50,  테이큰 3(디지털),  9,000원","14:10,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:40,  테이큰 3(디지털),  6,000원",,110
2015-01-03,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  호빗: 다섯 군대 전투(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  호빗: 다섯 군대 전투(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,86
2015-01-03,07관,"09:50,  일곱난쟁이(디지털더빙),  6,000원","11:45,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:30,  숲속으로(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:40,  더 테너 리리코 스핀토(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  더 테너 리리코 스핀토(디지털),  6,000원",,110
2015-01-04,01관,"09:40,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:35,  국제시장(디지털),  9,000원",,,340
2015-01-04,02관,"09:40,  기술자들(디지털),  6,000원","12:15,  기술자들(디지털),  9,000원","14:40,  기술자들(디지털),  9,000원","17:05,  기술자들(디지털),  9,000원","19:40,  기술자들(디지털),  9,000원","22:05,  기술자들(디지털),  9,000원",,,128
2015-01-04,03관,"10:00,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(3D 더빙),  12,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","16:00,  숲속으로(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:10,  상의원(디지털),  9,000원","23:40,  기술자들(디지털),  6,000원",,98
2015-01-04,05관,"09:30,  테이큰 3(디지털),  6,000원","11:50,  테이큰 3(디지털),  9,000원","14:10,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:50,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:40,  테이큰 3(디지털),  6,000원",,110
2015-01-04,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  호빗: 다섯 군대 전투(디지털),  9,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  호빗: 다섯 군대 전투(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,86
2015-01-04,07관,"09:50,  일곱난쟁이(디지털더빙),  6,000원","11:45,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:30,  숲속으로(디지털),  9,000원","16:10,  국제시장(디지털),  9,000원","18:40,  더 테너 리리코 스핀토(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  더 테너 리리코 스핀토(디지털),  6,000원",,110
