상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:50,  국제시장(디지털),  7,000원","12:20,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원",,,,220
2015-01-01,02관,"09:45,  테이큰 3(디지털),  7,000원","12:00,  테이큰 3(디지털),  10,000원","14:15,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:45,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원",,,171
2015-01-01,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","11:20,  기술자들(디지털),  10,000원","13:45,  기술자들(디지털),  10,000원","16:10,  기술자들(디지털),  10,000원","18:35,  기술자들(디지털),  10,000원","21:00,  기술자들(디지털),  10,000원",,,125
2015-01-01,05관,"09:30,  기술자들(디지털),  7,000원","12:00,  일곱난쟁이(디지털더빙),  10,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:50,  상의원(디지털),  10,000원","18:20,  상의원(디지털),  10,000원","20:50,  상의원(디지털),  10,000원",,,102
2015-01-01,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  10,000원",,197
2015-01-01,07관,"10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원",,,,220
2015-01-01,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  7,000원","11:25,  마다가스카의 펭귄(디지털더빙),  10,000원","13:20,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  호빗: 다섯 군대 전투(디지털),  10,000원","20:00,  호빗: 다섯 군대 전투(디지털),  10,000원",,,165
2015-01-02,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-02,02관,"09:45,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:15,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-02,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:20,  기술자들(디지털),  8,000원","13:45,  기술자들(디지털),  9,000원","16:10,  기술자들(디지털),  9,000원","18:35,  기술자들(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원",,,125
2015-01-02,05관,"09:30,  기술자들(디지털),  6,000원","12:00,  일곱난쟁이(디지털더빙),  9,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","15:50,  상의원(디지털),  9,000원","18:20,  상의원(디지털),  9,000원","20:50,  상의원(디지털),  9,000원",,,102
2015-01-02,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,197
2015-01-02,07관,"10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,220
2015-01-02,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  호빗: 다섯 군대 전투(디지털),  9,000원","20:00,  호빗: 다섯 군대 전투(디지털),  9,000원",,,165
2015-01-03,01관,"09:50,  국제시장(디지털),  7,000원","12:20,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원",,,220
2015-01-03,02관,"09:45,  테이큰 3(디지털),  7,000원","12:00,  테이큰 3(디지털),  10,000원","14:15,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:45,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  10,000원",,171
2015-01-03,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","11:20,  기술자들(디지털),  10,000원","13:45,  기술자들(디지털),  10,000원","16:10,  기술자들(디지털),  10,000원","18:35,  기술자들(디지털),  10,000원","21:00,  기술자들(디지털),  10,000원","23:30,  기술자들(디지털),  10,000원",,125
2015-01-03,05관,"09:30,  기술자들(디지털),  7,000원","12:00,  일곱난쟁이(디지털더빙),  10,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:50,  상의원(디지털),  10,000원","18:20,  상의원(디지털),  10,000원","20:50,  상의원(디지털),  10,000원","23:30,  상의원(디지털),  10,000원",,102
2015-01-03,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:00,  님아, 그 강을 건너지 마오(디지털),  10,000원",197
2015-01-03,07관,"10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:30,  국제시장(디지털),  10,000원",,,220
2015-01-03,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  7,000원","11:25,  마다가스카의 펭귄(디지털더빙),  10,000원","13:20,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  호빗: 다섯 군대 전투(디지털),  10,000원","20:00,  호빗: 다섯 군대 전투(디지털),  10,000원","23:00,  호빗: 다섯 군대 전투(디지털),  10,000원",,165
2015-01-04,01관,"09:50,  국제시장(디지털),  7,000원","12:20,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원",,,,220
2015-01-04,02관,"09:45,  테이큰 3(디지털),  7,000원","12:00,  테이큰 3(디지털),  10,000원","14:15,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:45,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원",,,171
2015-01-04,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","11:20,  기술자들(디지털),  10,000원","13:45,  기술자들(디지털),  10,000원","16:10,  기술자들(디지털),  10,000원","18:35,  기술자들(디지털),  10,000원","21:00,  기술자들(디지털),  10,000원",,,125
2015-01-04,05관,"09:30,  기술자들(디지털),  7,000원","12:00,  일곱난쟁이(디지털더빙),  10,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:50,  상의원(디지털),  10,000원","18:20,  상의원(디지털),  10,000원","20:50,  상의원(디지털),  10,000원",,,102
2015-01-04,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  10,000원",,197
2015-01-04,07관,"10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원",,,,220
2015-01-04,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  7,000원","11:25,  마다가스카의 펭귄(디지털더빙),  10,000원","13:20,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  호빗: 다섯 군대 전투(디지털),  10,000원","20:00,  호빗: 다섯 군대 전투(디지털),  10,000원",,,165
2015-01-05,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-05,02관,"09:45,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:15,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-05,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:20,  기술자들(디지털),  9,000원","13:45,  기술자들(디지털),  9,000원","16:10,  기술자들(디지털),  9,000원","18:35,  기술자들(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원",,,125
2015-01-05,05관,"09:30,  기술자들(디지털),  6,000원","12:00,  일곱난쟁이(디지털더빙),  9,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","15:50,  상의원(디지털)","18:20,  상의원(디지털),  9,000원","20:50,  상의원(디지털),  9,000원",,,102
2015-01-05,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,197
2015-01-05,07관,"10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,220
2015-01-05,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  호빗: 다섯 군대 전투(디지털),  9,000원","20:00,  호빗: 다섯 군대 전투(디지털),  9,000원",,,165
2015-01-06,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-06,02관,"09:45,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:15,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-06,03관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:20,  기술자들(디지털),  8,000원","13:45,  기술자들(디지털),  9,000원","16:10,  기술자들(디지털),  9,000원","18:35,  기술자들(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원",,,125
2015-01-06,05관,"09:30,  기술자들(디지털),  6,000원","12:00,  일곱난쟁이(디지털더빙),  9,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","15:50,  상의원(디지털),  9,000원","18:20,  상의원(디지털),  9,000원","20:50,  상의원(디지털),  9,000원",,,102
2015-01-06,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,197
2015-01-06,07관,"10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,220
2015-01-06,08관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  호빗: 다섯 군대 전투(디지털),  9,000원","20:00,  호빗: 다섯 군대 전투(디지털),  9,000원",,,165
2015-01-07,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-07,02관,"09:45,  타임 패러독스(디지털)","12:00,  테이큰 3(디지털),  9,000원","14:15,  타임 패러독스(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  타임 패러독스(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-07,03관,"09:40,  언브로큰(디지털),  6,000원","12:20,  언브로큰(디지털),  9,000원","15:00,  언브로큰(디지털),  9,000원","17:40,  언브로큰(디지털),  9,000원","20:20,  언브로큰(디지털),  9,000원",,,,125
2015-01-07,05관,"10:10,  패딩턴(디지털더빙)","12:10,  기술자들(디지털),  9,000원","14:35,  패딩턴(디지털더빙),  9,000원","16:35,  기술자들(디지털),  9,000원","19:00,  패딩턴(디지털더빙),  9,000원","21:00,  기술자들(디지털),  9,000원",,,102
2015-01-07,06관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,197
2015-01-07,07관,"10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,220
2015-01-07,08관,"09:45,  워킹걸(디지털),  6,000원","12:00,  워킹걸(디지털),  9,000원","14:15,  워킹걸(디지털),  9,000원","16:30,  워킹걸(디지털),  9,000원","18:45,  워킹걸(디지털),  9,000원","21:00,  워킹걸(디지털),  9,000원",,,165
2015-01-08,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-08,02관,"09:45,  타임 패러독스(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:15,  타임 패러독스(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  타임 패러독스(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-08,03관,"09:45,  워킹걸(디지털),  6,000원","12:00,  워킹걸(디지털),  9,000원","14:15,  워킹걸(디지털),  9,000원","16:30,  워킹걸(디지털),  9,000원","18:45,  워킹걸(디지털),  9,000원","21:00,  워킹걸(디지털),  9,000원",,,125
2015-01-08,05관,"10:10,  패딩턴(디지털더빙),  6,000원","12:10,  기술자들(디지털),  9,000원","14:35,  패딩턴(디지털더빙),  9,000원","16:35,  기술자들(디지털),  9,000원","19:00,  패딩턴(디지털더빙),  9,000원","21:00,  기술자들(디지털),  9,000원",,,102
2015-01-08,06관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:25,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,197
2015-01-08,07관,"10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원",,,,220
2015-01-08,08관,"09:40,  언브로큰(디지털),  6,000원","12:20,  언브로큰(디지털),  9,000원","15:00,  언브로큰(디지털),  9,000원","17:40,  언브로큰(디지털),  9,000원","20:20,  언브로큰(디지털),  9,000원",,,,165
2015-01-09,01관,"09:50,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:20,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원",,,,220
2015-01-09,02관,"09:45,  타임 패러독스(디지털),  6,000원","12:00,  테이큰 3(디지털),  9,000원","14:15,  타임 패러독스(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  타임 패러독스(디지털),  5,000원","21:00,  테이큰 3(디지털),  9,000원",,,171
2015-01-09,03관,"09:45,  워킹걸(디지털),  6,000원","12:00,  워킹걸(디지털),  9,000원","14:15,  워킹걸(디지털),  9,000원","16:30,  워킹걸(디지털),  9,000원","18:45,  워킹걸(디지털),  9,000원","21:00,  워킹걸(디지털),  9,000원",,,125
