상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-10-25,01관,"09:20,  토르: 라그나로크(디지털),  6,000원","12:00,  토르: 라그나로크(디지털),  9,000원","14:40,  토르: 라그나로크(디지털),  7,000원","17:20,  토르: 라그나로크(디지털),  5,000원","20:00,  토르: 라그나로크(디지털),  5,000원","22:40,  토르: 라그나로크(디지털),  8,000원",,,167
2017-10-25,02관,"09:30,  범죄도시(디지털),  6,000원","12:00,  범죄도시(디지털),  7,000원","14:35,  범죄도시(디지털)","17:10,  범죄도시(디지털),  5,000원","19:45,  범죄도시(디지털),  5,000원","22:20,  범죄도시(디지털),  9,000원",,,139
2017-10-25,03관,"09:50,  토르: 라그나로크(디지털)","12:30,  토르: 라그나로크(디지털)","15:10,  토르: 라그나로크(디지털)","17:50,  토르: 라그나로크(디지털)","20:30,  토르: 라그나로크(디지털)","23:10,  토르: 라그나로크(디지털),  9,000원",,,34
2017-10-25,04관,"09:40,  지오스톰(디지털)","12:00,  굿바이 싱글(디지털)","14:30,  악녀(디지털)","17:00,  너의 이름은.(디지털)","19:20,  토르: 라그나로크(디지털),  5,000원","22:00,  빅토리아 & 압둘(디지털)",,,43
2017-10-25,05관,"10:30,  유리정원(디지털)","13:00,  꼬마참새 리차드: 아프리카 원정대(디지털더빙)","15:00,  박열(디지털)","17:40,  유리정원(디지털)","20:10,  지오스톰(디지털),  5,000원","22:30,  지오스톰(디지털)",,,107
2017-10-25,06관,"09:40,  대장 김창수(디지털)","12:05,  남한산성(디지털)","14:55,  대장 김창수(디지털)","17:20,  빅토리아 & 압둘(디지털)","19:40,  토르: 라그나로크(디지털),  5,000원","22:20,  토르: 라그나로크(디지털),  7,000원",,,139
2017-10-25,07관,"10:20,  토르: 라그나로크(디지털),  6,000원","13:00,  토르: 라그나로크(디지털)","15:40,  토르: 라그나로크(디지털),  8,000원","18:20,  토르: 라그나로크(디지털),  5,000원","21:00,  토르: 라그나로크(디지털),  5,000원",,,,155
2017-10-26,01관,"09:10,  토르: 라그나로크(디지털),  6,000원","11:50,  토르: 라그나로크(디지털),  7,000원","14:30,  토르: 라그나로크(디지털),  5,000원","17:10,  토르: 라그나로크(디지털),  8,000원","19:50,  토르: 라그나로크(디지털),  7,000원","22:30,  토르: 라그나로크(디지털),  9,000원",,,167
2017-10-26,02관,"09:50,  범죄도시(디지털),  6,000원","12:25,  범죄도시(디지털)","15:00,  범죄도시(디지털),  7,000원","17:35,  범죄도시(디지털)",,"22:30,  범죄도시(디지털)",,,139
2017-10-26,03관,"10:30,  토르: 라그나로크(디지털)","13:10,  빅토리아 & 압둘(디지털)","15:50,  남한산성(디지털)","19:00,  토르: 라그나로크(디지털)","21:50,  토르: 라그나로크(디지털),  9,000원",,,,34
2017-10-26,04관,"09:30,  배저로와 친구들: 신비한 모험(디지털더빙)","12:30,  원라인(디지털)","15:20,  보안관(디지털),  0원","18:00,  특별시민(디지털)","20:50,  프리즌(디지털)",,,,43
2017-10-26,05관,"09:20,  유리정원(디지털)","11:45,  지오스톰(디지털),  5,000원","14:00,  발레리나(디지털더빙),  0원","16:00,  더 킹(디지털)","19:00,  청년경찰(디지털)","21:20,  토르: 라그나로크(디지털),  9,000원",,,107
2017-10-26,06관,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  배저로와 친구들: 신비한 모험(디지털더빙)","14:05,  대장 김창수(디지털)","16:35,  토르: 라그나로크(디지털)","19:20,  토르: 라그나로크(디지털),  8,000원","22:00,  대장 김창수(디지털)",,,139
2017-10-26,07관,"10:10,  토르: 라그나로크(디지털),  6,000원","12:50,  토르: 라그나로크(디지털)","15:30,  토르: 라그나로크(디지털),  7,000원","18:10,  토르: 라그나로크(디지털),  7,000원","20:50,  토르: 라그나로크(디지털),  7,000원",,,,155
