상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-11-29,01관,"20:30,  성난황소(디지털)",,,,,,,,142
2018-11-29,02관,"20:40,  성난황소(디지털)",,,,,,,,76
2018-11-29,03관,"20:50,  성난황소(디지털)",,,,,,,,73
2018-11-29,04관,"21:00,  성난황소(디지털)",,,,,,,,140
2018-11-30,01관,,"12:15,  보헤미안 랩소디(디지털),  5,000원","17:00,  보헤미안 랩소디(디지털)","19:35,  국가부도의 날(디지털),  9,000원","21:50,  보헤미안 랩소디(디지털)",,,,142
2018-11-30,02관,"10:40,  성난황소(디지털),  8,000원","13:05,  국가부도의 날(디지털),  11,000원","15:25,  성난황소(디지털),  5,000원","17:50,  국가부도의 날(디지털),  11,000원","20:10,  성난황소(디지털),  11,000원","22:35,  성난황소(디지털),  11,000원",,,76
2018-11-30,03관,"10:00,  후드(디지털),  8,000원","12:15,  보헤미안 랩소디(디지털),  9,000원","15:00,  보헤미안 랩소디(디지털),  11,000원","17:35,  보헤미안 랩소디(디지털),  11,000원","20:10,  보헤미안 랩소디(디지털),  11,000원","22:45,  보헤미안 랩소디(디지털),  11,000원",,,73
2018-11-30,04관,"09:20,  국가부도의 날(디지털)","11:45,  국가부도의 날(디지털),  11,000원","14:10,  국가부도의 날(디지털),  11,000원","16:35,  국가부도의 날(디지털),  9,000원","19:00,  국가부도의 날(디지털),  11,000원","21:25,  국가부도의 날(디지털),  11,000원","23:45,  국가부도의 날(디지털),  9,000원",,140
2018-12-01,01관,"09:40,  보헤미안 랩소디(디지털)","12:20,  성난황소(디지털)","14:35,  성난황소(디지털)","16:50,  성난황소(디지털),  11,000원","20:20,  보헤미안 랩소디(디지털)","23:00,  성난황소(디지털)",,,142
2018-12-01,02관,"09:20,  국가부도의 날(디지털),  8,000원","11:40,  국가부도의 날(디지털),  11,000원","14:20,  국가부도의 날(디지털),  8,000원","16:40,  국가부도의 날(디지털),  11,000원","18:55,  국가부도의 날(디지털),  11,000원","21:15,  국가부도의 날(디지털),  11,000원","23:30,  국가부도의 날(디지털),  9,000원",,76
2018-12-01,03관,"09:30,  후드(디지털),  8,000원","11:50,  완벽한 타인(디지털)","14:05,  완벽한 타인(디지털),  6,000원","16:20,  후드(디지털),  8,000원","18:35,  성난황소(디지털),  5,000원","20:50,  완벽한 타인(디지털),  8,000원","23:05,  성난황소(디지털),  9,000원",,73
2018-12-01,04관,"10:30,  국가부도의 날(디지털),  8,000원","12:50,  국가부도의 날(디지털),  11,000원","15:10,  국가부도의 날(디지털),  9,000원","17:30,  국가부도의 날(디지털),  9,000원","19:50,  국가부도의 날(디지털),  11,000원","22:10,  국가부도의 날(디지털),  11,000원",,,140
2018-12-02,01관,"09:30,  후드(디지털)","12:20,  보헤미안 랩소디(디지털)","15:00,  보헤미안 랩소디(디지털)","17:50,  완벽한 타인(디지털),  11,000원","20:05,  완벽한 타인(디지털),  11,000원","22:30,  완벽한 타인(디지털),  11,000원",,,142
2018-12-02,02관,"09:20,  성난황소(디지털),  8,000원","11:45,  성난황소(디지털),  11,000원","14:10,  성난황소(디지털),  11,000원","16:35,  성난황소(디지털),  11,000원","19:00,  성난황소(디지털),  11,000원","21:25,  성난황소(디지털),  11,000원","23:50,  성난황소(디지털)",,76
2018-12-02,03관,"09:30,  국가부도의 날(디지털),  8,000원","11:50,  국가부도의 날(디지털),  11,000원","14:10,  국가부도의 날(디지털),  11,000원","16:30,  국가부도의 날(디지털),  8,000원","18:50,  국가부도의 날(디지털),  11,000원","21:10,  국가부도의 날(디지털),  11,000원","23:30,  국가부도의 날(디지털),  9,000원",,73
2018-12-02,04관,"10:20,  국가부도의 날(디지털),  8,000원","12:40,  국가부도의 날(디지털),  11,000원","15:00,  국가부도의 날(디지털),  11,000원","17:20,  국가부도의 날(디지털),  9,000원","19:40,  국가부도의 날(디지털),  11,000원","22:00,  국가부도의 날(디지털),  11,000원",,,140
2018-12-03,01관,"09:30,  후드(디지털)","11:45,  완벽한 타인(디지털)","14:00,  후드(디지털),  9,000원","17:40,  보헤미안 랩소디(디지털)","20:20,  보헤미안 랩소디(디지털)","23:00,  완벽한 타인(디지털),  8,000원",,,142
