상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  12,000원","17:10,  기술자들(디지털),  10,000원","19:35,  기술자들(디지털),  10,000원","22:00,  기술자들(디지털),  10,000원","24:20,  기술자들(디지털),  10,000원",,,129
2015-01-01,02관,"09:10,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:15,  테이큰 3(디지털),  10,000원",,,76
2015-01-01,03관,"08:40,  국제시장(디지털),  6,000원","11:15,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:30,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  10,000원",,,,166
2015-01-01,04관,"08:30,  테이큰 3(디지털),  6,000원","10:50,  테이큰 3(디지털),  10,000원","13:10,  테이큰 3(디지털),  10,000원","15:30,  테이큰 3(디지털),  12,000원","17:50,  테이큰 3(디지털),  12,000원","20:10,  테이큰 3(디지털),  10,000원","22:30,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털),  10,000원",,,166
2015-01-01,COMFORT 5관,"09:40,  국제시장(디지털),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  10,000원","14:55,  호빗: 다섯 군대 전투(디지털),  10,000원","17:45,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원",,,,,36
2015-01-02,01관,"09:30,  기술자들(디지털),  6,000원","11:55,  마다가스카의 펭귄(디지털더빙),  10,000원","13:55,  마다가스카의 펭귄(디지털더빙),  10,000원","16:00,  마다가스카의 펭귄(디지털더빙),  10,000원","18:20,  기술자들(디지털),  10,000원","20:45,  기술자들(디지털),  10,000원","23:10,  기술자들(디지털),  10,000원",,,,129
2015-01-02,02관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:15,  님아, 그 강을 건너지 마오(디지털),  10,000원",,,76
2015-01-02,03관,"09:30,  국제시장(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원",,,,,166
2015-01-02,04관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  테이큰 3(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:40,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:20,  테이큰 3(디지털),  10,000원",,,,166
2015-01-02,COMFORT 5관,"10:00,  호빗: 다섯 군대 전투(디지털),  6,000원","12:50,  상의원(디지털),  10,000원","15:25,  호빗: 다섯 군대 전투(디지털),  10,000원","18:15,  호빗: 다섯 군대 전투(디지털),  10,000원","21:05,  국제시장(디지털),  10,000원","23:40,  국제시장(디지털),  10,000원",,,,,36
2015-01-03,01관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  기술자들(디지털),  10,000원","19:35,  기술자들(디지털),  10,000원","22:00,  기술자들(디지털),  10,000원",,,,129
2015-01-03,02관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:15,  님아, 그 강을 건너지 마오(디지털),  10,000원",,,76
2015-01-03,03관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  테이큰 3(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  테이큰 3(디지털),  10,000원","18:40,  테이큰 3(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:20,  테이큰 3(디지털),  10,000원",,,,166
2015-01-03,04관,"09:30,  국제시장(디지털),  8,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원",,,,,166
2015-01-03,COMFORT 5관,"10:00,  호빗: 다섯 군대 전투(디지털),  6,000원","12:50,  상의원(디지털),  10,000원","15:25,  호빗: 다섯 군대 전투(디지털),  10,000원","18:15,  호빗: 다섯 군대 전투(디지털),  10,000원","21:05,  국제시장(디지털),  10,000원","23:40,  국제시장(디지털),  10,000원",,,,,36
2015-01-04,01관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  기술자들(디지털),  10,000원","19:35,  기술자들(디지털),  10,000원","22:00,  기술자들(디지털),  10,000원",,,,129
