상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-10-26,01관,,"19:15,  닥터 스트레인지(디지털),  5,000원","21:40,  럭키(디지털),  5,000원","24:00,  닥터 스트레인지(디지털),  7,000원",,,,,,104
2016-10-26,02관,"17:30,  럭키(디지털),  5,000원","20:10,  럭키(디지털),  9,000원","22:40,  럭키(디지털),  5,000원",,,,,,,117
2016-10-26,03관,"17:00,  닥터 스트레인지(디지털),  9,000원","19:30,  럭키(디지털),  9,000원",,,,,,,,139
2016-10-26,04관,"16:40,  쿠보와 전설의 악기(디지털),  5,000원",,"21:00,  혼숨(디지털),  6,000원","23:00,  닥터 스트레인지(디지털),  5,000원",,,,,,97
2016-10-26,05관,"17:30,  닥터 스트레인지(디지털),  9,000원","19:50,  닥터 스트레인지(디지털),  9,000원","22:10,  닥터 스트레인지(디지털),  9,000원",,,,,,,104
2016-10-27,01관,"09:20,  닥터 스트레인지(디지털),  5,000원","11:45,  닥터 스트레인지(디지털),  5,000원","14:15,  닥터 스트레인지(디지털),  5,000원","16:40,  닥터 스트레인지(디지털),  9,000원","19:05,  닥터 스트레인지(디지털),  9,000원","21:30,  닥터 스트레인지(디지털),  9,000원","23:55,  닥터 스트레인지(디지털),  7,000원",,,104
2016-10-27,02관,"10:00,  럭키(디지털),  6,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  9,000원","17:15,  럭키(디지털),  9,000원","19:40,  럭키(디지털),  9,000원","22:05,  럭키(디지털),  5,000원","24:30,  럭키(디지털),  5,000원",,,117
2016-10-27,04관,"09:30,  쿠보와 전설의 악기(디지털)","11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털),  5,000원","16:30,  혼숨(디지털),  6,000원","18:40,  혼숨(디지털),  5,000원","20:35,  럭키(디지털),  9,000원","22:55,  럭키(디지털),  7,000원",,,97
2016-10-27,05관,"10:40,  닥터 스트레인지(디지털),  5,000원","13:10,  닥터 스트레인지(디지털),  5,000원","15:35,  닥터 스트레인지(디지털),  5,000원","18:00,  닥터 스트레인지(디지털),  5,000원","20:45,  닥터 스트레인지(디지털),  9,000원","23:10,  닥터 스트레인지(디지털),  7,000원",,,,104
2016-10-28,01관,"09:20,  닥터 스트레인지(디지털),  7,000원","11:45,  닥터 스트레인지(디지털),  5,000원","14:15,  닥터 스트레인지(디지털),  11,000원","16:40,  닥터 스트레인지(디지털),  5,000원","19:05,  닥터 스트레인지(디지털),  11,000원","21:30,  닥터 스트레인지(디지털),  11,000원","23:55,  닥터 스트레인지(디지털),  9,000원",,,104
2016-10-28,02관,"10:00,  럭키(디지털),  7,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  11,000원","17:15,  럭키(디지털),  5,000원","19:40,  럭키(디지털),  11,000원","22:05,  럭키(디지털),  11,000원","24:30,  럭키(디지털),  8,000원",,,117
2016-10-28,03관,"17:20,  닥터 스트레인지(디지털),  5,000원","19:50,  닥터 스트레인지(디지털),  5,000원","22:30,  닥터 스트레인지(디지털),  5,000원",,,,,,,139
2016-10-28,04관,,"11:45,  럭키(디지털),  5,000원",,"16:30,  럭키(디지털),  5,000원","19:10,  혼숨(디지털),  11,000원","21:10,  럭키(디지털),  11,000원","23:40,  혼숨(디지털),  9,000원",,,97
2016-10-28,05관,"10:40,  닥터 스트레인지(디지털),  7,000원","13:10,  닥터 스트레인지(디지털),  8,000원","15:35,  닥터 스트레인지(디지털),  6,000원","18:00,  닥터 스트레인지(디지털),  5,000원","20:45,  닥터 스트레인지(디지털),  11,000원","23:10,  닥터 스트레인지(디지털),  9,000원",,,,104
2016-10-29,01관,"09:20,  닥터 스트레인지(디지털),  7,000원","11:45,  닥터 스트레인지(디지털),  11,000원","14:15,  닥터 스트레인지(디지털),  5,000원","16:40,  닥터 스트레인지(디지털),  11,000원","19:05,  닥터 스트레인지(디지털),  11,000원","21:30,  닥터 스트레인지(디지털),  11,000원","23:55,  닥터 스트레인지(디지털),  7,000원",,,104
2016-10-29,02관,"10:00,  럭키(디지털),  7,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  5,000원","17:15,  럭키(디지털),  11,000원","19:40,  럭키(디지털),  11,000원","22:05,  럭키(디지털),  11,000원","24:30,  럭키(디지털),  9,000원",,,117
2016-10-29,03관,"10:20,  닥터 스트레인지(디지털),  5,000원","12:45,  닥터 스트레인지(디지털),  5,000원","15:10,  닥터 스트레인지(디지털),  11,000원","18:10,  닥터 스트레인지(디지털),  9,000원","20:30,  닥터 스트레인지(디지털),  11,000원","22:50,  닥터 스트레인지(디지털),  11,000원",,,,139
2016-10-29,04관,,"11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털더빙),  11,000원","16:30,  럭키(디지털),  11,000원","19:10,  혼숨(디지털),  11,000원","21:10,  럭키(디지털),  5,000원","23:40,  혼숨(디지털),  5,000원",,,97
2016-10-29,05관,"10:40,  닥터 스트레인지(디지털),  7,000원","13:10,  닥터 스트레인지(디지털),  11,000원","15:35,  닥터 스트레인지(디지털),  9,000원","18:00,  닥터 스트레인지(디지털),  5,000원","20:45,  닥터 스트레인지(디지털),  11,000원","23:10,  닥터 스트레인지(디지털),  7,000원",,,,104
2016-10-30,01관,"09:20,  닥터 스트레인지(디지털),  7,000원","11:45,  닥터 스트레인지(디지털),  5,000원","14:15,  닥터 스트레인지(디지털),  11,000원","16:40,  닥터 스트레인지(디지털),  11,000원","19:05,  닥터 스트레인지(디지털),  6,000원","21:30,  닥터 스트레인지(디지털),  5,000원","23:55,  닥터 스트레인지(디지털),  9,000원",,,104
2016-10-30,02관,"10:00,  럭키(디지털),  8,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  11,000원","17:25,  럭키(디지털),  11,000원","19:40,  럭키(디지털),  11,000원","22:05,  럭키(디지털),  5,000원",,,,117
2016-10-30,03관,"10:20,  닥터 스트레인지(디지털),  7,000원","13:00,  럭키(디지털),  5,000원","15:35,  혼숨(디지털),  5,000원","17:40,  닥터 스트레인지(디지털),  11,000원","20:00,  닥터 스트레인지(디지털),  11,000원","22:30,  닥터 스트레인지(디지털),  5,000원",,,,139
2016-10-30,04관,"09:30,  쿠보와 전설의 악기(디지털더빙),  5,000원","11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털더빙),  5,000원","16:30,  럭키(디지털),  11,000원","19:00,  혼숨(디지털),  5,000원","21:10,  럭키(디지털),  5,000원","23:30,  혼숨(디지털),  9,000원",,,97
2016-10-30,05관,"10:40,  럭키(디지털),  7,000원","13:00,  닥터 스트레인지(디지털),  5,000원","15:35,  닥터 스트레인지(디지털),  11,000원","18:15,  럭키(디지털),  5,000원","20:55,  닥터 스트레인지(디지털),  5,000원","23:30,  닥터 스트레인지(디지털),  5,000원",,,,104
2016-10-31,01관,"09:20,  닥터 스트레인지(디지털),  5,000원","11:45,  닥터 스트레인지(디지털),  5,000원","14:15,  닥터 스트레인지(디지털),  5,000원","16:40,  닥터 스트레인지(디지털),  5,000원","19:05,  닥터 스트레인지(디지털),  6,000원","21:30,  닥터 스트레인지(디지털),  9,000원","23:55,  닥터 스트레인지(디지털),  5,000원",,,104
2016-10-31,02관,"10:00,  럭키(디지털),  5,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  5,000원","17:25,  럭키(디지털),  5,000원","19:40,  럭키(디지털),  9,000원","22:05,  럭키(디지털),  7,000원",,,,117
2016-10-31,03관,"10:20,  닥터 스트레인지(디지털),  6,000원","13:00,  럭키(디지털),  5,000원","15:20,  닥터 스트레인지(디지털),  7,000원","17:40,  닥터 스트레인지(디지털),  9,000원","20:00,  닥터 스트레인지(디지털),  9,000원","22:30,  닥터 스트레인지(디지털),  5,000원",,,,139
2016-10-31,04관,"09:30,  럭키(디지털),  5,000원","11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털더빙),  5,000원","16:30,  럭키(디지털),  5,000원","19:00,  혼숨(디지털),  9,000원","21:10,  럭키(디지털),  5,000원","23:30,  혼숨(디지털),  5,000원",,,97
2016-10-31,05관,"10:40,  럭키(디지털),  6,000원","13:00,  닥터 스트레인지(디지털),  5,000원","15:35,  럭키(디지털),  5,000원","18:15,  닥터 스트레인지(디지털),  9,000원","20:55,  닥터 스트레인지(디지털),  9,000원","23:30,  닥터 스트레인지(디지털),  7,000원",,,,104
2016-11-01,01관,"09:20,  닥터 스트레인지(디지털),  6,000원","11:45,  닥터 스트레인지(디지털),  9,000원","14:15,  닥터 스트레인지(디지털),  7,000원","16:40,  닥터 스트레인지(디지털),  9,000원","19:05,  닥터 스트레인지(디지털),  5,000원","21:30,  닥터 스트레인지(디지털),  5,000원","23:55,  닥터 스트레인지(디지털),  5,000원",,,104
2016-11-01,02관,"10:00,  럭키(디지털),  5,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  5,000원","17:25,  럭키(디지털),  5,000원","19:40,  럭키(디지털),  5,000원","22:05,  럭키(디지털),  5,000원",,,,117
2016-11-01,03관,"10:20,  닥터 스트레인지(디지털),  8,000원","13:00,  럭키(디지털),  7,000원","15:20,  닥터 스트레인지(디지털),  5,000원","17:40,  닥터 스트레인지(디지털),  9,000원","20:00,  닥터 스트레인지(디지털),  9,000원","22:30,  닥터 스트레인지(디지털),  9,000원",,,,139
2016-11-01,04관,"09:30,  럭키(디지털),  5,000원","11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털더빙),  5,000원","16:30,  럭키(디지털),  5,000원","19:00,  혼숨(디지털),  9,000원","21:10,  럭키(디지털),  9,000원","23:30,  혼숨(디지털),  5,000원",,,97
2016-11-01,05관,"10:40,  럭키(디지털),  5,000원","13:00,  닥터 스트레인지(디지털),  9,000원","15:35,  럭키(디지털),  5,000원","18:15,  닥터 스트레인지(디지털),  5,000원","20:55,  닥터 스트레인지(디지털),  5,000원","23:30,  닥터 스트레인지(디지털),  5,000원",,,,104
2016-11-02,01관,"09:20,  닥터 스트레인지(디지털),  6,000원","11:45,  닥터 스트레인지(디지털),  5,000원","14:15,  닥터 스트레인지(디지털),  5,000원","16:40,  닥터 스트레인지(디지털),  5,000원","19:05,  닥터 스트레인지(디지털),  9,000원","21:30,  닥터 스트레인지(디지털),  5,000원","23:55,  닥터 스트레인지(디지털),  7,000원",,,104
2016-11-02,02관,"10:00,  럭키(디지털),  5,000원","12:25,  럭키(디지털),  5,000원","14:50,  럭키(디지털),  5,000원","17:25,  럭키(디지털),  5,000원","19:40,  럭키(디지털),  6,000원","22:05,  럭키(디지털),  5,000원",,,,117
2016-11-02,03관,"10:20,  닥터 스트레인지(디지털),  5,000원","13:00,  럭키(디지털),  5,000원","15:20,  닥터 스트레인지(디지털),  9,000원","17:40,  닥터 스트레인지(디지털),  9,000원","20:00,  닥터 스트레인지(디지털),  9,000원","22:30,  닥터 스트레인지(디지털),  7,000원",,,,139
2016-11-02,04관,"09:30,  럭키(디지털),  5,000원","11:45,  럭키(디지털),  5,000원","14:10,  쿠보와 전설의 악기(디지털더빙),  5,000원","16:30,  럭키(디지털),  7,000원","19:00,  혼숨(디지털),  5,000원","21:10,  럭키(디지털),  7,000원","23:30,  혼숨(디지털),  5,000원",,,97
2016-11-02,05관,"10:40,  럭키(디지털),  5,000원","13:00,  닥터 스트레인지(디지털),  5,000원","15:35,  럭키(디지털),  7,000원","18:15,  닥터 스트레인지(디지털),  5,000원","20:55,  닥터 스트레인지(디지털),  5,000원","23:30,  닥터 스트레인지(디지털),  7,000원",,,,104
2016-11-03,01관,"09:00,  럭키(디지털),  5,000원","11:15,  럭키(디지털),  5,000원","13:30,  럭키(디지털),  5,000원","15:50,  럭키(디지털),  7,000원","18:10,  로스트 인 더스트(디지털),  5,000원","20:15,  럭키(디지털),  9,000원","22:35,  혼숨(디지털),  5,000원","24:25,  혼숨(디지털),  5,000원",,104
