상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-06-15,01관,"20:20,  라라랜드(디지털)",,,,,,,,222
2017-06-15,02관,"21:10,  미씽: 사라진 여자(디지털)",,,,,,,,203
2017-06-15,03관,"14:00,  슈퍼 빼꼼: 스파이 대작전(디지털)",,,,,,,,186
2017-06-15,04관,"18:30,  목소리의 형태(디지털)",,,,,,,,186
2017-06-16,01관,"20:40,  석조저택 살인사건(디지털)",,,,,,,,222
2017-06-16,02관,"19:30,  핵소 고지(디지털)",,,,,,,,203
2017-06-16,03관,"21:40,  사일런스(디지털)",,,,,,,,186
2017-06-16,04관,"18:30,  너의 이름은.(디지털)",,,,,,,,186
2017-06-17,01관,"10:25,  미이라(디지털),  7,000원","12:40,  미이라(디지털),  11,000원","14:55,  미이라(디지털),  11,000원","17:10,  미이라(디지털),  11,000원","19:25,  미이라(디지털),  11,000원","21:40,  미이라(디지털),  11,000원","23:55,  미이라(디지털),  9,000원",,222
2017-06-17,02관,"09:50,  하루(디지털),  7,000원","11:45,  하루(디지털),  6,000원","13:40,  하루(디지털),  11,000원","15:35,  하루(디지털),  11,000원","17:30,  하루(디지털),  11,000원","19:25,  하루(디지털),  11,000원","21:20,  하루(디지털),  11,000원","23:20,  하루(디지털),  9,000원",203
2017-06-17,03관,"09:30,  원더 우먼(디지털),  7,000원","12:20,  노무현입니다(디지털),  11,000원","14:35,  원더 우먼(디지털),  11,000원","17:20,  노무현입니다(디지털),  11,000원","19:35,  원더 우먼(디지털),  9,000원","22:25,  원더 우먼(디지털),  11,000원",,,186
2017-06-17,04관,"09:45,  나의 붉은고래(디지털),  7,000원","11:55,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  11,000원","13:45,  꼬마돼지 베이브의 대모험(디지털더빙),  11,000원","15:30,  나의 붉은고래(디지털),  9,000원","17:40,  꼬마돼지 베이브의 대모험(디지털더빙),  11,000원","19:25,  노무현입니다(디지털),  11,000원","21:40,  노무현입니다(디지털),  11,000원","23:55,  노무현입니다(디지털),  9,000원",186
2017-06-17,05관,"09:25,  미이라(디지털),  7,000원","11:40,  미이라(디지털),  11,000원","13:55,  미이라(디지털),  11,000원","16:10,  미이라(디지털),  11,000원","18:25,  미이라(디지털),  11,000원","20:40,  미이라(디지털),  11,000원","22:55,  미이라(디지털),  11,000원",,200
2017-06-17,06관,"09:20,  심야식당 2(디지털)","11:30,  악녀(디지털),  11,000원","14:00,  악녀(디지털),  11,000원","16:30,  악녀(디지털),  11,000원","19:00,  악녀(디지털),  11,000원","21:30,  악녀(디지털),  11,000원","24:00,  악녀(디지털),  9,000원",,230
2017-06-18,01관,"10:25,  미이라(디지털),  7,000원","12:40,  미이라(디지털),  11,000원","14:55,  미이라(디지털),  11,000원","17:10,  미이라(디지털),  11,000원","19:25,  미이라(디지털),  11,000원","21:40,  미이라(디지털),  11,000원","23:55,  미이라(디지털)",,222
2017-06-18,02관,"09:50,  하루(디지털),  9,000원","11:45,  하루(디지털),  6,000원","13:40,  하루(디지털),  11,000원","15:35,  하루(디지털),  11,000원","17:30,  하루(디지털),  11,000원","19:25,  하루(디지털),  11,000원","21:20,  하루(디지털),  11,000원","23:20,  하루(디지털),  9,000원",203
2017-06-18,03관,"09:30,  원더 우먼(디지털),  7,000원","12:20,  노무현입니다(디지털),  11,000원","14:35,  원더 우먼(디지털),  11,000원","17:20,  노무현입니다(디지털),  11,000원","19:35,  원더 우먼(디지털),  11,000원","22:25,  원더 우먼(디지털),  6,000원",,,186
2017-06-18,04관,"09:45,  나의 붉은고래(디지털),  7,000원","11:55,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  11,000원","13:45,  꼬마돼지 베이브의 대모험(디지털더빙),  11,000원","15:30,  꼬마참새 리차드: 아프리카 원정대(디지털더빙),  9,000원","17:20,  꼬마돼지 베이브의 대모험(디지털더빙),  9,000원","19:25,  노무현입니다(디지털),  11,000원","21:40,  노무현입니다(디지털),  11,000원","23:55,  노무현입니다(디지털)",186
2017-06-18,05관,"09:25,  미이라(디지털),  7,000원","11:40,  미이라(디지털),  11,000원","13:55,  미이라(디지털),  11,000원","16:10,  미이라(디지털),  11,000원","18:25,  미이라(디지털),  11,000원","20:40,  미이라(디지털),  11,000원","22:55,  미이라(디지털),  11,000원",,200
2017-06-18,06관,"10:00,  악녀(디지털),  7,000원","12:30,  악녀(디지털),  11,000원","15:00,  악녀(디지털),  11,000원","17:30,  악녀(디지털),  11,000원","20:00,  악녀(디지털),  11,000원","22:30,  악녀(디지털),  11,000원",,,230
2017-06-19,01관,"10:25,  미이라(디지털),  7,000원","12:40,  미이라(디지털),  7,000원","14:55,  미이라(디지털),  9,000원","17:10,  미이라(디지털),  7,000원","19:25,  미이라(디지털)","21:40,  미이라(디지털),  9,000원","23:55,  미이라(디지털),  7,000원",,222
2017-06-19,02관,"09:50,  하루(디지털),  6,000원","11:45,  하루(디지털),  9,000원","13:40,  하루(디지털),  9,000원","15:35,  하루(디지털),  9,000원","17:30,  하루(디지털),  9,000원","19:25,  하루(디지털),  7,000원","21:20,  하루(디지털),  9,000원","23:20,  하루(디지털)",203
