상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-05-15,01관,"09:30,  탐정 홍길동: 사라진 마을(디지털),  7,000원","12:10,  탐정 홍길동: 사라진 마을(디지털),  6,000원","14:50,  엽기적인 그녀 2(디지털),  9,000원",,,"21:40,  엽기적인 그녀 2(디지털),  10,000원",,,,146
2016-05-15,02관,"09:20,  다이버전트 시리즈: 얼리전트(디지털),  7,000원","11:55,  다이버전트 시리즈: 얼리전트(디지털),  9,000원","14:25,  다이버전트 시리즈: 얼리전트(디지털),  9,000원","17:00,  곡성(디지털),  10,000원","20:10,  곡성(디지털),  10,000원","23:20,  곡성(디지털),  9,000원",,,,154
2016-05-15,03관,"09:05,  곡성(디지털),  7,000원","12:15,  곡성(디지털),  9,000원","15:25,  곡성(디지털),  10,000원","18:35,  곡성(디지털),  10,000원","21:45,  곡성(디지털),  10,000원",,,,,191
2016-05-15,04관,"09:50,  캡틴 아메리카: 시빌 워(디지털),  7,000원","12:50,  캡틴 아메리카: 시빌 워(디지털),  9,000원","15:50,  캡틴 아메리카: 시빌 워(디지털),  10,000원","18:50,  캡틴 아메리카: 시빌 워(디지털),  10,000원","21:50,  캡틴 아메리카: 시빌 워(디지털),  10,000원",,,,,148
2016-05-15,05관,"09:50,  곡성(디지털),  7,000원","12:55,  곡성(디지털),  9,000원",,"18:20,  다이노소어 어드벤처 : 백악기 공룡대백과(디지털더빙),  10,000원","20:14,  곡성(디지털),  10,000원","23:20,  곡성(디지털),  9,000원",,,,165
2016-05-15,06관,"09:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","12:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","15:00,  캡틴 아메리카: 시빌 워(디지털),  10,000원",,"20:30,  캡틴 아메리카: 시빌 워(디지털),  10,000원","23:30,  캡틴 아메리카: 시빌 워(디지털),  9,000원",,,,294
2016-05-16,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털),  6,000원","12:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원","15:30,  엽기적인 그녀 2(디지털),  7,000원","17:40,  곡성(디지털),  9,000원","20:50,  곡성(디지털),  9,000원","24:00,  탐정 홍길동: 사라진 마을(디지털)",,,,146
2016-05-16,02관,"09:00,  곡성(디지털),  6,000원","12:10,  곡성(디지털),  8,000원","15:20,  곡성(디지털),  9,000원","18:30,  캡틴 아메리카: 시빌 워(디지털)","21:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,,154
2016-05-16,03관,"10:00,  탐정 홍길동: 사라진 마을(디지털)","12:40,  탐정 홍길동: 사라진 마을(디지털),  8,000원","15:20,  탐정 홍길동: 사라진 마을(디지털),  9,000원","18:00,  히말라야(디지털)","20:40,  탐정 홍길동: 사라진 마을(디지털),  7,000원","23:20,  곡성(디지털),  8,000원",,,,191
2016-05-16,04관,"09:10,  다이버전트 시리즈: 얼리전트(디지털),  6,000원","11:45,  엽기적인 그녀 2(디지털)","13:55,  다이버전트 시리즈: 얼리전트(디지털),  8,000원","16:30,  다이버전트 시리즈: 얼리전트(디지털),  7,000원","19:00,  동주(디지털)","21:30,  다이버전트 시리즈: 얼리전트(디지털),  9,000원","24:00,  다이버전트 시리즈: 얼리전트(디지털)",,,148
2016-05-16,05관,"09:10,  엽기적인 그녀 2(디지털)","11:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","14:20,  캡틴 아메리카: 시빌 워(디지털),  6,000원","17:20,  캡틴 아메리카: 시빌 워(디지털),  9,000원","20:20,  캡틴 아메리카: 시빌 워(디지털),  9,000원","23:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원",,,,165
2016-05-16,06관,"09:50,  곡성(디지털),  6,000원","13:00,  곡성(디지털),  8,000원","16:10,  곡성(디지털),  9,000원","19:20,  곡성(디지털),  9,000원","22:30,  곡성(디지털),  9,000원",,,,,294
