상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-01-11,COMFORT 1관(Sonictier),"13:20,  마스터(디지털),  9,000원","16:10,  마스터(디지털),  8,000원","19:00,  마스터(디지털),  9,000원",,,,,,,139
2017-01-11,02관,"13:10,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  9,000원","15:10,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  6,000원","17:10,  마스터(디지털),  9,000원","20:00,  마스터(디지털),  9,000원",,,,,,146
2017-01-11,03관,"13:10,  얼라이드(디지털),  9,000원","15:40,  얼라이드(디지털),  9,000원","18:10,  얼라이드(디지털),  9,000원","20:40,  얼라이드(디지털),  9,000원",,,,,,95
2017-01-11,04관,"13:50,  패신저스(디지털),  9,000원","16:05,  패신저스(디지털),  9,000원","18:30,  너의 이름은.(디지털),  8,000원","20:45,  너의 이름은.(디지털),  9,000원",,,,,,96
2017-01-11,05관,"13:00,  너의 이름은.(디지털),  9,000원","15:15,  너의 이름은.(디지털),  9,000원","17:30,  너의 이름은.(디지털),  9,000원","19:45,  너의 이름은.(디지털),  9,000원",,,,,,96
2017-01-11,06관,"13:40,  씽(디지털더빙),  9,000원","15:55,  씽(디지털더빙),  7,000원","18:10,  씽(디지털더빙),  9,000원","20:25,  패신저스(디지털),  9,000원",,,,,,110
2017-01-11,COMFORT 7관(Sonictier),"13:30,  어쌔신 크리드(디지털),  9,000원","15:55,  어쌔신 크리드(디지털),  9,000원","18:20,  어쌔신 크리드(디지털),  9,000원","20:45,  어쌔신 크리드(디지털),  9,000원",,,,,,200
2017-01-12,COMFORT 1관(Sonictier),,"12:30,  마스터(디지털),  9,000원","15:20,  마스터(디지털),  9,000원","18:10,  마스터(디지털),  9,000원","21:00,  마스터(디지털),  9,000원",,,,,139
2017-01-12,02관,"10:00,  모아나(디지털더빙),  6,000원","12:25,  모아나(디지털더빙),  9,000원","14:50,  모아나(디지털더빙),  6,000원","17:15,  모아나(디지털),  9,000원","19:40,  모아나(디지털),  9,000원","22:05,  마스터(디지털),  9,000원",,,,146
2017-01-12,03관,"09:30,  얼라이드(디지털),  6,000원","12:05,  얼라이드(디지털),  7,000원","14:40,  얼라이드(디지털),  9,000원","17:15,  얼라이드(디지털),  9,000원","19:50,  얼라이드(디지털),  9,000원","22:25,  얼라이드(디지털),  9,000원",,,,95
2017-01-12,04관,"09:50,  패신저스(디지털),  6,000원","12:15,  패신저스(디지털),  9,000원","14:40,  패신저스(디지털),  8,000원",,"19:30,  너의 이름은.(디지털),  9,000원","21:45,  너의 이름은.(디지털),  9,000원",,,,96
2017-01-12,05관,"09:30,  너의 이름은.(디지털),  6,000원","11:45,  너의 이름은.(디지털),  9,000원","14:00,  너의 이름은.(디지털),  9,000원","16:15,  너의 이름은.(디지털),  9,000원","18:30,  너의 이름은.(디지털),  0원","20:45,  너의 이름은.(디지털),  7,000원","23:00,  너의 이름은.(디지털),  8,000원",,,96
2017-01-12,06관,"09:40,  씽(디지털더빙),  6,000원","11:55,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  9,000원","13:55,  씽(디지털더빙),  9,000원","16:10,  씽(디지털더빙),  9,000원","18:25,  패신저스(디지털),  8,000원","20:50,  패신저스(디지털),  8,000원",,,,110
2017-01-12,COMFORT 7관(Sonictier),"09:50,  어쌔신 크리드(디지털),  6,000원","12:15,  어쌔신 크리드(디지털),  9,000원","14:40,  어쌔신 크리드(디지털),  9,000원","17:05,  어쌔신 크리드(디지털),  7,000원","19:30,  어쌔신 크리드(디지털),  9,000원","21:55,  어쌔신 크리드(디지털),  9,000원",,,,200
2017-01-13,COMFORT 1관(Sonictier),"09:50,  어쌔신 크리드(디지털),  6,000원","12:15,  어쌔신 크리드(디지털),  11,000원","14:40,  어쌔신 크리드(디지털),  11,000원","17:05,  어쌔신 크리드(디지털),  9,000원","19:30,  어쌔신 크리드(디지털),  11,000원","21:55,  어쌔신 크리드(디지털),  11,000원",,,,139
2017-01-13,02관,"10:00,  모아나(디지털더빙),  7,000원","12:25,  모아나(디지털더빙)","14:50,  모아나(디지털더빙),  9,000원","17:15,  모아나(디지털),  11,000원","19:40,  모아나(디지털),  11,000원","22:05,  마스터(디지털),  11,000원",,,,146
2017-01-13,03관,"09:50,  얼라이드(디지털),  7,000원","12:20,  얼라이드(디지털),  5,000원","15:00,  너의 이름은.(디지털),  11,000원","17:20,  너의 이름은.(디지털),  11,000원","19:35,  너의 이름은.(디지털),  8,000원","21:55,  너의 이름은.(디지털),  11,000원",,,,95
2017-01-13,04관,"09:30,  패신저스(디지털),  7,000원","12:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","14:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","16:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  9,000원","18:00,  패신저스(디지털),  7,000원","20:25,  패신저스(디지털),  9,000원","22:50,  패신저스(디지털),  9,000원",,,96
2017-01-13,05관,"09:40,  마스터(디지털),  7,000원","12:30,  마스터(디지털),  11,000원","15:20,  마스터(디지털),  11,000원","18:10,  마스터(디지털),  11,000원","21:00,  마스터(디지털),  11,000원",,,,,96
2017-01-13,06관,"09:40,  씽(디지털더빙),  6,000원","12:00,  씽(디지털더빙)","14:15,  씽(디지털더빙),  11,000원","16:30,  얼라이드(디지털),  9,000원","19:00,  얼라이드(디지털),  11,000원","21:30,  얼라이드(디지털),  11,000원",,,,110
2017-01-13,COMFORT 7관(Sonictier),"09:30,  너의 이름은.(디지털),  7,000원","11:45,  너의 이름은.(디지털),  11,000원","14:00,  너의 이름은.(디지털),  11,000원","16:15,  너의 이름은.(디지털),  9,000원","18:30,  너의 이름은.(디지털),  11,000원","20:45,  너의 이름은.(디지털),  11,000원","23:00,  너의 이름은.(디지털),  9,000원",,,200
2017-01-14,COMFORT 1관(Sonictier),"09:50,  어쌔신 크리드(디지털),  9,000원","12:15,  어쌔신 크리드(디지털),  9,000원","14:40,  어쌔신 크리드(디지털),  11,000원","17:05,  어쌔신 크리드(디지털),  11,000원","19:30,  어쌔신 크리드(디지털),  11,000원","21:55,  어쌔신 크리드(디지털),  11,000원",,,,139
2017-01-14,02관,"10:00,  모아나(디지털더빙),  7,000원","12:25,  모아나(디지털더빙),  11,000원","14:50,  모아나(디지털더빙),  11,000원","17:15,  모아나(디지털더빙),  11,000원","19:40,  모아나(디지털),  11,000원","22:05,  마스터(디지털),  11,000원",,,,146
2017-01-14,03관,"09:50,  얼라이드(디지털),  7,000원","12:20,  얼라이드(디지털),  11,000원","15:00,  너의 이름은.(디지털),  11,000원","17:20,  너의 이름은.(디지털),  11,000원","19:35,  너의 이름은.(디지털),  9,000원","21:55,  너의 이름은.(디지털),  9,000원",,,,95
2017-01-14,04관,"09:30,  패신저스(디지털),  7,000원","12:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","14:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","16:00,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","18:00,  패신저스(디지털),  11,000원","20:25,  패신저스(디지털),  11,000원","22:50,  패신저스(디지털),  11,000원",,,96
2017-01-14,05관,"09:40,  마스터(디지털),  7,000원","12:30,  마스터(디지털),  11,000원","15:20,  마스터(디지털),  11,000원","18:10,  마스터(디지털),  11,000원","21:00,  마스터(디지털),  11,000원",,,,,96
2017-01-14,06관,"09:40,  씽(디지털더빙),  7,000원","12:00,  씽(디지털더빙),  11,000원","14:15,  씽(디지털더빙),  11,000원","16:30,  얼라이드(디지털),  11,000원","19:00,  얼라이드(디지털),  11,000원","21:30,  얼라이드(디지털),  11,000원",,,,110
2017-01-14,COMFORT 7관(Sonictier),"09:30,  너의 이름은.(디지털),  7,000원","11:45,  너의 이름은.(디지털),  11,000원","14:00,  너의 이름은.(디지털),  11,000원","16:15,  너의 이름은.(디지털),  11,000원","18:30,  너의 이름은.(디지털),  11,000원","20:45,  너의 이름은.(디지털),  11,000원","23:00,  너의 이름은.(디지털),  9,000원",,,200
2017-01-15,COMFORT 1관(Sonictier),"10:00,  어쌔신 크리드(디지털),  7,000원","12:25,  어쌔신 크리드(디지털),  9,000원","14:50,  어쌔신 크리드(디지털),  11,000원","17:15,  어쌔신 크리드(디지털),  11,000원","19:40,  어쌔신 크리드(디지털),  11,000원","22:05,  어쌔신 크리드(디지털),  11,000원",,,,139
2017-01-15,02관,"10:10,  모아나(디지털더빙),  7,000원","12:35,  모아나(디지털더빙),  11,000원","15:00,  모아나(디지털더빙),  11,000원","17:25,  모아나(디지털더빙),  11,000원","19:50,  모아나(디지털),  11,000원","22:20,  마스터(디지털),  11,000원",,,,146
2017-01-15,03관,"09:30,  얼라이드(디지털),  5,000원","12:00,  얼라이드(디지털),  11,000원","14:30,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","16:30,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  11,000원","18:30,  마스터(디지털),  11,000원","21:20,  마스터(디지털),  11,000원",,,,95
2017-01-15,04관,"09:30,  패신저스(디지털),  7,000원","11:55,  눈의 여왕 3: 눈과 불의 마법대결(디지털),  9,000원","13:50,  모아나(디지털더빙),  11,000원","16:10,  모아나(디지털더빙),  11,000원","18:30,  패신저스(디지털),  11,000원","20:55,  패신저스(디지털),  11,000원","23:20,  패신저스(디지털),  9,000원",,,96
2017-01-15,05관,"09:50,  마스터(디지털),  7,000원","12:40,  마스터(디지털),  11,000원","15:30,  너의 이름은.(디지털),  11,000원","17:45,  너의 이름은.(디지털),  11,000원","20:00,  너의 이름은.(디지털),  11,000원","22:15,  너의 이름은.(디지털),  11,000원",,,,96
2017-01-15,06관,"09:40,  씽(디지털더빙),  6,000원","11:55,  씽(디지털더빙),  7,000원","14:10,  씽(디지털더빙),  11,000원","16:25,  씽(디지털더빙),  11,000원","18:40,  얼라이드(디지털),  11,000원","21:10,  얼라이드(디지털),  11,000원","23:40,  얼라이드(디지털),  9,000원",,,110
2017-01-15,COMFORT 7관(Sonictier),"09:40,  너의 이름은.(디지털),  7,000원","11:55,  너의 이름은.(디지털),  11,000원","14:10,  너의 이름은.(디지털),  11,000원","16:25,  너의 이름은.(디지털),  11,000원","18:40,  너의 이름은.(디지털),  11,000원","20:55,  너의 이름은.(디지털),  11,000원","23:10,  너의 이름은.(디지털),  9,000원",,,200
2017-01-16,COMFORT 1관(Sonictier),"09:30,  모아나(디지털더빙),  6,000원","11:50,  모아나(디지털더빙),  9,000원","14:10,  모아나(디지털더빙),  9,000원","16:30,  모아나(디지털더빙),  9,000원","18:50,  얼라이드(디지털),  9,000원","21:20,  얼라이드(디지털),  9,000원","23:50,  얼라이드(디지털)",,,139
2017-01-16,02관,"09:40,  너의 이름은.(디지털),  6,000원","11:55,  너의 이름은.(디지털),  8,000원","14:10,  너의 이름은.(디지털),  7,000원","16:30,  마스터(디지털),  9,000원","19:20,  마스터(디지털),  9,000원","22:10,  마스터(디지털),  5,000원",,,,146
