상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-12-26,01관,"22:00,  킹콩(필름)",,,,,,,,94
2017-12-26,02관,"22:00,  킹콩(필름)",,,,,,,,95
2017-12-26,03관,"22:00,  킹콩(필름)",,,,,,,,154
2017-12-27,01관,"10:20,  1987(디지털)","12:45,  1987(디지털)","16:50,  1987(디지털),  8,000원","19:10,  1987(디지털),  8,000원","21:35,  1987(디지털),  8,000원",,,,94
2017-12-27,02관,"13:20,  강철비(디지털)","16:00,  강철비(디지털),  8,000원","18:40,  강철비(디지털),  8,000원",,,,,,95
2017-12-27,03관,"09:50,  신과함께-죄와 벌(디지털)","12:25,  신과함께-죄와 벌(디지털)","15:05,  신과함께-죄와 벌(디지털),  8,000원","17:45,  신과함께-죄와 벌(디지털),  8,000원","20:30,  신과함께-죄와 벌(디지털),  8,000원",,,,154
2017-12-28,01관,"10:20,  1987(디지털),  6,000원","12:45,  1987(디지털),  8,000원","15:15,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","16:50,  1987(디지털),  8,000원","19:10,  1987(디지털),  8,000원","21:35,  1987(디지털),  8,000원",,,94
2017-12-28,02관,"09:50,  신과함께-죄와 벌(디지털)","12:25,  신과함께-죄와 벌(디지털),  8,000원","15:05,  신과함께-죄와 벌(디지털),  8,000원","17:45,  신과함께-죄와 벌(디지털),  8,000원","20:30,  신과함께-죄와 벌(디지털),  8,000원",,,,95
2017-12-28,03관,"09:50,  신과함께-죄와 벌(디지털),  6,000원",,,,,,,,154
2017-12-29,01관,"09:30,  1987(디지털)","11:50,  1987(디지털),  8,000원","14:20,  강철비(디지털),  8,000원","16:50,  신과함께-죄와 벌(디지털),  8,000원","19:30,  1987(디지털),  8,000원","21:55,  1987(디지털),  8,000원",,,94
2017-12-29,02관,"09:40,  신과함께-죄와 벌(디지털),  6,000원","12:10,  신과함께-죄와 벌(디지털),  8,000원","14:45,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","16:20,  신과함께-죄와 벌(디지털),  8,000원","19:00,  신과함께-죄와 벌(디지털),  8,000원","21:40,  신과함께-죄와 벌(디지털),  8,000원",,,95
2017-12-30,01관,"09:30,  1987(디지털),  6,000원","11:50,  1987(디지털),  8,000원","14:20,  신과함께-죄와 벌(디지털),  8,000원","16:50,  강철비(디지털),  8,000원","19:30,  1987(디지털),  8,000원","21:55,  1987(디지털),  8,000원",,,94
2017-12-30,02관,"09:40,  신과함께-죄와 벌(디지털),  6,000원","12:10,  신과함께-죄와 벌(디지털),  8,000원","14:45,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","16:20,  신과함께-죄와 벌(디지털),  8,000원","19:00,  신과함께-죄와 벌(디지털),  8,000원","21:40,  신과함께-죄와 벌(디지털),  8,000원",,,95
2017-12-31,01관,"09:30,  1987(디지털),  6,000원","11:50,  1987(디지털),  8,000원","14:20,  신과함께-죄와 벌(디지털),  8,000원","16:50,  강철비(디지털),  8,000원","19:30,  1987(디지털),  8,000원","21:55,  1987(디지털),  8,000원",,,94
