상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2016-03-10,01관,"10:30,  어페어 투 리멤버(필름)","12:50,  왕자와 무희(디지털)","15:00,  모정(디지털)","16:50,  여로(필름)",,,,200
2016-03-11,01관,"10:30,  나바론 요새(필름)","13:30,  슬픔이여 안녕(필름)","16:30,  십계(디지털)",,,,,200
2016-03-13,01관,"10:30,  엘 시드(디지털)",,,,,,,200
2016-03-14,01관,"11:00,  쿼바디스(디지털)",,,,,,,200
2016-03-15,01관,"10:30,  카사블랑카(디지털)",,,,,,,200
2016-03-16,01관,"10:30,  누구를 위하여 종은 울리나(필름)",,,,,,,200
2016-03-17,01관,"10:30,  가스등(필름)",,,,,,,200
2016-03-18,01관,,"12:20,  형제는 용감하였다(디지털)",,,,,,200
2016-03-19,01관,,,"14:10,  형제는 용감하였다(디지털)","16:00,  형제는 용감하였다(디지털)",,,,200
2016-03-20,01관,"10:30,  형제는 용감하였다(디지털)","12:20,  형제는 용감하였다(디지털)","14:10,  형제는 용감하였다(디지털)","16:00,  형제는 용감하였다(디지털)",,,,200
2016-03-21,01관,"10:30,  세비야의 이발사(디지털)","13:20,  세비야의 이발사(디지털)","16:10,  세비야의 이발사(디지털)",,,,,200
2016-03-22,01관,"10:30,  세비야의 이발사(디지털)","13:20,  세비야의 이발사(디지털)","16:10,  세비야의 이발사(디지털)",,,,,200
2016-03-23,01관,"15:30,  연애(필름)",,,,,,,200
2016-03-24,01관,"10:30,  연애(필름)","12:40,  연애(필름)","14:50,  연애(필름)","17:00,  연애(필름)",,,,200
2016-03-25,01관,"10:30,  백야(필름)","12:50,  백야(필름)","15:10,  백야(필름)","17:30,  백야(필름)",,,,200
2016-03-26,01관,"10:30,  백야(필름)","12:50,  백야(필름)","15:10,  백야(필름)","17:30,  백야(필름)",,,,200
2016-03-27,01관,"10:30,  백야(필름)","12:50,  백야(필름)","15:10,  백야(필름)","17:30,  백야(필름)",,,,200
2016-04-01,01관,"10:30,  일요일은 참으세요(디지털),  3,000원","14:10,  일요일은 참으세요(디지털),  5,000원","15:50,  일요일은 참으세요(디지털),  3,000원","12:20,  일요일은 참으세요(디지털),  3,000원","17:30,  일요일은 참으세요(디지털),  3,000원",,,200
2016-04-02,01관,"10:30,  일요일은 참으세요(디지털),  3,000원","12:20,  일요일은 참으세요(디지털),  3,000원","14:10,  일요일은 참으세요(디지털),  5,000원","15:50,  일요일은 참으세요(디지털),  3,000원","17:30,  일요일은 참으세요(디지털),  3,000원",,,200
2016-04-03,01관,"10:30,  동학, 수운 최제우(필름),  3,000원",,"14:20,  동학, 수운 최제우(필름),  5,000원","16:15,  동학, 수운 최제우(필름),  3,000원","18:10,  동학, 수운 최제우(필름),  3,000원",,,200
