상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,고전,"10:30,  초원의 빛(필름),  2,000원","13:00,  초원의 빛(필름),  2,000원","15:30,  초원의 빛(필름),  3,000원",,,,,212
2015-01-02,고전,,"13:00,  초원의 빛(필름),  2,000원","15:30,  초원의 빛(필름),  2,000원",,,,,212
2015-01-03,고전,"10:30,  초원의 빛(필름),  2,000원","13:00,  초원의 빛(필름),  2,000원","15:30,  초원의 빛(필름),  2,000원",,,,,212
2015-01-04,고전,"10:30,  다이얼 M을 돌려라(필름),  5,000원","12:40,  다이얼 M을 돌려라(필름),  2,000원","14:50,  다이얼 M을 돌려라(필름),  2,000원","16:50,  다이얼 M을 돌려라(필름),  2,000원",,,,212
2015-01-05,고전,"10:30,  다이얼 M을 돌려라(필름),  2,000원","12:40,  다이얼 M을 돌려라(필름),  2,000원","14:50,  다이얼 M을 돌려라(필름),  2,000원","16:50,  다이얼 M을 돌려라(필름),  2,000원",,,,212
2015-01-06,고전,"10:30,  다이얼 M을 돌려라(필름),  2,000원","12:40,  다이얼 M을 돌려라(필름),  2,000원","14:50,  다이얼 M을 돌려라(필름),  2,000원","16:50,  다이얼 M을 돌려라(필름),  2,000원",,,,212
2015-01-07,고전,"10:30,  존 웨인의 기병대(디지털),  2,000원","12:45,  존 웨인의 기병대(디지털),  2,000원","15:00,  존 웨인의 기병대(디지털),  2,000원","17:10,  존 웨인의 기병대(디지털),  2,000원",,,,212
2015-01-08,고전,"10:30,  존 웨인의 기병대(디지털),  2,000원","12:45,  존 웨인의 기병대(디지털),  2,000원","15:00,  존 웨인의 기병대(디지털),  2,000원","17:10,  존 웨인의 기병대(디지털),  2,000원",,,,212
2015-01-09,고전,"10:30,  존 웨인의 기병대(디지털),  2,000원","12:45,  존 웨인의 기병대(디지털),  2,000원","15:00,  존 웨인의 기병대(디지털),  2,000원","17:10,  존 웨인의 기병대(디지털),  2,000원",,,,212
2015-01-10,고전,"10:30,  존 웨인의 기병대(디지털),  2,000원","12:45,  존 웨인의 기병대(디지털),  2,000원","15:00,  존 웨인의 기병대(디지털),  2,000원","17:10,  존 웨인의 기병대(디지털),  2,000원",,,,212
2015-01-11,고전,"10:30,  떠날 때는 말없이(디지털),  2,000원","12:40,  떠날 때는 말없이(디지털),  2,000원","14:50,  떠날 때는 말없이(디지털),  2,000원","16:50,  떠날 때는 말없이(디지털),  2,000원",,,,212
2015-01-12,고전,"10:30,  떠날 때는 말없이(디지털),  2,000원","12:40,  떠날 때는 말없이(디지털),  2,000원","14:50,  떠날 때는 말없이(디지털),  2,000원","16:50,  떠날 때는 말없이(디지털),  2,000원",,,,212
2015-01-13,고전,"10:30,  떠날 때는 말없이(디지털),  2,000원","12:40,  떠날 때는 말없이(디지털),  2,000원","14:50,  떠날 때는 말없이(디지털),  2,000원","16:50,  떠날 때는 말없이(디지털),  2,000원",,,,212
2015-01-14,고전,"10:30,  작은 아씨들(필름),  2,000원","12:45,  작은 아씨들(필름),  2,000원","15:00,  작은 아씨들(필름),  2,000원","17:10,  작은 아씨들(필름),  2,000원",,,,212
2015-01-15,고전,"10:30,  작은 아씨들(필름),  2,000원","12:45,  작은 아씨들(필름),  2,000원","15:00,  작은 아씨들(필름),  2,000원","17:10,  작은 아씨들(필름),  3,000원",,,,212
2015-01-16,고전,,"12:45,  작은 아씨들(필름),  2,000원","15:00,  작은 아씨들(필름),  2,000원","17:10,  작은 아씨들(필름),  2,000원",,,,212
2015-01-17,고전,"10:30,  작은 아씨들(필름),  2,000원","12:45,  작은 아씨들(필름),  2,000원","15:00,  작은 아씨들(필름),  2,000원","17:10,  작은 아씨들(필름),  2,000원",,,,212
2015-01-18,고전,"10:30,  알라바마 이야기(디지털),  2,000원","13:10,  알라바마 이야기(디지털),  2,000원","15:50,  알라바마 이야기(디지털),  2,000원",,,,,212
2015-01-19,고전,"10:30,  알라바마 이야기(디지털),  2,000원","13:10,  알라바마 이야기(디지털),  2,000원","15:50,  알라바마 이야기(디지털),  2,000원",,,,,212
2015-01-20,고전,"10:30,  알라바마 이야기(디지털),  2,000원","13:10,  알라바마 이야기(디지털),  2,000원","15:50,  알라바마 이야기(디지털),  2,000원",,,,,212
2015-01-21,고전,"10:30,  유리씨즈(필름),  2,000원","12:40,  유리씨즈(필름),  2,000원","14:50,  유리씨즈(필름),  2,000원","16:50,  유리씨즈(필름),  2,000원",,,,212
2015-01-22,고전,"10:30,  유리씨즈(필름),  2,000원","12:40,  유리씨즈(필름),  2,000원","14:50,  유리씨즈(필름),  2,000원","16:50,  유리씨즈(필름),  2,000원",,,,212
2015-01-23,고전,"10:30,  유리씨즈(필름),  2,000원","12:40,  유리씨즈(필름),  2,000원","14:50,  유리씨즈(필름),  2,000원","16:50,  유리씨즈(필름),  2,000원",,,,212
2015-01-24,고전,"10:30,  유리씨즈(필름),  2,000원","12:40,  유리씨즈(필름),  2,000원","14:50,  유리씨즈(필름),  2,000원","16:50,  유리씨즈(필름),  2,000원",,,,212
2015-01-25,고전,"10:30,  장군의 아들 2(디지털),  2,000원","12:40,  장군의 아들 2(디지털),  2,000원","14:50,  장군의 아들 2(디지털),  2,000원","16:50,  장군의 아들 2(디지털),  2,000원",,,,212
2015-01-26,고전,"10:30,  장군의 아들 2(디지털),  2,000원","12:40,  장군의 아들 2(디지털),  2,000원","14:50,  장군의 아들 2(디지털),  2,000원","16:50,  장군의 아들 2(디지털),  2,000원",,,,212
2015-01-27,고전,"10:30,  장군의 아들 2(디지털),  2,000원","12:40,  장군의 아들 2(디지털),  2,000원","14:50,  장군의 아들 2(디지털),  2,000원","16:50,  장군의 아들 2(디지털),  2,000원",,,,212
2015-01-28,고전,"10:30,  슬픔은 그대 가슴에(디지털),  2,000원","13:00,  슬픔은 그대 가슴에(디지털),  2,000원","15:30,  슬픔은 그대 가슴에(디지털),  2,000원",,,,,212
2015-01-29,고전,"10:30,  슬픔은 그대 가슴에(디지털),  2,000원","13:00,  슬픔은 그대 가슴에(디지털),  2,000원","15:30,  슬픔은 그대 가슴에(디지털),  2,000원",,,,,212
2015-01-30,고전,"10:30,  슬픔은 그대 가슴에(디지털),  2,000원","13:00,  슬픔은 그대 가슴에(디지털),  2,000원","15:30,  슬픔은 그대 가슴에(디지털),  2,000원",,,,,212
2015-01-31,고전,"10:30,  슬픔은 그대 가슴에(디지털),  2,000원","13:00,  슬픔은 그대 가슴에(디지털),  2,000원","15:30,  슬픔은 그대 가슴에(디지털),  2,000원",,,,,212
2015-02-01,고전,"10:30,  징기스칸(필름),  2,000원","12:40,  징기스칸(필름),  2,000원","14:50,  징기스칸(필름),  2,000원","16:50,  징기스칸(필름),  2,000원",,,,212
2015-02-02,고전,"10:30,  징기스칸(필름),  2,000원","12:40,  징기스칸(필름),  2,000원","14:50,  징기스칸(필름),  2,000원","16:50,  징기스칸(필름),  2,000원",,,,212
2015-02-03,고전,"10:30,  징기스칸(필름),  2,000원","12:40,  징기스칸(필름),  2,000원","14:50,  징기스칸(필름),  2,000원","16:50,  징기스칸(필름),  2,000원",,,,212
2015-02-04,고전,"10:30,  신부의 아버지(디지털),  2,000원","12:30,  신부의 아버지(디지털),  2,000원","14:30,  신부의 아버지(디지털),  2,000원","16:30,  신부의 아버지(디지털),  2,000원",,,,212
2015-02-05,고전,"10:30,  신부의 아버지(디지털),  2,000원","12:30,  신부의 아버지(디지털),  2,000원","14:30,  신부의 아버지(디지털),  2,000원","16:30,  신부의 아버지(디지털),  2,000원",,,,212
2015-02-06,고전,,"12:30,  신부의 아버지(디지털),  2,000원","14:30,  신부의 아버지(디지털),  2,000원","16:30,  신부의 아버지(디지털),  2,000원",,,,212
2015-02-07,고전,"10:30,  신부의 아버지(디지털),  2,000원","12:30,  신부의 아버지(디지털),  2,000원","14:30,  신부의 아버지(디지털),  2,000원","16:30,  신부의 아버지(디지털),  2,000원",,,,212
2015-02-08,고전,"10:30,  영자의 전성시대(디지털),  2,000원","12:40,  영자의 전성시대(디지털),  2,000원","14:50,  영자의 전성시대(디지털),  2,000원","16:50,  영자의 전성시대(디지털),  2,000원",,,,212
2015-02-09,고전,"10:30,  영자의 전성시대(디지털),  7,000원","12:40,  영자의 전성시대(디지털),  2,000원","14:50,  영자의 전성시대(디지털),  2,000원","16:50,  영자의 전성시대(디지털),  2,000원",,,,212
2015-02-10,고전,"10:30,  영자의 전성시대(디지털),  2,000원","12:40,  영자의 전성시대(디지털),  2,000원","14:50,  영자의 전성시대(디지털),  2,000원","16:50,  영자의 전성시대(디지털),  2,000원",,,,212
2015-02-11,고전,"10:30,  여로(필름),  2,000원","12:50,  여로(필름),  2,000원","15:10,  여로(필름),  2,000원","17:20,  여로(필름),  2,000원",,,,212
2015-02-12,고전,"10:30,  여로(필름),  2,000원","12:50,  여로(필름),  2,000원","15:10,  여로(필름),  2,000원","17:20,  여로(필름),  2,000원",,,,212
2015-02-13,고전,"10:30,  여로(필름),  2,000원","12:50,  여로(필름),  2,000원","15:10,  여로(필름),  2,000원","17:20,  여로(필름),  2,000원",,,,212
2015-02-14,고전,"10:30,  여로(필름),  2,000원","12:50,  여로(필름),  2,000원","15:10,  여로(필름),  5,000원","17:20,  여로(필름),  2,000원",,,,212
2015-02-15,고전,"10:30,  암행어사 박문수(디지털),  2,000원","12:40,  암행어사 박문수(디지털),  2,000원","14:50,  암행어사 박문수(디지털),  2,000원","16:50,  암행어사 박문수(디지털),  2,000원",,,,212
2015-02-16,고전,"10:30,  암행어사 박문수(디지털),  2,000원","12:40,  암행어사 박문수(디지털),  2,000원","14:50,  암행어사 박문수(디지털),  2,000원","16:50,  암행어사 박문수(디지털),  2,000원",,,,212
2015-02-17,고전,"10:30,  암행어사 박문수(디지털),  2,000원","12:40,  암행어사 박문수(디지털),  2,000원","14:50,  암행어사 박문수(디지털),  2,000원","16:50,  암행어사 박문수(디지털),  2,000원",,,,212
2015-02-18,고전,"10:30,  80일간의 세계일주(디지털),  2,000원","13:50,  80일간의 세계일주(디지털),  2,000원",,,,,,212
2015-02-19,고전,"10:30,  80일간의 세계일주(디지털),  7,000원","13:50,  80일간의 세계일주(디지털),  2,000원",,,,,,212
2015-02-20,고전,"10:30,  80일간의 세계일주(디지털),  2,000원","13:50,  80일간의 세계일주(디지털),  2,000원",,,,,,212
2015-02-21,고전,"10:30,  80일간의 세계일주(디지털),  2,000원","13:50,  80일간의 세계일주(디지털),  2,000원",,,,,,212
2015-02-22,고전,"10:30,  테스(디지털),  2,000원","13:50,  테스(디지털),  7,000원",,,,,,212
2015-02-23,고전,"10:30,  테스(디지털),  7,000원","13:50,  테스(디지털),  2,000원",,,,,,212
2015-02-24,고전,"10:30,  테스(디지털),  2,000원","13:50,  테스(디지털),  2,000원",,,,,,212
2015-02-25,고전,"10:30,  서부의 사나이(디지털),  2,000원","12:30,  서부의 사나이(디지털),  2,000원","14:30,  서부의 사나이(디지털),  2,000원","16:30,  서부의 사나이(디지털),  2,000원",,,,212
2015-02-26,고전,"10:30,  서부의 사나이(디지털),  2,000원","12:30,  서부의 사나이(디지털),  2,000원","14:30,  서부의 사나이(디지털),  2,000원","16:30,  서부의 사나이(디지털),  2,000원",,,,212
2015-02-27,고전,"10:30,  서부의 사나이(디지털),  2,000원","12:30,  서부의 사나이(디지털),  2,000원","14:30,  서부의 사나이(디지털),  2,000원","16:30,  서부의 사나이(디지털),  2,000원",,,,212
2015-02-28,고전,"10:30,  서부의 사나이(디지털),  2,000원","12:30,  서부의 사나이(디지털),  2,000원","14:30,  서부의 사나이(디지털),  2,000원","16:30,  서부의 사나이(디지털),  2,000원",,,,212
2015-03-01,고전,"10:30,  불의 전차(디지털),  2,000원","12:50,  불의 전차(디지털),  2,000원","15:10,  불의 전차(디지털),  5,000원","17:20,  불의 전차(디지털),  2,000원",,,,212
2015-03-02,고전,"10:30,  불의 전차(디지털),  2,000원","12:50,  불의 전차(디지털),  2,000원","15:10,  불의 전차(디지털),  2,000원","17:20,  불의 전차(디지털),  2,000원",,,,212
2015-03-03,고전,"10:30,  불의 전차(디지털),  2,000원","12:50,  불의 전차(디지털),  2,000원","15:10,  불의 전차(디지털),  2,000원","17:20,  불의 전차(디지털),  2,000원",,,,212
2015-03-04,고전,"10:30,  솔로몬과 시바의 여왕(디지털),  2,000원","13:15,  솔로몬과 시바의 여왕(디지털),  2,000원","16:00,  솔로몬과 시바의 여왕(디지털),  2,000원",,,,,212
2015-03-05,고전,"10:30,  솔로몬과 시바의 여왕(디지털),  2,000원","13:15,  솔로몬과 시바의 여왕(디지털),  2,000원","16:00,  솔로몬과 시바의 여왕(디지털),  2,000원",,,,,212
2015-03-06,고전,,"12:30,  울지마, 톤즈(필름),  2,000원","14:30,  울지마, 톤즈(필름),  2,000원","16:30,  울지마, 톤즈(필름),  2,000원",,,,212
2015-03-07,고전,"10:30,  울지마, 톤즈(필름),  2,000원","12:30,  울지마, 톤즈(필름),  2,000원","14:30,  울지마, 톤즈(필름),  2,000원","16:30,  울지마, 톤즈(필름),  2,000원",,,,212
2015-03-08,고전,"10:30,  다윗과 밧세바(디지털),  2,000원","12:50,  다윗과 밧세바(디지털),  2,000원","15:10,  다윗과 밧세바(디지털),  2,000원","17:20,  다윗과 밧세바(디지털),  2,000원",,,,212
2015-03-09,고전,"10:30,  다윗과 밧세바(디지털),  2,000원","12:50,  다윗과 밧세바(디지털),  2,000원","15:10,  다윗과 밧세바(디지털),  2,000원","17:20,  다윗과 밧세바(디지털),  2,000원",,,,212
