상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,01관,"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:30,  상의원(디지털),  5,000원","15:00,  마다가스카의 펭귄(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(3D 더빙),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-01,02관,"10:10,  호빗: 다섯 군대 전투(디지털),  5,000원","12:50,  일곱난쟁이(디지털더빙),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:20,  테이큰 3(디지털),  5,000원","18:40,  기술자들(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-02,01관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:10,  상의원(디지털),  5,000원","14:40,  마다가스카의 펭귄(3D 더빙),  8,000원","16:30,  국제시장(디지털),  5,000원",,"20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-02,02관,"10:10,  일곱난쟁이(디지털더빙),  5,000원","11:50,  호빗: 다섯 군대 전투(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:20,  테이큰 3(디지털),  5,000원","18:40,  기술자들(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-03,01관,"10:20,  마다가스카의 펭귄(3D 더빙),  8,000원","12:20,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","15:00,  마다가스카의 펭귄(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(3D 더빙),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-03,02관,"10:10,  테이큰 3(디지털),  5,000원","12:20,  일곱난쟁이(디지털더빙),  5,000원","14:00,  국제시장(디지털),  5,000원","16:20,  상의원(디지털),  5,000원","18:40,  기술자들(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-04,01관,"10:00,  상의원(디지털),  5,000원","12:20,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","15:00,  마다가스카의 펭귄(3D 더빙),  8,000원","17:00,  마다가스카의 펭귄(3D 더빙),  8,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-04,02관,"10:10,  테이큰 3(디지털),  5,000원","12:20,  일곱난쟁이(디지털더빙),  5,000원","14:00,  국제시장(디지털),  5,000원","16:20,  국제시장(디지털),  5,000원","18:40,  기술자들(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-05,01관,"10:30,  일곱난쟁이(3D 더빙),  8,000원","12:20,  테이큰 3(디지털),  5,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  마다가스카의 펭귄(3D 더빙),  8,000원","18:30,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-05,02관,"10:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  마다가스카의 펭귄(디지털더빙),  5,000원","13:50,  기술자들(디지털),  5,000원","16:00,  상의원(디지털),  5,000원","18:20,  호빗: 다섯 군대 전투(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-06,01관,"10:30,  일곱난쟁이(3D 더빙),  8,000원","12:20,  테이큰 3(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:20,  마다가스카의 펭귄(3D 더빙),  8,000원","18:20,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-06,02관,"10:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:50,  마다가스카의 펭귄(디지털더빙)","13:40,  기술자들(디지털)","16:00,  상의원(디지털)","18:20,  호빗: 다섯 군대 전투(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,41
2015-01-07,01관,"10:30,  테이큰 3(디지털),  5,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:30,  국제시장(디지털),  5,000원","17:00,  일곱난쟁이(3D 더빙),  8,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:40,  국제시장(디지털),  5,000원",,,,,,57
2015-01-07,02관,"11:00,  상의원(디지털),  5,000원","13:30,  마다가스카의 펭귄(디지털더빙),  5,000원","15:40,  호빗: 다섯 군대 전투(디지털),  5,000원","18:30,  기술자들(디지털),  5,000원","20:50,  테이큰 3(디지털),  5,000원",,,,,,,41
2015-01-08,01관,"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:20,  국제시장(디지털),  5,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  일곱난쟁이(3D 더빙),  8,000원","18:30,  테이큰 3(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-08,02관,"10:40,  상의원(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","15:50,  테이큰 3(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:30,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-09,01관,"10:20,  패딩턴(디지털더빙),  5,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:00,  국제시장(디지털),  5,000원","16:30,  마다가스카의 펭귄(3D 더빙),  8,000원","18:30,  국제시장(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,57
2015-01-09,02관,"10:40,  기술자들(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","15:50,  상의원(디지털),  5,000원",,"18:20,  언브로큰(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,41
2015-01-10,01관,"10:20,  패딩턴(디지털더빙),  5,000원","12:10,  국제시장(디지털),  5,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  5,000원",,"18:20,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-10,02관,"10:40,  상의원(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","15:50,  테이큰 3(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:30,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-11,01관,"10:20,  패딩턴(디지털더빙),  5,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:40,  국제시장(디지털),  5,000원","16:50,  마다가스카의 펭귄(3D 더빙),  8,000원","18:30,  국제시장(디지털),  5,000원","20:50,  상의원(디지털),  5,000원",,,,,,57
2015-01-11,02관,"10:40,  기술자들(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","15:50,  국제시장(디지털),  5,000원","18:20,  테이큰 3(디지털),  5,000원","20:30,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-12,01관,"15:40,  언브로큰(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,,,,57
2015-01-12,02관,"15:50,  상의원(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:40,  언브로큰(디지털),  5,000원",,,,,,,,,41
2015-01-13,01관,"10:30,  패딩턴(디지털더빙),  5,000원","12:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:10,  국제시장(디지털),  5,000원","16:40,  마다가스카의 펭귄(3D 더빙),  8,000원","18:30,  테이큰 3(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,57
2015-01-13,02관,"10:40,  상의원(디지털),  5,000원","13:20,  기술자들(디지털),  5,000원","15:40,  언브로큰(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:40,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-14,01관,"10:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","12:20,  테이큰 3(디지털)","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:20,  허삼관(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,57
2015-01-14,02관,"10:40,  언브로큰(디지털),  5,000원","13:20,  허삼관(디지털),  5,000원",,"18:20,  오늘의 연애(디지털),  5,000원","20:40,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-15,01관,"10:30,  일곱난쟁이(디지털더빙),  5,000원","12:20,  허삼관(디지털),  5,000원","14:40,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","16:40,  테이큰 3(디지털),  5,000원","18:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-15,02관,"10:40,  언브로큰(디지털),  5,000원","13:20,  오늘의 연애(디지털),  5,000원","15:50,  국제시장(디지털),  5,000원","18:20,  오늘의 연애(디지털),  5,000원","20:40,  언브로큰(디지털)",,,,,,,41
2015-01-16,01관,"10:30,  일곱난쟁이(디지털더빙),  5,000원","12:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:20,  국제시장(디지털),  5,000원","16:40,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:40,  테이큰 3(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,57
2015-01-16,02관,"10:40,  언브로큰(디지털),  5,000원","13:20,  허삼관(디지털),  5,000원","15:50,  오늘의 연애(디지털),  5,000원","18:20,  허삼관(디지털),  5,000원","20:40,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-17,01관,"10:10,  마다가스카의 펭귄(디지털더빙),  5,000원","12:10,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:10,  국제시장(디지털),  5,000원","16:40,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:40,  허삼관(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,,57
2015-01-17,02관,"10:40,  언브로큰(디지털),  5,000원","13:20,  오늘의 연애(디지털),  5,000원","15:40,  허삼관(디지털),  5,000원","18:10,  오늘의 연애(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,,41
2015-01-18,01관,"10:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","12:10,  테이큰 3(디지털),  5,000원","14:20,  마다가스카의 펭귄(디지털더빙),  5,000원","16:20,  허삼관(디지털),  5,000원","18:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-18,02관,"10:30,  언브로큰(디지털),  5,000원","13:10,  오늘의 연애(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:10,  국제시장(디지털),  5,000원","20:40,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-19,01관,"10:20,  테이큰 3(디지털),  5,000원","12:30,  허삼관(디지털),  5,000원","14:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","16:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:40,  국제시장(디지털),  5,000원","21:10,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원",,,,,,57
2015-01-19,02관,"10:30,  언브로큰(디지털)","13:10,  오늘의 연애(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:30,  허삼관(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-20,01관,"10:20,  테이큰 3(디지털),  5,000원","12:30,  허삼관(디지털),  5,000원","14:50,  패딩턴(디지털더빙),  5,000원","16:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:40,  국제시장(디지털),  5,000원","21:10,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원",,,,,,57
2015-01-20,02관,"10:30,  언브로큰(디지털),  5,000원","13:10,  오늘의 연애(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:30,  허삼관(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-21,01관,"10:20,  빅 히어로(디지털더빙),  5,000원","12:30,  언브로큰(디지털),  5,000원","15:20,  국제시장(디지털),  5,000원","18:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:30,  허삼관(디지털),  5,000원",,,,,,,57
2015-01-21,02관,"11:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","13:30,  허삼관(디지털),  5,000원","16:00,  빅 히어로(디지털더빙),  5,000원","18:20,  국제시장(디지털),  5,000원","20:40,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-22,01관,"10:40,  언브로큰(디지털),  5,000원","13:30,  국제시장(디지털),  5,000원","16:10,  빅 히어로(디지털더빙),  5,000원","18:20,  오늘의 연애(디지털),  5,000원","20:40,  허삼관(디지털),  5,000원",,,,,,,57
2015-01-22,02관,"11:40,  빅 히어로(디지털더빙),  5,000원","13:50,  허삼관(디지털),  5,000원","16:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:20,  국제시장(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-23,01관,"10:10,  빅 히어로(디지털더빙),  5,000원","12:10,  오늘의 연애(디지털),  5,000원","14:30,  패딩턴(디지털더빙),  5,000원","16:30,  빅 히어로(디지털더빙),  5,000원","18:30,  오늘의 연애(디지털),  5,000원","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-23,02관,"10:30,  언브로큰(디지털)","13:30,  국제시장(디지털),  5,000원","16:00,  허삼관(디지털),  5,000원","18:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,,41
2015-01-24,01관,"10:00,  빅 히어로(디지털더빙),  5,000원","12:10,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:00,  허삼관(디지털),  5,000원","16:30,  빅 히어로(디지털더빙),  5,000원","18:40,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:40,  허삼관(디지털),  5,000원",,,,,,57
2015-01-24,02관,"11:00,  오늘의 연애(디지털),  5,000원","13:20,  언브로큰(디지털),  5,000원","16:00,  국제시장(디지털),  5,000원","18:30,  오늘의 연애(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,,,41
2015-01-25,01관,"10:00,  빅 히어로(디지털더빙),  5,000원","12:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:00,  빅 히어로(디지털더빙),  5,000원","16:10,  허삼관(디지털),  5,000원","18:40,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:40,  허삼관(디지털),  5,000원",,,,,,57
2015-01-25,02관,"10:50,  오늘의 연애(디지털),  5,000원","13:20,  국제시장(디지털),  5,000원","15:50,  언브로큰(디지털),  5,000원","18:20,  국제시장(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원",,,,,,,41
2015-01-26,01관,"10:20,  빅 히어로(디지털더빙),  5,000원","12:20,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:20,  빅 히어로(디지털더빙),  5,000원","16:30,  허삼관(디지털),  5,000원","18:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-26,02관,"10:30,  언브로큰(디지털)","13:10,  오늘의 연애(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:00,  언브로큰(디지털),  5,000원","20:40,  오늘의 연애(디지털)",,,,,,,41
2015-01-27,01관,"10:20,  빅 히어로(디지털더빙),  5,000원","12:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","14:20,  패딩턴(디지털더빙),  5,000원","16:20,  허삼관(디지털),  5,000원","18:50,  박물관이 살아있다 : 비밀의 무덤(디지털)","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-27,02관,"10:40,  언브로큰(디지털),  5,000원","13:20,  국제시장(디지털),  5,000원","15:50,  오늘의 연애(디지털),  5,000원","18:10,  국제시장(디지털),  5,000원","20:40,  언브로큰(디지털),  5,000원",,,,,,,41
2015-01-28,01관,"10:20,  빅 히어로(디지털더빙),  5,000원","12:30,  내 심장을 쏴라(디지털),  5,000원","14:30,  국제시장(디지털),  5,000원","16:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","18:50,  내 심장을 쏴라(디지털),  5,000원","20:50,  허삼관(디지털),  5,000원",,,,,,57
2015-01-28,02관,"10:30,  강남 1970(디지털),  5,000원","13:00,  오늘의 연애(디지털),  5,000원","15:30,  빅 히어로(디지털더빙),  5,000원","18:20,  허삼관(디지털),  5,000원","20:40,  강남 1970(디지털),  5,000원",,,,,,,41
2015-01-29,01관,"10:30,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","12:30,  내 심장을 쏴라(디지털),  5,000원","14:30,  패딩턴(디지털더빙),  5,000원","16:30,  빅 히어로(디지털더빙),  5,000원","18:40,  국제시장(디지털),  5,000원","21:00,  내 심장을 쏴라(디지털),  5,000원",,,,,,57
