상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-01,02관,"11:30,  기술자들(디지털),  7,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원","23:30,  극장판 파이널 (디지털),  6,000원",,,,74
2015-01-02,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-02,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털),  7,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-03,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-03,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털),  7,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-04,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-04,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털),  7,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-05,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-05,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털)","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-06,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-06,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털),  7,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  7,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-07,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-07,02관,"10:00,  극장판 파이널 (디지털),  6,000원","11:30,  기술자들(디지털)","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  상의원(디지털),  5,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  기술자들(디지털),  7,000원",,,,74
2015-01-08,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-08,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털)","17:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,74
2015-01-09,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-09,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털)","17:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털)",,,,,74
2015-01-10,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-10,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,74
2015-01-11,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-11,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,74
2015-01-12,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-12,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,,,74
2015-01-13,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-13,02관,"12:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:20,  님아, 그 강을 건너지 마오(디지털)",,,,,74
2015-01-14,01관,"12:40,  오늘의 연애(디지털),  7,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,,219
2015-01-14,02관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,74
2015-01-15,01관,"12:40,  오늘의 연애(디지털),  7,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,,219
2015-01-15,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,74
2015-01-16,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  5,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-16,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","12:40,  오늘의 연애(디지털),  6,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,74
2015-01-17,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-17,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","12:40,  오늘의 연애(디지털),  7,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,74
2015-01-18,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-18,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","12:40,  오늘의 연애(디지털),  7,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,74
2015-01-19,01관,"11:40,  국제시장(디지털)","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-19,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","11:40,  국제시장(디지털),  7,000원","12:40,  오늘의 연애(디지털),  6,000원","14:50,  오늘의 연애(디지털),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,74
2015-01-20,01관,"11:40,  국제시장(디지털),  7,000원","14:00,  국제시장(디지털),  7,000원","16:20,  국제시장(디지털),  7,000원","18:40,  국제시장(디지털),  7,000원","21:00,  국제시장(디지털),  7,000원",,,,,,219
2015-01-20,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","12:40,  오늘의 연애(디지털),  7,000원","14:50,  오늘의 연애(디지털),  6,000원","17:00,  오늘의 연애(디지털),  7,000원","19:10,  오늘의 연애(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,74
2015-01-21,01관,"11:30,  국제시장(디지털),  7,000원","13:50,  국제시장(디지털),  7,000원","16:20,  강남 1970(디지털),  7,000원","18:40,  강남 1970(디지털),  7,000원","21:00,  강남 1970(디지털),  7,000원",,,,,,219
2015-01-21,02관,"09:20,  꽃보다 처녀귀신(디지털),  6,000원","12:10,  오늘의 연애(디지털)","14:20,  오늘의 연애(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,74
2015-01-22,01관,"11:30,  국제시장(디지털),  7,000원","13:50,  국제시장(디지털),  7,000원","16:20,  강남 1970(디지털),  7,000원","18:40,  강남 1970(디지털),  7,000원","21:00,  강남 1970(디지털),  7,000원",,,,,,219
2015-01-22,02관,"05:00,  베카스(디지털),  6,000원","06:40,  미이라: 고대 전설의 부활(디지털),  6,000원","08:40,  유닛7(디지털),  6,000원","12:10,  오늘의 연애(디지털),  7,000원","14:20,  오늘의 연애(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,74
2015-01-23,01관,"11:30,  국제시장(디지털),  7,000원","13:50,  국제시장(디지털),  7,000원","16:20,  강남 1970(디지털),  7,000원","18:40,  강남 1970(디지털),  7,000원","21:00,  강남 1970(디지털),  7,000원",,,,,,219
2015-01-23,02관,"12:10,  오늘의 연애(디지털),  7,000원","14:20,  오늘의 연애(디지털),  7,000원","16:40,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:20,  오늘의 연애(디지털),  7,000원",,,,,,74
