상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,01관,"11:30,  기술자들(디지털),  7,000원","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원","23:55,  국제시장(디지털),  7,000원",,,150
2015-01-01,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","16:45,  상의원(디지털),  7,000원","24:00,  기술자들(디지털)",,,,,150
2015-01-02,01관,"11:30,  기술자들(디지털),  7,000원","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원","23:55,  국제시장(디지털),  7,000원",,,150
2015-01-02,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","16:45,  상의원(디지털),  7,000원","24:00,  기술자들(디지털),  7,000원",,,,,150
2015-01-03,01관,"11:30,  기술자들(디지털)","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원","23:55,  국제시장(디지털),  7,000원",,,150
2015-01-03,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","16:45,  상의원(디지털),  7,000원","24:00,  기술자들(디지털),  7,000원",,,,,150
2015-01-04,01관,"11:30,  기술자들(디지털),  7,000원","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원",,,,150
2015-01-04,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","16:45,  상의원(디지털),  7,000원",,,,,,150
2015-01-05,01관,"11:30,  기술자들(디지털),  7,000원","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원",,,,150
2015-01-05,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","16:45,  상의원(디지털),  7,000원",,,,,,150
2015-01-06,01관,"11:30,  기술자들(디지털),  7,000원","16:35,  국제시장(디지털),  7,000원","19:00,  국제시장(디지털),  7,000원","21:30,  국제시장(디지털),  7,000원",,,,150
2015-01-06,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","16:45,  상의원(디지털),  7,000원",,,,,,150
