상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-03-03,01관,"23:00,  킹콩(필름)",,,,,,,,,212
2016-03-06,01관,"22:00,  킹콩(필름)",,,,,,,,,212
2016-03-07,01관,,"15:30,  순정(디지털),  5,000원","18:30,  검사외전(디지털),  5,000원","21:00,  귀향(디지털),  5,000원",,,,,,212
2016-03-08,01관,"10:00,  순정(디지털)","12:30,  귀향(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  검사외전(디지털),  5,000원","20:00,  귀향(디지털),  5,000원",,,,,212
2016-03-09,01관,"10:00,  순정(디지털)","12:30,  귀향(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  검사외전(디지털),  5,000원","20:00,  귀향(디지털),  5,000원",,,,,212
2016-03-10,01관,"10:00,  귀향(디지털),  5,000원","12:30,  순정(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  귀향(디지털),  5,000원","20:00,  검사외전(디지털),  5,000원",,,,,212
2016-03-11,01관,"10:00,  귀향(디지털)","12:30,  순정(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  귀향(디지털),  5,000원","20:00,  검사외전(디지털),  5,000원",,,,,212
2016-03-12,01관,,"11:30,  귀향(디지털),  5,000원","14:00,  검사외전(디지털),  5,000원","16:30,  순정(디지털),  5,000원","18:50,  귀향(디지털),  5,000원","21:20,  귀향(디지털),  5,000원",,,,212
2016-03-13,01관,"10:00,  순정(디지털),  5,000원","12:30,  귀향(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  검사외전(디지털),  5,000원","20:00,  귀향(디지털),  5,000원",,,,,212
2016-03-14,01관,"10:00,  귀향(디지털),  5,000원","12:30,  순정(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  귀향(디지털),  5,000원","20:00,  검사외전(디지털),  5,000원",,,,,212
2016-03-15,01관,"10:00,  순정(디지털)","12:30,  귀향(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  검사외전(디지털),  5,000원","20:00,  귀향(디지털),  5,000원",,,,,212
2016-03-16,01관,"10:00,  순정(디지털),  5,000원","12:30,  귀향(디지털),  5,000원","15:00,  귀향(디지털),  5,000원","17:30,  검사외전(디지털),  5,000원","20:00,  귀향(디지털),  5,000원",,,,,212
2016-03-17,01관,"10:30,  귀향(디지털),  5,000원","13:00,  런던 해즈 폴른(디지털),  5,000원","16:00,  귀향(디지털),  5,000원","18:30,  검사외전(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
2016-03-18,01관,"10:30,  귀향(디지털),  5,000원","13:00,  런던 해즈 폴른(디지털),  5,000원","16:00,  검사외전(디지털),  5,000원","18:30,  귀향(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
2016-03-19,01관,"10:30,  귀향(디지털),  5,000원","13:00,  검사외전(디지털),  5,000원","16:00,  런던 해즈 폴른(디지털),  5,000원","18:30,  귀향(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
2016-03-20,01관,"10:30,  귀향(디지털),  5,000원","13:00,  검사외전(디지털),  5,000원","16:00,  런던 해즈 폴른(디지털),  5,000원","18:30,  귀향(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
2016-03-21,01관,"10:30,  귀향(디지털),  5,000원","13:00,  런던 해즈 폴른(디지털),  5,000원","16:00,  귀향(디지털),  5,000원","18:30,  검사외전(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
2016-03-22,01관,"10:30,  귀향(디지털),  5,000원","13:00,  검사외전(디지털),  5,000원","16:00,  런던 해즈 폴른(디지털),  5,000원","18:30,  귀향(디지털),  5,000원","21:00,  런던 해즈 폴른(디지털),  5,000원",,,,,212
