상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2019-04-05,01관,,,,"15:00,  생일(디지털),  6,000원","18:00,  샤잠!(디지털),  6,000원","20:30,  덤보(디지털),  6,000원",,,,,,58
2019-04-05,02관,,,,"15:10,  생일(디지털),  6,000원","18:10,  덤보(디지털더빙),  6,000원","20:20,  프로디지(디지털),  6,000원",,,,,,38
2019-04-06,01관,"09:50,  덤보(디지털더빙),  6,000원","12:00,  생일(디지털),  6,000원","14:20,  샤잠!(디지털),  6,000원","16:50,  덤보(디지털),  6,000원","19:00,  생일(디지털),  6,000원","21:20,  프로디지(디지털),  6,000원",,,,,,58
2019-04-06,02관,"10:00,  생일(디지털),  6,000원","12:20,  덤보(디지털)","14:30,  프로디지(디지털)","16:20,  생일(디지털),  6,000원","18:40,  덤보(디지털더빙),  6,000원","20:50,  샤잠!(디지털),  6,000원",,,,,,38
2019-04-07,01관,"10:00,  생일(디지털),  6,000원","12:20,  덤보(디지털),  5,000원","14:30,  프로디지(디지털),  5,000원","16:20,  생일(디지털),  6,000원","18:40,  덤보(디지털더빙),  6,000원","20:50,  샤잠!(디지털),  6,000원",,,,,,58
2019-04-07,02관,"09:50,  덤보(디지털더빙),  6,000원","12:00,  생일(디지털),  6,000원","14:20,  샤잠!(디지털),  6,000원","16:50,  덤보(디지털),  6,000원","19:00,  생일(디지털),  6,000원","21:20,  프로디지(디지털)",,,,,,38
2019-04-08,01관,"09:50,  덤보(디지털더빙)","12:00,  생일(디지털),  5,000원","14:20,  샤잠!(디지털)","16:50,  덤보(디지털)","19:00,  생일(디지털),  6,000원","21:20,  프로디지(디지털),  6,000원",,,,,,58
2019-04-08,02관,"10:00,  생일(디지털)","12:20,  덤보(디지털)","14:30,  프로디지(디지털)","16:20,  생일(디지털)","18:40,  덤보(디지털더빙),  6,000원","20:50,  샤잠!(디지털),  6,000원",,,,,,38
2019-04-09,01관,"10:00,  생일(디지털),  6,000원","12:20,  덤보(디지털)","14:30,  프로디지(디지털),  6,000원","16:20,  생일(디지털),  6,000원","18:40,  덤보(디지털더빙)","20:50,  샤잠!(디지털),  6,000원",,,,,,58
2019-04-09,02관,"09:50,  덤보(디지털더빙)","12:00,  생일(디지털),  6,000원","14:20,  샤잠!(디지털),  6,000원","16:50,  덤보(디지털)","19:00,  생일(디지털),  6,000원","21:20,  프로디지(디지털)",,,,,,38
2019-04-10,01관,"10:00,  키코리키: 시간여행(디지털더빙)","11:35,  덤보(디지털더빙)","13:45,  생일(디지털),  6,000원","16:00,  샤잠!(디지털)","18:30,  생일(디지털),  6,000원","20:50,  프로디지(디지털)",,,,,,58
2019-04-10,02관,"10:10,  샤잠!(디지털)","12:40,  생일(디지털),  5,000원","15:00,  키코리키: 시간여행(디지털더빙)","16:35,  덤보(디지털)","18:45,  샤잠!(디지털),  6,000원","21:15,  생일(디지털),  6,000원",,,,,,38
