상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-07-01,01관,,"12:00,  식물도감(디지털)","14:20,  아직 끝나지 않았다(디지털),  7,000원","16:10,  아일라(디지털),  7,000원","18:30,  라 멜로디(디지털),  7,000원","20:30,  더 펜션(디지털)",142
2018-07-02,01관,,"12:00,  더 펜션(디지털)","14:10,  식물도감(디지털)","16:30,  아직 끝나지 않았다(디지털)","18:20,  아일라(디지털)","20:30,  라 멜로디(디지털)",142
2018-07-03,01관,,"12:00,  라 멜로디(디지털)","14:00,  더 펜션(디지털)","16:10,  식물도감(디지털)","18:20,  아직 끝나지 않았다(디지털)","20:15,  아일라(디지털)",142
2018-07-04,01관,,"12:00,  아일라(디지털)","14:15,  라 멜로디(디지털)","16:15,  더 펜션(디지털)","18:20,  식물도감(디지털)","20:30,  아직 끝나지 않았다(디지털)",142
2018-07-05,01관,"10:00,  아직 끝나지 않았다(디지털)","12:00,  식물도감(디지털)","14:10,  더 펜션(디지털)","16:15,  라 멜로디(디지털),  7,000원","18:15,  아일라(디지털)","20:30,  헤밍웨이 인 하바나(디지털)",142
2018-07-06,01관,"10:00,  아일라(디지털),  7,000원","12:15,  아직 끝나지 않았다(디지털)","14:10,  라 멜로디(디지털)","16:10,  더 펜션(디지털)","18:20,  헤밍웨이 인 하바나(디지털),  7,000원","20:30,  식물도감(디지털)",142
2018-07-07,01관,"10:00,  라 멜로디(디지털)","12:00,  식물도감(디지털),  7,000원","14:10,  아직 끝나지 않았다(디지털),  7,000원","16:00,  헤밍웨이 인 하바나(디지털)","18:10,  아일라(디지털),  7,000원","20:30,  더 펜션(디지털)",142
2018-07-08,01관,"10:00,  더 펜션(디지털)","12:10,  라 멜로디(디지털)","14:10,  헤밍웨이 인 하바나(디지털)","16:15,  아일라(디지털)","18:30,  식물도감(디지털)","20:40,  아직 끝나지 않았다(디지털)",142
2018-07-09,01관,,,"14:00,  아직 끝나지 않았다(디지털)","15:50,  아일라(디지털)","18:10,  더 펜션(디지털),  7,000원","20:15,  헤밍웨이 인 하바나(디지털),  7,000원",142
2018-07-10,01관,,,"14:00,  헤밍웨이 인 하바나(디지털)","16:10,  더 펜션(디지털)","18:15,  아일라(디지털),  7,000원","20:25,  아직 끝나지 않았다(디지털)",142
2018-07-11,01관,,"12:00,  아직 끝나지 않았다(디지털)","13:50,  더 펜션(디지털)","16:00,  헤밍웨이 인 하바나(디지털)","18:10,  오늘 밤, 로맨스 극장에서(디지털)","20:15,  오늘 밤, 로맨스 극장에서(디지털)",142
2018-07-12,01관,,"12:00,  아일라(디지털),  7,000원","14:15,  헤밍웨이 인 하바나(디지털),  7,000원","16:15,  더 펜션(디지털)","18:20,  펠리니를 찾아서(디지털),  6,000원","20:20,  오늘 밤, 로맨스 극장에서(디지털)",142
2018-07-13,01관,,"12:00,  더 펜션(디지털)","14:10,  아일라(디지털),  7,000원","16:25,  헤밍웨이 인 하바나(디지털),  7,000원","18:30,  오늘 밤, 로맨스 극장에서(디지털)","20:30,  펠리니를 찾아서(디지털),  7,000원",142
2018-07-15,01관,,"12:00,  펠리니를 찾아서(디지털)","14:00,  오늘 밤, 로맨스 극장에서(디지털),  7,000원","16:00,  더 펜션(디지털)","18:10,  아일라(디지털)","20:30,  헤밍웨이 인 하바나(디지털),  7,000원",142
