상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-09-14,01관,"10:40,  물괴(디지털),  6,000원","12:45,  바니부기: 드래곤 에그를 찾아서(디지털더빙)","14:15,  물괴(디지털),  6,000원","16:20,  바니부기: 드래곤 에그를 찾아서(디지털더빙)","17:50,  물괴(디지털),  6,000원","19:55,  물괴(디지털),  6,000원","22:00,  물괴(디지털),  6,000원",,,98
2018-09-15,01관,"10:00,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","11:30,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","13:00,  물괴(디지털),  6,000원","15:05,  물괴(디지털),  6,000원","17:10,  물괴(디지털),  6,000원","19:15,  물괴(디지털),  6,000원","21:20,  물괴(디지털),  6,000원",,,98
2018-09-16,01관,"10:00,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","11:30,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","13:00,  물괴(디지털),  6,000원","15:05,  물괴(디지털),  6,000원","17:10,  물괴(디지털),  6,000원","19:15,  물괴(디지털),  6,000원","21:20,  물괴(디지털),  6,000원",,,98
2018-09-20,01관,"10:00,  물괴(디지털),  6,000원","12:05,  루이스(디지털더빙)","13:50,  명당(디지털),  6,000원","16:20,  협상(디지털),  6,000원","18:35,  명당(디지털),  6,000원","21:05,  협상(디지털),  6,000원",,,,98
2018-09-21,01관,"09:30,  안시성(디지털),  6,000원","12:00,  명당(디지털),  6,000원","14:30,  협상(디지털),  6,000원","16:40,  명당(디지털),  6,000원","19:10,  협상(디지털),  6,000원","21:25,  명당(디지털),  6,000원",,,,98
2018-09-22,01관,"09:40,  명당(디지털),  6,000원","12:10,  협상(디지털),  6,000원","14:20,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","15:50,  루이스(디지털더빙),  6,000원","17:35,  명당(디지털),  6,000원","20:05,  협상(디지털),  6,000원","22:15,  안시성(디지털),  6,000원",,,98
2018-09-23,01관,"10:00,  명당(디지털),  6,000원","12:30,  협상(디지털),  6,000원","14:40,  루이스(디지털더빙),  6,000원","16:25,  명당(디지털),  6,000원","18:55,  협상(디지털),  6,000원","21:05,  명당(디지털),  6,000원",,,,98
2018-09-24,01관,"11:00,  협상(디지털),  6,000원","13:10,  명당(디지털),  6,000원","15:40,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","17:10,  물괴(디지털),  6,000원","19:10,  협상(디지털),  6,000원","21:20,  명당(디지털),  6,000원",,,,98
2018-09-25,01관,"09:40,  명당(디지털),  6,000원","12:10,  협상(디지털),  6,000원","14:20,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","15:50,  루이스(디지털더빙),  6,000원","17:35,  명당(디지털),  6,000원","20:05,  협상(디지털),  6,000원","22:15,  안시성(디지털),  6,000원",,,98
2018-09-26,01관,"10:00,  명당(디지털),  6,000원","12:30,  협상(디지털),  6,000원","14:40,  루이스(디지털더빙),  6,000원","16:25,  명당(디지털),  6,000원","18:55,  협상(디지털),  6,000원","21:05,  명당(디지털),  6,000원",,,,98
2018-09-27,01관,"10:00,  명당(디지털),  6,000원","12:30,  루이스(디지털더빙),  6,000원","14:15,  협상(디지털),  6,000원","16:45,  안시성(디지털),  6,000원","18:55,  안시성(디지털),  6,000원","21:25,  안시성(디지털),  6,000원",,,,98
2018-09-28,01관,"09:40,  루이스(디지털더빙),  5,000원","11:25,  명당(디지털),  6,000원","13:55,  협상(디지털),  6,000원","16:25,  안시성(디지털),  6,000원","18:40,  안시성(디지털),  6,000원","21:10,  안시성(디지털),  6,000원",,,,98
2018-09-29,01관,"09:40,  루이스(디지털더빙),  6,000원","11:25,  협상(디지털),  6,000원","13:40,  안시성(디지털),  6,000원","16:15,  명당(디지털),  6,000원","18:45,  안시성(디지털),  6,000원","21:15,  안시성(디지털),  6,000원",,,,98
2018-09-30,01관,"10:00,  루이스(디지털더빙),  6,000원","11:45,  명당(디지털),  6,000원","14:00,  안시성(디지털),  6,000원","16:45,  안시성(디지털),  6,000원","19:15,  안시성(디지털),  6,000원","21:40,  협상(디지털),  6,000원",,,,98
2018-10-03,01관,"10:00,  곰돌이 푸 다시 만나 행복해(디지털),  6,000원","12:00,  안시성(디지털),  6,000원","14:30,  암수살인(디지털),  6,000원","16:35,  안시성(디지털),  6,000원","19:10,  베놈(디지털),  6,000원","21:15,  명당(디지털),  6,000원",,,,98
2018-10-04,01관,"10:00,  곰돌이 푸 다시 만나 행복해(디지털),  6,000원","12:00,  안시성(디지털),  6,000원","14:30,  암수살인(디지털),  6,000원","16:35,  명당(디지털),  6,000원","19:05,  안시성(디지털),  6,000원","21:35,  베놈(디지털),  6,000원",,,,98
2018-10-05,01관,"10:20,  협상(디지털),  6,000원","12:30,  안시성(디지털),  6,000원","15:00,  암수살인(디지털),  6,000원","17:05,  곰돌이 푸 다시 만나 행복해(디지털),  6,000원","19:05,  베놈(디지털),  6,000원","21:10,  베놈(디지털),  6,000원",,,,98
2018-10-06,01관,"10:30,  곰돌이 푸 다시 만나 행복해(디지털),  6,000원","12:30,  안시성(디지털),  6,000원","15:00,  베놈(디지털),  6,000원","17:05,  암수살인(디지털),  6,000원","19:10,  베놈(디지털),  6,000원","21:15,  암수살인(디지털),  6,000원",,,,98
