상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,02관-하층,"09:40,  국제시장(디지털),  5,000원","12:10,  국제시장(디지털),  7,000원","14:40,  국제시장(디지털),  9,000원","17:05,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원",,,,,382
2015-01-01,03관,"10:25,  기술자들(디지털),  5,000원","12:10,  국제시장(디지털),  7,000원","15:05,  기술자들(디지털),  9,000원","17:25,  기술자들(디지털),  9,000원","19:50,  기술자들(디지털),  9,000원",,,,,140
2015-01-01,05관,"09:25,  개를 훔치는 완벽한 방법(디지털),  5,000원","11:35,  인터스텔라(필름),  7,000원","14:15,  테이큰 3(디지털),  9,000원","16:55,  인터스텔라(필름),  9,000원","20:05,  인터스텔라(필름),  9,000원",,,,,202
2015-01-01,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,
2015-01-01,07관,"10:00,  상의원(디지털),  5,000원","12:30,  상의원(디지털),  7,000원","15:00,  호빗: 다섯 군대 전투(디지털),  9,000원","17:45,  호빗: 다섯 군대 전투(디지털),  9,000원","20:30,  상의원(디지털),  9,000원",,,,,191
2015-01-01,08관,"10:40,  국제시장(디지털),  5,000원","13:10,  국제시장(디지털),  7,000원","15:40,  국제시장(디지털),  9,000원","18:05,  국제시장(디지털),  9,000원","20:35,  국제시장(디지털),  9,000원",,,,,147
2015-01-01,H관(전),"09:45,  테이큰 3(디지털),  5,000원","12:00,  테이큰 3(디지털),  7,000원","14:15,  테이큰 3(디지털),  9,000원","16:30,  테이큰 3(디지털),  9,000원","18:45,  테이큰 3(디지털),  9,000원","20:55,  테이큰 3(디지털),  9,000원",,,,
2015-01-01,10관,"10:10,  국제시장(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:10,  국제시장(디지털),  9,000원","17:35,  상의원(디지털),  9,000원","20:10,  더 테너 리리코 스핀토(디지털),  9,000원",,,,,103
2015-01-01,11관,"10:45,  테이큰 3(디지털),  5,000원","13:00,  테이큰 3(디지털),  7,000원","15:15,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:45,  테이큰 3(디지털),  9,000원",,,,,
2015-01-01,12관,"09:50,  숲속으로(디지털),  5,000원","12:15,  내일을 위한 시간(디지털),  7,000원","14:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:55,  꾸뻬씨의 행복여행(디지털),  9,000원","18:15,  꾸뻬씨의 행복여행(디지털),  9,000원","20:40,  개를 훔치는 완벽한 방법(디지털),  9,000원",,,,54
2015-01-02,02관-하층,"09:40,  국제시장(디지털),  5,000원","12:10,  국제시장(디지털),  7,000원","14:45,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:55,  국제시장(디지털),  9,000원",,,,,382
2015-01-02,03관,"10:10,  기술자들(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:10,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:25,  기술자들(디지털),  9,000원",,,,,140
2015-01-02,05관,"09:50,  개를 훔치는 완벽한 방법(디지털),  5,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","14:10,  인터스텔라(필름),  9,000원","17:20,  국제시장(디지털),  9,000원","20:00,  인터스텔라(필름),  9,000원",,,"04:00,  8광구: 몬스터의 부활(디지털),  5,000원",,202
2015-01-02,06관,"09:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,
2015-01-02,07관,"10:00,  상의원(디지털),  5,000원","12:30,  상의원(디지털),  7,000원","15:00,  상의원(디지털),  9,000원","17:35,  호빗: 다섯 군대 전투(디지털),  9,000원","20:20,  상의원(디지털),  9,000원",,"02:00,  슈퍼처방전(디지털),  5,000원",,,191
2015-01-02,08관,"10:40,  국제시장(디지털),  5,000원","13:10,  국제시장(디지털),  7,000원","15:35,  호빗: 다섯 군대 전투(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원",,,,,147
