상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2015-01-02,01관,"15:30,  마담 드...(디지털),  7,000원","17:40,  죄악의 천사들(필름),  7,000원","20:00,  얼굴없는 눈(디지털),  7,000원",,,202
2015-01-03,01관,"14:00,  품행제로(디지털),  7,000원","15:30,  인생유전(디지털),  7,000원","19:10,  21번가의 살인자 (필름),  7,000원",,,202
2015-01-04,01관,"14:00,  불로뉴 숲의 여인들 (필름),  7,000원","16:10,  황금 투구(디지털),  7,000원","18:40,  거대한 환상(디지털),  7,000원",,,202
2015-01-06,01관,"18:00,  소매치기(디지털),  7,000원","20:00,  얼굴없는 눈(디지털),  7,000원",,,,202
2015-01-07,01관,"17:00,  품행제로(디지털),  7,000원","18:30,  인생유전(디지털),  7,000원",,,,202
2015-01-08,01관,"17:30,  죄악의 천사들(필름),  7,000원","19:40,  거대한 환상(디지털),  7,000원",,,,202
2015-01-09,01관,"16:00,  21번가의 살인자 (필름),  7,000원","18:00,  안개 낀 부두(필름),  7,000원","20:00,  황금 투구(디지털),  7,000원",,,202
2015-01-10,01관,"13:00,  페마체덴 단편선(디지털),  8,000원","14:30,  고요한 마니석(디지털),  8,000원","18:00,  나팔바지 휘날리던 1983년(디지털),  8,000원",,,202
2015-01-11,01관,"13:00,  쿤덴을 찾아서 (디지털),  8,000원","15:30,  올드 독(디지털),  8,000원","18:00,  오색신검(디지털),  8,000원",,,202
2015-01-15,01관,"19:00,  시티 라이트(디지털),  8,000원",,,,,202
2015-01-16,01관,"15:30,  나의 아저씨(디지털),  8,000원","18:00,  천국의 문(디지털),  8,000원",,,,202
2015-01-17,01관,"14:00,  조디악(디지털),  8,000원","17:30,  인톨러런스(디지털),  8,000원",,,,202
2015-01-18,01관,"13:30,  토니 마네로 (디지털),  8,000원","15:40,  블러드 심플(필름),  8,000원","19:00,  부퍼의 계곡에서 (디지털),  8,000원",,,202
2015-01-20,01관,"17:30,  가르시아(필름),  8,000원","20:00,  공포의 역사 (디지털),  8,000원",,,,202
2015-01-21,01관,"15:30,  2001 스페이스 오디세이(디지털),  8,000원","18:40,  나의 아저씨(디지털),  8,000원",,,,202
2015-01-22,01관,"15:40,  천국의 문(디지털),  8,000원","20:00,  블러드 심플(필름),  8,000원",,,,202
2015-01-23,01관,"15:00,  퐁네프의 연인들(디지털),  8,000원","17:40,  광기가 우리를 갈라놓을 때까지(디지털),  8,000원",,,,202
2015-01-24,01관,"13:00,  토니 마네로 (디지털),  8,000원","15:10,  패밀리 프렌드(디지털),  8,000원","18:40,  꼬방동네 사람들(디지털),  8,000원",,,202
2015-01-25,01관,"14:00,  허공에의 질주(필름),  8,000원","16:30,  앙리 랑글루아의 유령 (디지털),  8,000원",,,,202
2015-01-27,01관,"16:00,  인톨러런스(디지털),  8,000원","19:30,  델마와 루이스 (디지털),  8,000원",,,,202
2015-01-28,01관,"17:00,  허공에의 질주(필름),  8,000원","19:40,  가르시아(필름),  8,000원",,,,202
2015-01-29,01관,"15:30,  광기가 우리를 갈라놓을 때까지(디지털),  6,000원",,,,,202
2015-01-30,01관,"15:30,  공포의 역사 (디지털),  8,000원","17:30,  리바이어던(디지털),  8,000원","19:40,  꼬방동네 사람들(디지털),  8,000원",,,202
2015-01-31,01관,"13:00,  부퍼의 계곡에서 (디지털),  8,000원","15:10,  2001 스페이스 오디세이(디지털),  8,000원","19:10,  크리스마스에 기적을 만날 확률(필름),  8,000원",,,202
2015-02-01,01관,"14:00,  델마와 루이스 (디지털),  8,000원","18:00,  조디악(디지털),  8,000원",,,,202
2015-02-03,01관,"17:30,  토니 마네로 (디지털),  8,000원","19:40,  패밀리 프렌드(디지털),  8,000원",,,,202
2015-02-04,01관,"15:40,  블러드 심플(필름),  8,000원","18:00,  앙리 랑글루아의 유령 (디지털),  8,000원",,,,202
2015-02-05,01관,"17:30,  허공에의 질주(필름),  8,000원","20:00,  로트나(디지털),  8,000원",,,,202
2015-02-06,01관,"15:30,  부퍼의 계곡에서 (디지털),  8,000원","17:30,  상그레 (필름),  8,000원","19:40,  플란다스의 개(필름),  8,000원",,,202
2015-02-07,01관,"14:00,  리바이어던(디지털),  8,000원","16:00,  광기가 우리를 갈라놓을 때까지(디지털),  8,000원",,,,202
2015-02-08,01관,"13:00,  퐁네프의 연인들(디지털),  8,000원","16:40,  천국의 문(디지털),  8,000원",,,,202
2015-02-10,01관,"16:30,  패밀리 프렌드(디지털),  8,000원","19:10,  2001 스페이스 오디세이(디지털),  8,000원",,,,202
2015-02-11,01관,"16:00,  델마와 루이스 (디지털),  8,000원","18:40,  인톨러런스(디지털),  8,000원",,,,202
2015-02-12,01관,"16:40,  조디악(디지털),  8,000원","20:00,  리바이어던(디지털),  8,000원",,,,202
2015-02-13,01관,"16:00,  앙리 랑글루아의 유령 (디지털),  8,000원","20:10,  크리스마스에 기적을 만날 확률(필름),  8,000원",,,,202
2015-02-14,01관,"13:00,  나의 아저씨(디지털),  8,000원","15:30,  로트나(디지털),  8,000원","18:40,  가르시아(필름),  8,000원",,,202
2015-02-15,01관,"13:30,  상그레 (필름),  8,000원","15:30,  공포의 역사 (디지털),  8,000원","18:30,  플란다스의 개(필름),  8,000원",,,202
2015-02-24,01관,"17:30,  상해전기(필름),  8,000원","20:00,  스패로우 (디지털),  8,000원",,,,202
2015-02-25,01관,"17:00,  우드 잡!(디지털),  8,000원","20:00,  2월수요단편극장 - “그 겨울, 바람이 분다”(디지털),  8,000원",,,,202
2015-02-26,01관,"17:30,  돌이킬 수 없는(필름),  8,000원","19:40,  맵 투 더 스타(디지털),  8,000원",,,,202
2015-02-27,01관,"17:00,  헬리(디지털),  8,000원","19:40,  뮤지엄 아워스(필름),  8,000원",,,,202
2015-02-28,01관,"14:00,  와즈다(디지털),  8,000원","16:10,  스패로우 (디지털),  8,000원","18:10,  피의 복수(필름),  8,000원",,,202
2015-03-01,01관,"14:30,  우드 잡!(디지털),  8,000원","17:00,  모라토리움기의 다마코(디지털),  8,000원","19:00,  짚의 방패(디지털),  8,000원",,,202
2015-03-03,01관,"17:00,  토미리존스의 쓰리베리얼(디지털),  8,000원","19:40,  헬리(디지털),  8,000원",,,,202
2015-03-04,01관,"17:00,  맵 투 더 스타(디지털),  8,000원","19:40,  세븐 싸이코패스(디지털),  8,000원",,,,202
2015-03-05,01관,"17:00,  툼스톤(디지털),  8,000원","19:40,  상해전기(필름),  8,000원",,,,202
2015-03-06,01관,"15:30,  와즈다(디지털),  8,000원","17:40,  스패로우 (디지털),  8,000원","19:40,  피의 복수(필름),  8,000원",,,202
2015-03-07,01관,"13:00,  모라토리움기의 다마코(디지털),  8,000원","15:00,  토미리존스의 쓰리베리얼(디지털),  8,000원","19:00,  뮤지엄 아워스(필름),  8,000원",,,202
2015-03-08,01관,"13:00,  헬리(디지털),  8,000원","15:30,  돌이킬 수 없는(필름),  8,000원","19:00,  세븐 싸이코패스(디지털),  8,000원",,,202
2015-03-10,01관,"17:00,  짚의 방패(디지털),  8,000원","19:40,  툼스톤(디지털),  8,000원",,,,202
2015-03-11,01관,"17:00,  피의 복수(필름),  8,000원","19:40,  토미리존스의 쓰리베리얼(디지털),  8,000원",,,,202
