상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-01-07,01관,"23:00,  킹콩(필름)",,,,,,,,,59
2016-01-07,02관,"23:00,  킹콩(필름)",,,,,,,,,95
2016-01-08,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-08,02관,"10:00,  히말라야(디지털)","12:00,  대호(디지털)","14:30,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털)",,,,95
2016-01-09,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-09,02관,"10:00,  히말라야(디지털),  5,000원","12:00,  대호(디지털)","14:50,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털),  5,000원",,,,95
2016-01-10,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-10,02관,"10:00,  히말라야(디지털),  5,000원","12:00,  대호(디지털),  5,000원","14:50,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털),  5,000원",,,,95
2016-01-11,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-11,02관,"10:00,  히말라야(디지털),  5,000원","12:00,  대호(디지털),  5,000원","14:50,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털),  5,000원",,,,95
2016-01-12,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-12,02관,"10:00,  히말라야(디지털),  5,000원","12:00,  대호(디지털),  5,000원","14:50,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털),  5,000원",,,,95
2016-01-13,01관,,"12:20,  몬스터 호텔 2(디지털더빙),  5,000원",,"16:40,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,,,59
2016-01-13,02관,"10:00,  히말라야(디지털),  5,000원","12:00,  대호(디지털),  5,000원","14:50,  히말라야(디지털),  5,000원",,"18:20,  히말라야(디지털),  5,000원","21:00,  히말라야(디지털),  5,000원",,,,95
2016-01-14,01관,"10:00,  몬스터 호텔 2(디지털더빙)",,"13:00,  대호(디지털),  5,000원",,,"16:00,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,59
2016-01-14,02관,,"10:20,  히말라야(디지털),  5,000원",,"13:20,  히말라야(디지털),  5,000원","15:40,  그날의 분위기(디지털),  5,000원",,,"18:50,  그날의 분위기(디지털),  5,000원","20:50,  그날의 분위기(디지털),  5,000원",95
2016-01-15,01관,"10:00,  몬스터 호텔 2(디지털더빙)",,"13:00,  대호(디지털)",,,"16:00,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  대호(디지털),  5,000원",,,59
2016-01-15,02관,,"10:20,  히말라야(디지털),  5,000원",,"13:20,  히말라야(디지털),  5,000원","15:40,  그날의 분위기(디지털),  5,000원",,,"18:50,  그날의 분위기(디지털),  5,000원","20:50,  그날의 분위기(디지털),  5,000원",95
2016-01-16,01관,"10:00,  몬스터 호텔 2(디지털더빙),  5,000원","13:00,  대호(디지털),  5,000원","16:00,  몬스터 호텔 2(디지털더빙),  5,000원","18:30,  히말라야(디지털),  5,000원",,,,,,59
