상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-01-18,01관,"09:45,  공조(디지털),  6,000원","12:05,  모아나(디지털),  6,000원","14:15,  공조(디지털),  8,000원","16:35,  모아나(디지털),  5,000원","18:45,  공조(디지털),  8,000원","21:05,  더 킹(디지털),  8,000원",,,83
2017-01-18,02관,"10:00,  더 킹(디지털),  6,000원","12:30,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  8,000원","17:30,  더 킹(디지털),  8,000원","20:00,  더 킹(디지털),  8,000원","22:30,  공조(디지털)",,,83
2017-01-19,01관,"09:45,  공조(디지털),  6,000원","12:05,  모아나(디지털)","14:15,  공조(디지털),  7,000원","16:35,  모아나(디지털),  7,000원","18:45,  공조(디지털),  8,000원","21:05,  더 킹(디지털),  8,000원",,,83
2017-01-19,02관,"10:00,  더 킹(디지털)","12:30,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  8,000원","17:30,  더 킹(디지털),  8,000원","20:00,  더 킹(디지털),  8,000원","22:30,  공조(디지털),  8,000원",,,83
2017-01-20,01관,"09:45,  공조(디지털),  6,000원","12:05,  모아나(디지털),  8,000원","14:15,  공조(디지털),  8,000원","16:35,  모아나(디지털),  8,000원","18:45,  공조(디지털),  8,000원","21:05,  더 킹(디지털),  8,000원",,,83
2017-01-20,02관,"10:00,  더 킹(디지털)","12:30,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  8,000원","17:30,  더 킹(디지털),  8,000원","20:00,  더 킹(디지털),  8,000원","22:30,  공조(디지털),  8,000원",,,83
2017-01-21,01관,"09:45,  공조(디지털)","12:05,  모아나(디지털),  8,000원","14:15,  공조(디지털),  8,000원","16:35,  모아나(디지털),  8,000원","18:45,  공조(디지털),  8,000원","21:05,  더 킹(디지털),  8,000원",,,83
2017-01-21,02관,"10:00,  더 킹(디지털),  6,000원","12:30,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  8,000원","17:30,  더 킹(디지털),  8,000원","20:00,  더 킹(디지털),  8,000원","22:30,  공조(디지털),  8,000원",,,83
2017-01-22,01관,"09:45,  공조(디지털)","12:05,  모아나(디지털),  8,000원","14:15,  공조(디지털),  8,000원","16:35,  모아나(디지털),  8,000원","18:45,  공조(디지털),  8,000원","21:05,  더 킹(디지털),  8,000원",,,83
2017-01-22,02관,"10:00,  더 킹(디지털),  6,000원","12:30,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  8,000원","17:30,  더 킹(디지털),  8,000원","20:00,  더 킹(디지털),  8,000원","22:30,  공조(디지털),  8,000원",,,83
2017-01-23,01관,"10:00,  공조(디지털)","12:20,  모아나(디지털),  8,000원","14:25,  공조(디지털),  6,000원","16:45,  모아나(디지털),  8,000원","18:50,  공조(디지털),  8,000원","21:10,  더 킹(디지털),  8,000원",,,83
2017-01-23,02관,"09:40,  더 킹(디지털)","12:10,  더 킹(디지털)","14:40,  더 킹(디지털),  8,000원","17:10,  더 킹(디지털),  8,000원","19:40,  더 킹(디지털),  8,000원","22:10,  공조(디지털),  8,000원",,,83
2017-01-24,01관,"10:00,  공조(디지털),  6,000원","12:20,  모아나(디지털),  8,000원","14:25,  공조(디지털),  8,000원","16:45,  모아나(디지털)","18:50,  공조(디지털),  8,000원","21:10,  더 킹(디지털),  8,000원",,,83
2017-01-24,02관,"09:40,  더 킹(디지털)","12:10,  더 킹(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:10,  더 킹(디지털),  8,000원","19:40,  더 킹(디지털),  8,000원","22:10,  공조(디지털),  8,000원",,,83
2017-01-25,01관,"10:00,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","11:50,  모아나(디지털),  8,000원","13:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","15:45,  더 킹(디지털),  8,000원","18:15,  더 킹(디지털),  5,000원","20:45,  더 킹(디지털),  5,000원",,,83
2017-01-25,02관,"10:20,  더 킹(디지털)","12:50,  공조(디지털),  8,000원","15:10,  딥워터 호라이즌(디지털),  5,000원","17:10,  공조(디지털),  5,000원","19:30,  공조(디지털),  5,000원","21:50,  딥워터 호라이즌(디지털)",,,83
2017-01-26,01관,"10:00,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","11:50,  모아나(디지털)","13:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","15:45,  더 킹(디지털),  8,000원","18:15,  더 킹(디지털),  8,000원","20:45,  더 킹(디지털),  8,000원",,,83
2017-01-26,02관,"10:20,  더 킹(디지털),  6,000원","12:50,  공조(디지털),  8,000원","15:10,  딥워터 호라이즌(디지털)","17:10,  공조(디지털),  8,000원","19:30,  공조(디지털),  8,000원","21:50,  딥워터 호라이즌(디지털)",,,83
2017-01-27,01관,"09:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  6,000원","11:25,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","13:10,  모아나(디지털),  8,000원","15:10,  공조(디지털),  8,000원","17:25,  더 킹(디지털),  8,000원","19:50,  더 킹(디지털),  8,000원","22:15,  딥워터 호라이즌(디지털)",,83
2017-01-27,02관,"10:00,  더 킹(디지털),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:05,  딥워터 호라이즌(디지털),  8,000원","19:00,  공조(디지털),  8,000원","21:20,  더 킹(디지털),  8,000원",,,83
2017-01-28,01관,"09:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  6,000원","11:25,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","13:10,  모아나(디지털),  8,000원","15:10,  공조(디지털),  8,000원","17:25,  더 킹(디지털),  8,000원","19:50,  더 킹(디지털),  8,000원","22:15,  공조(디지털),  8,000원",,83
2017-01-28,02관,"10:00,  더 킹(디지털)","12:25,  공조(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:05,  공조(디지털),  8,000원","19:20,  공조(디지털),  8,000원","21:35,  더 킹(디지털),  8,000원",,,83
2017-01-29,01관,"09:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","11:25,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  6,000원","13:10,  모아나(디지털),  8,000원","15:10,  공조(디지털),  8,000원","17:25,  더 킹(디지털),  8,000원","19:50,  더 킹(디지털),  8,000원","22:15,  공조(디지털),  8,000원",,83
2017-01-29,02관,"10:00,  더 킹(디지털),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:05,  공조(디지털),  8,000원","19:20,  공조(디지털),  8,000원","21:35,  더 킹(디지털),  8,000원","22:00,  딥워터 호라이즌(디지털),  8,000원",,83
2017-01-30,01관,"09:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","11:25,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","13:10,  모아나(디지털),  8,000원","15:10,  공조(디지털),  8,000원","17:25,  더 킹(디지털),  8,000원","19:50,  더 킹(디지털),  8,000원","22:15,  공조(디지털),  8,000원",,83
2017-01-30,02관,"10:00,  더 킹(디지털),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:05,  공조(디지털),  8,000원","19:20,  공조(디지털),  8,000원","21:35,  더 킹(디지털),  8,000원","22:00,  딥워터 호라이즌(디지털),  8,000원",,83
2017-01-31,01관,"09:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  6,000원","11:25,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  7,000원","13:10,  모아나(디지털),  8,000원","15:10,  공조(디지털),  8,000원","17:25,  더 킹(디지털),  7,000원","19:50,  더 킹(디지털),  5,000원","22:15,  공조(디지털),  8,000원",,83
2017-01-31,02관,"10:00,  더 킹(디지털),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  더 킹(디지털),  8,000원","17:05,  공조(디지털),  8,000원","19:20,  공조(디지털),  8,000원","21:35,  더 킹(디지털)",,,83
2017-02-01,01관,"09:40,  공조(디지털),  6,000원","11:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","13:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","15:25,  더 킹(디지털),  6,000원","17:50,  공조(디지털)","20:05,  공조(디지털)","22:20,  공조(디지털),  8,000원",,83
2017-02-01,02관,"10:00,  더 킹(디지털),  5,000원","12:25,  공조(디지털),  7,000원","14:40,  공조(디지털),  8,000원","16:55,  더 킹(디지털),  7,000원","19:20,  더 킹(디지털),  8,000원","21:45,  더 킹(디지털),  8,000원",,,83
2017-02-02,01관,"09:40,  공조(디지털)","11:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","13:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","15:25,  더 킹(디지털),  8,000원","17:50,  공조(디지털),  7,000원","20:05,  공조(디지털),  8,000원","22:20,  공조(디지털)",,83
2017-02-02,02관,"10:10,  모아나(디지털더빙),  5,000원","12:25,  공조(디지털),  8,000원","14:40,  공조(디지털),  8,000원","16:55,  더 킹(디지털),  8,000원","19:20,  더 킹(디지털),  8,000원","21:45,  더 킹(디지털),  8,000원",,,83
2017-02-03,01관,"09:40,  공조(디지털),  6,000원","11:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  6,000원","13:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙)","15:25,  더 킹(디지털),  8,000원","17:50,  공조(디지털),  8,000원","20:05,  공조(디지털),  8,000원","22:20,  공조(디지털),  8,000원",,83
2017-02-03,02관,"10:10,  모아나(디지털더빙)","12:25,  공조(디지털),  8,000원","14:40,  공조(디지털),  8,000원","16:55,  더 킹(디지털)","19:20,  더 킹(디지털),  8,000원","21:45,  더 킹(디지털),  8,000원",,,83
2017-02-04,01관,"09:40,  공조(디지털),  6,000원","11:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","13:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  7,000원","15:25,  더 킹(디지털),  8,000원","17:50,  공조(디지털),  8,000원","20:05,  공조(디지털),  8,000원","22:20,  공조(디지털),  8,000원",,83
2017-02-04,02관,"10:10,  모아나(디지털더빙),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  공조(디지털),  8,000원","16:55,  더 킹(디지털),  8,000원","19:20,  더 킹(디지털),  8,000원","21:45,  더 킹(디지털),  8,000원",,,83
2017-02-05,01관,"09:40,  공조(디지털),  6,000원","11:55,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  7,000원","13:40,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  8,000원","15:25,  더 킹(디지털),  8,000원","17:50,  공조(디지털),  8,000원","20:05,  공조(디지털),  8,000원","22:20,  공조(디지털),  8,000원",,83
2017-02-05,02관,"10:10,  모아나(디지털더빙),  6,000원","12:25,  공조(디지털),  8,000원","14:40,  공조(디지털),  8,000원","16:55,  더 킹(디지털),  8,000원","19:20,  더 킹(디지털),  8,000원","21:45,  더 킹(디지털)",,,83
2017-02-06,01관,"10:20,  공조(디지털),  6,000원","12:40,  모아나(디지털더빙)","14:40,  더 킹(디지털),  7,000원","17:10,  공조(디지털),  8,000원","19:30,  공조(디지털),  6,000원","21:50,  공조(디지털)",,,83
2017-02-06,02관,"10:00,  모아나(디지털더빙),  5,000원","12:00,  짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격(디지털더빙),  5,000원","13:50,  공조(디지털),  8,000원","16:10,  더 킹(디지털),  6,000원","18:40,  더 킹(디지털),  8,000원","21:10,  더 킹(디지털),  8,000원",,,83
2017-02-07,01관,"10:20,  공조(디지털)","12:40,  모아나(디지털더빙),  7,000원","14:40,  더 킹(디지털)","17:10,  공조(디지털),  8,000원","19:30,  공조(디지털),  8,000원","21:50,  공조(디지털),  8,000원",,,83
