상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2016-01-12,01관,"23:00,  킹콩(필름)",,,,,,,87
2016-01-24,01관,"10:00,  레버넌트: 죽음에서 돌아온 자(디지털)","12:50,  오빠생각(디지털)","15:00,  포인트 브레이크(디지털)","16:50,  오빠생각(디지털)","19:10,  레버넌트: 죽음에서 돌아온 자(디지털)","22:00,  오빠생각(디지털)",,87
2016-01-25,01관,"10:00,  레버넌트: 죽음에서 돌아온 자(디지털)","12:50,  오빠생각(디지털)","15:00,  포인트 브레이크(디지털)","16:50,  오빠생각(디지털)","19:10,  레버넌트: 죽음에서 돌아온 자(디지털)","22:00,  오빠생각(디지털)",,87
2016-01-26,01관,"10:00,  레버넌트: 죽음에서 돌아온 자(디지털)","12:50,  오빠생각(디지털)","15:00,  포인트 브레이크(디지털)","16:50,  오빠생각(디지털)","19:10,  레버넌트: 죽음에서 돌아온 자(디지털)","22:00,  오빠생각(디지털)",,87
2016-01-27,01관,"10:00,  레버넌트: 죽음에서 돌아온 자(디지털)","12:50,  오빠생각(디지털)","15:00,  포인트 브레이크(디지털)","16:50,  오빠생각(디지털)","19:10,  레버넌트: 죽음에서 돌아온 자(디지털)","22:00,  오빠생각(디지털)",,87
2016-01-28,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
2016-01-29,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
2016-01-30,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
2016-01-31,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
2016-02-01,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
2016-02-02,01관,"09:30,  쿵푸팬더3(디지털)","11:30,  오빠생각(디지털)","13:50,  쿵푸팬더3(디지털)","15:50,  오빠생각(디지털)","18:10,  쿵푸팬더3(디지털)","20:10,  오빠생각(디지털)","22:30,  쿵푸팬더3(디지털)",87
