상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-12-24,01관,"11:00,  디판(디지털),  6,000원","13:10,  나쁜 나라(디지털),  6,000원","15:30,  부에나 비스타 소셜 클럽(디지털),  6,000원","17:40,  바닷마을 다이어리(디지털),  6,000원","20:00,  이웃집에 신이 산다(디지털),  7,000원",,,,51
2015-12-25,01관,"11:00,  불안한 외출(디지털)","12:50,  앨리스: 원더랜드에서 온 소년(디지털),  7,000원","15:00,  바닷마을 다이어리(디지털),  7,000원","17:30,  당신의 세상은 지금 몇 시?(디지털),  7,000원","19:30,  부에나 비스타 소셜 클럽(디지털),  7,000원",,,,51
2015-12-26,01관,"11:00,  설지(디지털),  5,000원","13:00,  스윗 프랑세즈(디지털),  7,000원","15:10,  이웃집에 신이 산다(디지털),  7,000원",,"19:40,  나쁜 나라(디지털),  7,000원",,,,51
2015-12-27,01관,"11:00,  스윗 프랑세즈(디지털),  7,000원","13:10,  나쁜 나라(디지털),  7,000원","15:30,  앨리스: 원더랜드에서 온 소년(디지털),  7,000원","17:50,  디판(디지털),  7,000원","20:00,  설지(디지털)",,,,51
2015-12-28,01관,"11:00,  아스타 라 비스타(디지털)","13:20,  불안한 외출(디지털),  6,000원","15:10,  바닷마을 다이어리(디지털),  6,000원","17:40,  인 허 플레이스(디지털)","20:00,  앨리스: 원더랜드에서 온 소년(디지털),  6,000원",,,,51
2015-12-29,01관,"11:00,  나쁜 나라(디지털),  6,000원","13:20,  당신의 세상은 지금 몇 시?(디지털),  6,000원","15:20,  이웃집에 신이 산다(디지털),  6,000원","17:30,  스윗 프랑세즈(디지털),  6,000원","19:40,  한여름의 판타지아(디지털),  5,000원",,,,51
2015-12-30,01관,"11:00,  바닷마을 다이어리(디지털)","13:30,  인 허 플레이스(디지털)","15:50,  불안한 외출(디지털),  6,000원","17:40,  나쁜 나라(디지털),  6,000원","19:50,  아스타 라 비스타(디지털),  6,000원",,,,51
2015-12-31,01관,"11:00,  디판(디지털),  6,000원","13:20,  이웃집에 신이 산다(디지털),  6,000원","15:40,  라스트 탱고(디지털),  6,000원","17:30,  에브리띵 윌 비 파인(디지털)","19:50,  바닷마을 다이어리(디지털),  6,000원",,,,51
2016-01-01,01관,"11:00,  당신의 세상은 지금 몇 시?(디지털),  5,000원","13:00,  맥베스(디지털),  7,000원","15:20,  우리가 사랑한 시간(디지털),  7,000원","17:20,  이웃집에 신이 산다(디지털),  7,000원","19:40,  에브리띵 윌 비 파인(디지털),  7,000원",,,,51
2016-01-02,01관,"11:00,  연인들(디지털),  7,000원","13:10,  인 허 플레이스(디지털),  7,000원","15:30,  이웃집에 신이 산다(디지털),  7,000원","17:50,  에브리띵 윌 비 파인(디지털),  7,000원","20:00,  라스트 탱고(디지털),  7,000원",,,,51
